path|transcript|duration
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19039769.mp3|Pryd fydd y bws nesaf|3.6
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24198867.mp3|Mae angen ehangur arferion gorau ar draws yr ysgol|5.328
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_29381142.mp3|Beth mae o wedi bod yn ei wneud felly|3.996
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17768557.mp3|Yn eich barn chi beth sydd yn mynd i ddigwydd nesaf|6.072
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24597094.mp3|Edrychwn ni yn gyntaf ar yr adnodd gwyddoniaeth|5.58
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17316209.mp3|Bydd y bws yn hwyr|2.688
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22193036.mp3|Yna cymerodd gwrs ysgrifennu ôl radd yn yr Ysgol Ganolog Llefaredd a Drama|9.24
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_21250281.mp3|Mae dros hanner o gefnogwyr pêldroed menywod yn ddynion|5.808
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24425109.mp3|Mae hin gallu gwneud sgwennu sownd erbyn hyn|4.176
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22737959.mp3|Nofel ar ffurf dyddiadur i bobl ifanc|5.376
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19028379.mp3|Beth ywr ffordd orau i atal firws rhag lledaenu|4.584
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18144101.mp3|buasai hanes ddiweddar wedi cael o bobl merched ffilm cafodd|7.584
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23836252.mp3|Nid ywn glir os ywn ddiogel yn ystod beichiogrwydd|4.824
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19008367.mp3|Deallir y bydd y grant yn cael ei leihau bob blwyddyn|4.704
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23550123.mp3|Ma fe mas tu fas yn ishte ar y wal|6.216
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22594249.mp3|Methodd tîm Cymru i gyrraedd tu hwnt ir gemau grŵp|5.016
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17677365.mp3|Dw i eisiau cael fy arian yn ôl|4.32
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24004728.mp3|Bu llinell gangen unwaith yn croesir afon dros bont osgiliad ger yr orsaf|8.496
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24451518.mp3|Rwyn falch o weld y mymryn golau yna yn disgleirio|5.436
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19132010.mp3|Faint mae ystafell sengl yn ei gostio|6.24
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18110051.mp3|Oes rhywun yn eistedd yma|3.144
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_31195144.mp3|Bydd y bont droed yn darparu pwynt mynediad newydd ir orsaf|4.428
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24180852.mp3|Er cymaint y pellter gellir cystadlu â lleoedd yn ymyl y ddinas|6.48
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17982787.mp3|Faint o gwpaneidiau o de a chacennau a gafodd pob person|5.544
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24175185.mp3|Ti angen mynd allan yno yn y bore bach|9.108
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18828296.mp3|Beth sydd yn digwydd os bydd rheolau yn cael eu torri|4.848
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_20318302.mp3|Maen rhaid i rai cleifion aros am flynyddoedd lawer am roddwr addas|5.664
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22197964.mp3|Wel maen bryd i ti ddysgu|4.344
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18414589.mp3|Aros i glywed cân mam y ferch ar y radio fyddai orau|4.584
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24447149.mp3|Ers wythnos maer Moorings yn gwneud tecawês CymreigFfrengig rhagorol|7.776
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19670760.mp3|Wrth ir boblogaeth dyfu mae maint adnoddau naturiol yn gostwng|6.216
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24203790.mp3|Cenir y gân mewn nifer o ieithoedd|4.356
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23854609.mp3|Lluniau duagwyn a lliw ynghyd ag adran gan feirdd cyfoes|5.544
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24373765.mp3|Cyfrol am Yr Ymgyrch Ddarlledu yw Pwy sydd yn y Doc|5.184
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19582811.mp3|Rwyn atodi taflen Steddfod ar dy gyfer|6.384
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_30218473.mp3|Mae ganddynt blu saethflew mawr o amgylch y bwlch|5.616
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_20557954.mp3|Cefais drafferth yn llwythor papur arholiad ar y we wythnos ddiwethaf|5.304
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_21745405.mp3|Dylai dadl gref fod ar sail tystiolaeth gadarn yn hytrach na pherswâd|7.056
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19022307.mp3|Beth ydyr penawdau|3.144
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24002853.mp3|Maer ceffylau yn carlamu ar y bryn|5.148
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18933184.mp3|Ble maer cyfleusterau cyhoeddus agosaf|6.216
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17794124.mp3|Os oes rhaid i ti adael edrych ar ôl dy hun wnei di|5.376
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24168505.mp3|Roedden ni wedi clywed fod ei mam hi mor hardd|4.572
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23334357.mp3|Ateb rong y tro yma|3.072
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19102596.mp3|Dw i ddim yn dallt|1.752
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17773904.mp3|Wnes i ddim meddwl am hynny i ddweud y gwir|2.976
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_30396129.mp3|Person yn ei arddegaun eistedd yn uchel iawn mewn coeden|7.56
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23893178.mp3|Mae gan y ddau afiechyd symptomau tebyg weithiau ond nid ydynt yn perthyn|8.088
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24382691.mp3|Er hyn dangosodd pawb gynnydd erbyn diwedd y wers|7.74
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18935256.mp3|Mae fy mam yn aelod o glwb nofio|3.936
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_28666699.mp3|Mae dyn oedrannus yn eistedd ar fainc parc gwyrdd|6.012
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23970789.mp3|Ei gynefin yw tir coediog agored a mân lwyni ysgafn|8.424
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_19012682.mp3|Beth yw tywydd yfory|3.096
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22731155.mp3|Help garw pan fo llyfrgelloedd ar gau|4.056
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18165133.mp3|Mae rhaid iw brawd ei gyrru hi ir gwaith|4.896
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23892468.mp3|Cafwyd protestio hefyd yn erbyn bwriad y llywodraeth i newid cyfansoddiad Yemen|7.824
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_22453724.mp3|Derbyniodd y gwahoddiad a chyhoeddodd anerchiad etholiadol|6.456
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24175190.mp3|Wrth bob tŷ gwelir teisi eithin llyn hwyaid a moch yn torheulo|7.02
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17768634.mp3|Beth ywr gwahaniaeth rhwng mewnbwn neu allbwn|4.152
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_23937604.mp3|Daeth ei chymeriadau gwreiddiol yn enwau poblogaidd ar aelwydydd Anghydffurfiol Cymru|5.982
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_17767322.mp3|Pa mor bell ydy hi i Lundain|5.088
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24397876.mp3|Maer etholaeth yn un o bump o fewn Dinas Caeredin|5.436
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_24384141.mp3|Roedd y fath arswyd arnaf fel mai prin y gallai fy nghoesau fy nghario|5.4
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_18214191.mp3|Maen wir dydy heddiw ddim yn ddim byd mawr chwaith|5.184
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_28439752.mp3|Fe syllodd mewn rhyfeddod erioed wedi gweld tiwb yn siarad or blaen|8.28
/home/ashankwi/commonVoiceData/cy/testFiles/common_voice_cy_28661590.mp3|Mae nodwedd ar declynnau clyw i chwyddor sain ir sawl syn gwrando|6.372
