path|transcript|duration
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_27449298.mp3|Roedd radicaliaeth wleidyddol Price yn syrthio'n brin o gefnogi undebaeth lafur.|7.74
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24397138.mp3|Felly rhaid i ti lapio amdanat yn dda.|3.636
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24460448.mp3|Nofel i blant wedi'i lleoli yn yr Alpau.|4.428
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24268422.mp3|Math o fwyd traddodiadol ydy tatws a llaeth.|6.876
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24474160.mp3|Yr oedd hi yn lecsiwn yno.|3.42
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21689274.mp3|Cafodd Martha hyd i'w chot, ei het a phâr o fotasau bach cadarn.|5.064
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21689302.mp3|Pam ddylwn i fynd allan ar ddiwrnod fel hyn?|3.384
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_29460846.mp3|Roedd un diffyg mawr yn ei ddiwinyddiaeth ddamcaniaethol: anwybyddai feirniadaeth hanesyddol.|7.92
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_23893067.mp3|Esboniad Beiblaidd gan Eryl Wynn Davies yw Epistol y Cymod.|7.296
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24387514.mp3|Rydyn ni'n dweud wrthoch chi nawr.|2.844
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24192542.mp3|Mae'n hedfan mewn un genhedlaeth a hynny rhwng Mai a chychwyn Gorffennaf.|5.436
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24474196.mp3|Mae hi wedi amser swper.|4.068
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_20640189.mp3|Yn wir, i rai pobl, gall hyn deimlo fel profiad ysbrydol|7.2
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24385117.mp3|Rwy wedi gorffen edrych dros hwn i ti.|4.608
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21240542.mp3|Wnaiff y dillad ddim sychu ar y lein heddiw, mae'n rhy wlyb.|5.544
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_20780428.mp3|Un ar ddeg miliwn, pum can mil|4.608
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21348832.mp3|Edrychodd ar y môr yn hir ac yn graff.|4.296
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_23970801.mp3|Ef oedd y cyn glöwr olaf i gynrychioli'r etholaeth.|7.128
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_22705785.mp3|Teimlaf yn bositif iawn ar ôl y wers yma|3.816
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_19562319.mp3|Ym miwsig yr afon dychmygwn glywed geneth yn canu o lawenydd ei chalon.|7.632
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_20170739.mp3|Roedd rheolwr y bwyty yn annog y plant i fwyta o fwydlen gytbwys|6.12
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_23981624.mp3|Roedd angen trwydded i wneud hyn.|3.6
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24372621.mp3|Fe fyddai'n well ganddi ildio.|3.528
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24397108.mp3|Yr oedd yntau wedi clywed galwad yr eigion.|5.508
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21883746.mp3|Efallai nad oedd neb yn yr honglad o dŷ mawr ond hi ei hun.|6.504
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_20664493.mp3|Atebodd y gweinidog llywodraeth leol gwestiynau eraill ar gymorth cyfreithiol ac atebolrwydd|9.312
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_20813628.mp3|Mewn bob tasg mae angen gosod nodau, amcanion a blaenoriaethau|6.72
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21252519.mp3|Wedi gadael y Llan yr ydym yn dod i ffordd y Bala.|5.112
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_21653638.mp3|Mae'r dillad yna yn neisach na'n rhai i.|3.864
/home/ashankwi/commonVoiceData/cy/clips//common_voice_cy_24156770.mp3|Cyn y bore wedyn roedd tri o'r gweision eraill wedi marw.|5.688
