path|transcript|duration
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23641588.mp3|Penderfynodd ddod yn weithiwr cymdeithasol.|4.464
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23028578.mp3|Dw i'n dechrau teimlo dros Dave druan.|3.264
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_30595523.mp3|Yn ddi-rym o drefn broffesiynol, mae ei baentiad yn gwneud argraff lem, soniol.|7.236
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_30132471.mp3|Cyn gwmni hedfan siarter a oedd yn canolbwyntio'n bennaf ar hedfan i gyrchfannau gwyliau.|7.128
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23733231.mp3|Tref yn Swydd Amwythig, Lloegr ydy Ellesmere.|3.892125
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23408365.mp3|Cyhoeddwyd gan Bwyllgor Cerdd Esgobaeth Bangor.|6.456
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23028181.mp3|Heddiw oedd y tro cynta' i mi fod i Gastell Dinbych.|3.816
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_30600749.mp3|Yn lle, fe'i defnyddir yn bennaf yn lle ôl-lenwi cywasgedig.|7.308
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23684523.mp3|Fel ei chwaer, ychydig iawn a wyddom amdani.|3.696
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_22537313.mp3|Mae Tommy yn ŵr Americanaidd o dras Eidalaidd.|4.464
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_24432307.mp3|Ceir gwreiddiau dyfnion yn y cysylltiad rhwng Cymru a Swydd Amwythig.|5.796
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_30130564.mp3|Mae nifer o stondinau sy'n cynnig gwahanol fwydydd.|4.32
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_21447475.mp3|Gwnaeth y gwin iddi deimlo'n gysglyd.|3.984
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_22360721.mp3|Agorodd i gynted anferth.|3.096
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23844320.mp3|Ffotograffydd Cymreig oedd John Thomas.|3.816
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_31815101.mp3|Ef oedd hyrwyddwr cyntaf y rheilffordd, y coffi a'r grefft o wehyddu brwyn.|8.676
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_22260927.mp3|Ysgrifennodd ei hunangofiant, ond ni chafodd ei gyhoeddi.|6.144
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_21364486.mp3|Siomodd bawb yn fuan.|3.336
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_23398912.mp3|Mae'r arweinydd wedi ei ddisodli.|3.576
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_21280944.mp3|Roedd cyfleoedd i ddatblygu sgiliau cyfathrebu, cofnodi a chydweithio â'r plant|7.776
/home/ashankwi/commonVoiceData/cy/trainFiles/common_voice_cy_32109005.mp3|Mae a wnelo'r testun uchod â cham cyntaf ffactorio cromlin eliptig.|6.408
