path|transcript|duration
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439881.mp3|Gerçekten mükemmel|2.268
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_27394485.mp3|Her şey düzelecek|2.124
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25199131.mp3|Ardından Olimpiyat ateşi yavaş yavaş söndürüldü|3.636
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34309018.mp3|Bana darılma|2.34
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37536107.mp3|Hayır oğlum|2.088
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30695092.mp3|Onun için dua edeceğim|3.6
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_32829737.mp3|Adam öldürünce bunların gözünde yükselmişti…|4.032
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25705998.mp3|Yalnız kaçırılan fırsatlar asla akıldan çıkmıyor ve her hatırlayışta insanın içini sızlatıyor|6.552
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29068765.mp3|Baban öleli beri evin erkeği sensin…|4.068
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28942144.mp3|Tekrar deneyelim mi|2.916
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28861610.mp3|Bir sorun mu vardı|2.664
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28913977.mp3|Veren el alandan üstündür|3.96
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28884206.mp3|Oraya bak|2.448
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28944674.mp3|Eceli gelen it cami duvarına siyer|4.248
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34352245.mp3|Bağırışı ortalığı çınlatıyordu|4.14
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36874874.mp3|Hiç sormayacaksın sandım|3.42
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36875035.mp3|Eğer yanıma sokulursanız hep beraber uçarız|4.32
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_38804349.mp3|Sesin prosedürel olarak üretimine de sıkça rastlanır|5.616
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_33996720.mp3|Hazırla|1.728
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25325410.mp3|Bundan aşağısı ise hayal kırıklığı demek olacak|4.608
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30683284.mp3|Ne yapacağını biliyorsun|2.268
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_33893416.mp3|Kendini asmış|2.268
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28979232.mp3|Gönüllü var mı|2.988
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_26950040.mp3|Bunu yapabilirim|2.376
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_20326758.mp3|Gemi seyahati düzenleyen şirketlerin yeterli rıhtımı bile olmayan bir yeri niçin tercih etsin|8.496
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29579331.mp3|Artık seninle görüşemem|3.888
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34814690.mp3|Beni delirtiyorsun|2.988
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_17528908.mp3|Büyük yeniden yapım projesi dört aşamaya bölündü|3.936
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28861558.mp3|Şehrin dışında karanlıkta birkaç arabanın beklediğini fark ettim|6.084
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25543487.mp3|Ben de onu üfleyip çoğaltmak orada bir yangın yapmak ihtiyacını duymuyordum…|7.596
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30695530.mp3|Ateş gibi her hareketinden hayat fışkıran bir çocuktu|5.04
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_18375327.mp3|Kokaini taşıyan tır Makedon plakalıydı|4.488
