path|transcript|duration
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_26533661.mp3|Çocuk|1.08
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_27938947.mp3|Tanrım hayır|3.96
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_35294809.mp3|İsmet Şerif hiç beklemediği bu cehalet tezahürü karşısında|7.236
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_36443965.mp3|İkide bir|1.8
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30261900.mp3|Hiç haberim yoktu|3.06
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_32953420.mp3|Odur arkamdaki adım|3.636
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38002713.mp3|İlk soru|2.016
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30636652.mp3|Lavabo nerede|1.296
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_36439969.mp3|Seni de görmek güzel|3.924
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_26534892.mp3|Benimle gel|1.116
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38187927.mp3|Yapayalnız|2.34
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_25960644.mp3|Üç gün sonra solunum cihazı çıkarıldı ve Lamba’nın ölümü ilan edildi|5.04
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30391975.mp3|Gerçeği biliyorum|2.16
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38023078.mp3|Seni seviyorum tamam mı|3.348
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30391761.mp3|İbneler|1.836
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30261878.mp3|Uyku ölümün kardeşidir|3.096
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_26677024.mp3|Vuruldum|1.404
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_27198619.mp3|Ne yapmak istiyorsun|2.736
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_36412871.mp3|Pek anlayamadım|2.088
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_36437639.mp3|Eller|1.728
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_32890264.mp3|İskeçenin|2.628
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_34598707.mp3|Yeni gelenler içeri girdikleri sırada hararetli bir konuşma başlamıştı|6.84
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30370996.mp3|Yağına kıymayan çöreğini yoz yer|4.788
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_37982993.mp3|Bitti sayılır|1.98
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_37679921.mp3|Yanında yaşlıca ve şişman bir kadın daha vardı ve bir şeyler konuşuyorlardı|6.336
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38401928.mp3|Cevap verecek misin|2.34
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30397420.mp3|Bir ailem vardı|3.528
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38401889.mp3|Daha hızlı feedback alabileceğim yer varsa ordan iletişeme geçeyim burda boşu boşuna zaman kaybediyoruz|8.028
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_30352463.mp3|Bana başkası lazım değil…|3.888
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_26569132.mp3|Beni anlayarak dinleyiniz…|1.692
/home/ashankwi/commonVoiceData/tr/trainFiles/common_voice_tr_38100159.mp3|Bence gayet güzel|2.088
