path|transcript|duration
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439419.mp3|Asla pes etme|1.98
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_27394523.mp3|Kolunu başının altına koymuş bana arkasını dönmüş uyuyordu|5.508
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25552332.mp3|Sonradan hiç de böyle olmadığını gördüm fakat bunlardan daha ileride bahsedeceğim|6.48
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30509808.mp3|Bunu bana neden yapıyorsunuz|2.808
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_27199211.mp3|Ne yazıyor|0.756
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37536119.mp3|Ha çocuklara akşamları teker teker ders vermeyi münasip bulmadım|5.796
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_19183326.mp3|Operasyonda üç işadamı da gözaltına alındı|3.384
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34309313.mp3|Evlenmek ister misin|2.88
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28481319.mp3|Fakat bundan haberdar olduğunu herhangi bir şekilde ihsas etmeyecek kadar mağrur ve asildi|7.848
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28130312.mp3|Şapkamı alırken|2.016
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30694876.mp3|Evet hadi|2.736
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_26654462.mp3|Yeni moda mı bunlar|2.952
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25544380.mp3|Bu andan itibaren ona hakikaten yalnız ben baktım|5.328
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439268.mp3|Ben hemen dönerim|2.916
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_19183216.mp3|Peki siz kariyeriniz boyunca bunu yapmayı başarabildiniz mi|4.656
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28944622.mp3|Öksüz oynaşa çıkmış ay akşamdan doğmuş|4.32
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_21624228.mp3|İnsanlar kadınlara güvenme konusunda şüpheciler|3.84
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_26529179.mp3|Bitti|1.944
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37910232.mp3|O içimizde zaten mevcut olan hislerin bizi şaşırtacak kadar şiddetlenivermesinden ibarettir|7.02
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_26530834.mp3|Hiçbir fikrim yok|1.836
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_27208214.mp3|Tamam tatlım|2.556
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29068147.mp3|Kırışık alnını yatağa doğru eğerek hastayı sıkı bir muayeneden geçirdi|5.976
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_32745832.mp3|İnanmak istiyorum|1.8
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30695176.mp3|Isıtacak yeri kalmamıştı ki her bir tarafı kuru kemikti|4.68
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37021267.mp3|Yalnız şimdiki hayatından bunun ufak bir farkı olacak|4.824
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_35342368.mp3|Karmakarışık|1.836
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29579497.mp3|Bu beni şaşırtmadı|3.348
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30695507.mp3|Onun için burada bağırmak değil hızlı bile konuşamıyorlardı|4.68
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_18511795.mp3|Tek istisna ise vize serbestliği konusu oldu|3.432
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_33996611.mp3|Bunun mevcut olduğunu kabul etmek istemeseler bile vardı|4.068
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28861524.mp3|Gammaz olmasa tilki pazarda gezer|4.068
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37536063.mp3|Söyleyin bakayım şimdi benden ayrılıp gidiyordunuz değil mi|5.256
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28868338.mp3|Operasyonları hakkında bir fikrim yok|4.788
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28901593.mp3|İki arkadaş bir şey anlamadan birbirimize baktık|4.608
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28847022.mp3|Ben tahsisatı getirtirim|2.016
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30630781.mp3|Kış adamakıllı başlayınca küçük bir sac soba bunlara katıldı|4.68
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_26448758.mp3|Genç ateşçi süngüyü alarak ocağı karıştırmaya başladı|4.5
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37021111.mp3|Götürüp vereyim bari…|3.096
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34308196.mp3|İtiraz reddedildi|3.348
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_35208647.mp3|O da bana yaptığı gibi bir şeye uğrasın|3.816
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439445.mp3|Ben sizi yalnız bırakayım|2.736
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_34308291.mp3|O geri gelmeyecek|2.628
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_25535087.mp3|Caddenin iki tarafı gazinolar sinemalar tiyatrolarla kaplıydı|5.04
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30682912.mp3|Onu da getir|2.016
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29578594.mp3|Hiçbir yere gitme|2.628
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29795494.mp3|Bir türlü kurtulamıyor Çocuk büyük kıç küçük|4.608
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37556512.mp3|Sonra bu düşünceleri istediği kadar ince ve zekice bulmadığı için dudaklarını büktü|6.66
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439120.mp3|Herkesin tanıdığı ve bu civarda oturduğu anlaşılan ihtiyarı adeta zorla sahneye götürdüler|6.66
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36439541.mp3|Aman Tanrım ne oldu|2.52
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_19101248.mp3|Teklif süresi bir ay içinde sona erecek|3.744
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_29696197.mp3|Mutfağa…|2.088
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_30694896.mp3|Gayet serbest bir tavırla yanıma oturdu|3.888
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_37910254.mp3|İşe koyulun|1.836
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28914338.mp3|Vali Ankaraya gitmiş|3.636
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28941656.mp3|Analı kuzu kınalı kuzu|3.348
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_32698377.mp3|Oh bu çok kötü|2.52
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_36406545.mp3|Geri döndüler|2.268
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_35261998.mp3|Evet tanıyorum|2.52
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_27394591.mp3|İyi iş çıkardın|2.016
/home/ashankwi/commonVoiceData/tr/clips/common_voice_tr_28868660.mp3|Herkes mahsulünü yolcusunu bunun üzerinden geçirmeye mecbur|5.76
