interpretares,intərpɾətaɾəs
centralització,səntɾəlid͡zəsio
desproporcionades,dəspɾopoɾsionadəs
escames,əskaməs
audiollibre,əwdiuʎibɾə
corregir,korəʒi
clavades,kləbadəs
escollit,eskoʎit
malesa,mələzə
nativa,nətivə
ensaginar,ənsəʒina
interrogatiu,interoɡatiw
repartits,rəpərtits
respirats,respiɾats
tartana,təɾtanə
premeditats,pɾəməditats
modificar,modifika
noruega,noɾuəɡə
tortó,toɾto
esbrinats,əzbɾinats
niça,nisa
sedació,sedasio
varies,bəɾiəs
xisclats,ʃisklats
cordó,kurdo
xinxeta,ʃiɲʃətə
terrera,təreɾə
abastos,əbastus
argumentada,ərɡuməntadə
tropopausa,tɾopopawzə
comtessa,komtesa
glandífer,ɡləndifə
aterrits,aterits
boscatge,boskad͡ʒe
vaporitzats,vəpoɾid͡zats
acaricio,əkəɾisio
deportats,dəpoɾtats
guardonades,ɡwaɾdonades
bombades,bumbadəs
alternant,əltərnan
octava,oktava
endevinades,endevinades
acabament,akabament
egipci,ed͡ʒipsi
femades,fəmadəs
invaginar,imvad͡ʒinaɾ
halada,alada
escreix,eskɾejʃ
regentades,rəʒəntadəs
recapitulació,rekapitulasio
març,maɾs
castigat,kastiɡat
dogmatitzat,duɡmətid͡zat
submergida,submərʒidə
obligar,obliɡa
adorable,əduɾablə
capacitats,kapasitats
malfeiner,malfejneɾ
divorciada,divoɾsiada
ratxada,rat͡ʃada
uterí,utəɾi
maó,məo
xatejats,t͡ʃated͡ʒats
protagonitzats,pɾotəɡonid͡zats
protegit,pɾutəʒit
guipúscoa,ɡipuskoa
sondrollar,sondɾoʎaɾ
fugitiu,fud͡ʒitiw
detenció,dətənsio
incontrolat,inkuntɾulat
amagar,əməɡa
cotorra,kotorə
actuem,aktuem
castellanitzar,kəstəʎənid͡za
cordals,kurdals
bellesa,bəʎɛzə
sabó,sabo
vagar,bəɡa
diagonal,diaɡonal
escrutador,eskɾutadoɾ
hospitalitzat,ospitalizat
supervisar,supərbiza
projectar,pɾoʒəkta
purisme,puɾizmə
catapultada,katapultada
espectacular,əspəktəkula
coloma,kolomə
incrementar,inkɾəmənta
abaltit,əbəltit
sedimentaris,sedimentaɾis
persuadir,pəɾsuədi
inspirats,inspiɾats
mencionar,mensionaɾ
jeremies,d͡ʒeɾemies
sogorb,soɡɔɾp
compondre,kompɔndɾe
actuem,əktuɛm
farinetes,fəɾinətəs
abonyegar,aboɲeɡaɾ
albanell,əlbənɛʎ
recel,resɛl
amanerar,amaneɾaɾ
prémer,pɾemə
vesprada,bəspɾadə
comprimides,kompɾimides
rascaculs,raskakuls
rauxa,rawt͡ʃa
escandalosa,eskandaloza
annals,ənnals
acompanyament,akompaɲament
armadures,əɾməduɾəs
arpejat,aɾped͡ʒat
arameu,əɾəmɛw
escaparem,eskapaɾem
persuadir,pərsuədi
usurpació,uzurpəsio
frangible,fɾəɲʒiblə
espigall,espiɡaʎ
esborrat,əzburat
degotat,deɡotat
esbudellar,ezbudeʎaɾ
estrofa,estɾɔfa
sobreestimats,sobɾeestimats
espiritual,espiɾitual
consternats,konstəɾnats
ruandesa,ruəndɛzə
cobreobjectes,kɔbɾəobʒɛktəs
erosió,əɾuzio
elusives,eluzives
vehicular,veikulaɾ
solucionat,solusionat
cerdanya,sərdaɲə
dispersa,dispɛɾsə
entristit,entɾistit
fagosoma,fəɡuzomə
cotoner,kotone
transformats,tɾənsfoɾmats
avisada,əvizadə
destriades,destɾiades
fulla,fuʎə
loquacitat,lukwəsitat
llavió,ʎəbio
pecadores,pekadoɾes
tremolós,tɾemolos
nebulosa,nebuloza
atenuats,atenuats
agressions,əɡɾəsions
zenit,zənit
incolors,inkoloɾs
blasons,bləzons
guaitat,ɡwajtat
embarrar,əmbəra
agosarats,əɡuzəɾats
avançats,əbənsats
practicada,pɾaktikada
frísia,fɾizia
denunciats,denunsiats
procura,pɾukuɾə
recorregut,rəkurəɡut
hibernades,ibəɾnadəs
rememorat,rəməmoɾat
recel,rəsɛl
ostentar,ustənta
punxa,puɲʃə
positró,pozitɾo
comptabilitzat,komtabilizat
ena,ɛnə
fugitius,fud͡ʒitiws
implícitament,implisitament
egiptologia,əʒiptuluʒiə
declarava,dəkləɾavə
dificultat,difikultat
allotjat,əʎud͡ʒat
aligot,əliɡɔt
assassino,əsəsino
envellides,əmbəʎidəs
penalitzades,penalizades
introvertit,intɾoveɾtida
sobrepassat,sobɾepasat
perseverats,pərsəbəɾats
esponjat,espoɲd͡ʒat
timbre,timbɾə
junyir,d͡ʒuɲiɾ
alcalde,əlkaldə
flanquejat,flənkəʒat
botzinejar,bod͡zinəʒa
desjudicialització,dəzʒudisiəlid͡zəsio
enrocats,enrokats
cagarro,kəɡaro
profecia,pɾofesia
gaita,ɡajtə
salami,səlami
dinamitzat,dinamizat
plantofada,plantofada
delectar,dələkta
ventrell,vəntɾɛʎ
sobresortits,subɾəsurtits
alineació,əlineəsio
bifurcació,bifurkəsio
centella,sənteʎə
farcell,fərseʎ
parlat,paɾlat
caputxino,kaput͡ʃino
circumnavegades,sirkumnəbəɡadəs
fogó,fuɡo
mala,malə
fecunds,fekuns
caravanes,kaɾavanes
pet,pet
continua,kuntinuə
emportades,əmpoɾtadəs
algorítmic,əlɡuɾimmik
beguts,bəɡuts
tofa,tɔfə
xiuxiueig,ʃiwʃiwət͡ʃ
garrofer,ɡarofeɾ
procrastinar,pɾukɾəstina
eixe,ejʃe
companya,kompaɲə
marcescent,məɾsəsent
valona,valona
imperdible,impəɾdiblə
polpa,polpa
punxats,puɲt͡ʃats
abaixaves,abajʃaves
consergeria,konseɾd͡ʒeɾia
enriquides,enrikides
atraient,ətɾəjent
imperfectes,impərfɛktəs
vida,vidə
inebriar,inebɾiaɾ
norma,nɔɾmə
mossos,mosus
brandit,bɾəndit
llobregat,ʎobɾeɡat
ferralla,feraʎa
desenllaç,dəzəɲʎas
atomitzades,atomizades
peruana,pəɾuanə
almirall,əlmiɾaʎ
comparades,kompaɾades
garbell,ɡəɾbeʎ
meandre,meandɾə
ponderada,pundəɾadə
murta,muɾtə
contradir,kontɾədi
pedalejats,pedaled͡ʒats
bellesa,bəʎəzə
belades,belades
minimització,minimid͡zəsio
dansaire,dənsajɾə
talada,təladə
derrotades,dərotadəs
ídol,idul
rascle,rasklə
endinsades,endinzades
devoció,devosio
palet,palet
assolir,asoliɾ
referir,rəfəɾi
descrites,deskɾites
aurícules,awɾikules
xalar,t͡ʃalaɾ
mullada,muʎadə
escatimat,eskatimat
fascicle,fəsiklə
fauna,fawna
candor,kəndo
clapotejar,kləputəʒa
sanejar,sənəʒa
evacuades,əvəkuadəs
verat,veɾat
caramboler,kəɾəmbule
depurats,depuɾats
amistós,amistos
abecés,abeses
gratis,ɡɾatis
aprovació,əpɾovəsio
xuclant,ʃuklant
búrgul,burɡul
lleixiu,ʎejʃiw
premiats,pɾemiats
callis,kaʎis
virtual,birtual
descosides,dəskuzidəs
gelar,d͡ʒelaɾ
associacions,asosiasions
institut,institut
consogre,kunsɔɡɾə
floret,fluɾɛt
progressar,pɾuɡɾəsa
encapçalada,ənkəpsəladə
cabeçuda,kəbəsudə
quins,kins
imaginatives,iməʒinətivəs
estiuejar,estiwed͡ʒaɾ
aquissar,əkisa
calculats,kəlkulats
domaria,domaɾia
vos,bos
bramuls,bɾəmuls
cendra,sɛndɾa
pobre,pɔbɾə
pali,pali
quotidiana,kwutidianə
llorenç,ʎuɾɛns
rodal,rodal
vampir,vəmpi
alleujats,əʎəwʒats
reiterada,rəitəɾadə
robust,rubust
piscar,piskaɾ
laboratori,ləboɾətɔɾi
lleonat,ʎəonat
despeses,despezes
aromat,əɾomat
rotlle,rɔʎe
lliri,ʎiɾi
abrandaria,əbɾəndəɾiə
simulacre,simulakɾə
reiet,rəjət
sarcasme,səɾkazmə
escombrades,əskombɾadəs
verdes,vɛɾdes
unificada,unifikadə
indefinit,indefinit
alleugerant,əʎəwʒəɾant
cobraria,kobɾaɾia
patrocinada,patɾosinada
distret,distɾet
clau,klaw
