coch,koːχ
firws,vɪrʊs
cytrefi,kətreːvi
astudio,asdɪdjɔ
abl,abl
gaf,ɡaːv
rhwystro,r̥ʊi̯sdrɔ
frwsion,vrʊʃɔn
adferaf,adveːrav
titwod,tɪtwɔd
phlymio,fləmjɔ
parcio,parkɔ
aderyn,deːrɪn
nynes,nənɛs
clodfori,klɔdvɔri
calan,kaːlan
bigfelyn,bɪɡveːlɪn
gari,ɡaːri
chanes,χaːnɛs
cribau,krɪbɛ
cysylltydd,kəsəɬdɪð
clof,kloːv
nest,nɛsd
system,sɪsdɛm
mleiddiau,mlei̯ðjai̯
arllwysaf,arɬʊi̯sa
anghydfodau,aŋhədvɔdai̯
camlwrw,kamlʊru
heibio,hei̯bɔ
raced,rakɛd
basgrythau,basɡrəθai̯
tachwedd,taχwɛð
gwisgo,ɡwɪʃɡɔ
dosbarthol,dɔsbarθɔl
ngaeaf,ŋei̯a
ngwyddbwyll,ŋwɪðbʊi̯ɬ
treisio,trei̯ʃɔ
hunangofiannau,hɪnanɡɔvjanɛ
treigladau,treiɡladai̯
nghadair,ŋ̊aːdɛr
phengwiniaid,fɛŋɡwɪnjai̯d
caro,kaːrɔ
ysguthan,sɡɪθan
du,diː
heintio,hei̯ntjɔ
rhacs,r̥aks
dywedodd,dəu̯eːdɔð
lwythais,lʊi̯θɛs
chais,χai̯s
cysylltair,kəsəɬdai̯r
thalu,θali
hwylio,hʊi̯ljɔ
gorfod,ɡɔfɔd
gwellt,ɡwɛɬd
ymenyn,əmɛnɪn
cymhlethdodau,kəmhlɛθdoːdai̯
amdanoch,amdaːnɔχ
gorfodog,ɡɔrvoːdɔɡ
mherlau,m̥ɛrlai̯
chythreuliaid,χəθrei̯ljɛd
wedi,di
pwrpas,pʊrpas
eisoes,iːʃʊs
ifengach,ivɛŋɡaχ
glawio,ɡlau̯jɔ
iwerddoneg,ɪu̯ɛrðoːnɛɡ
thelynores,θɛlənɔrɛs
we,weː
wyrion,ʊi̯rjɔn
babis,babiz
phoeni,fɔi̯ni
fehefin,vɛheːvɪn
aflêr,avleːr
gwraidd,ɡwrai̯ð
ffensiau,fɛnʃɛ
düwch,diːʊχ
cnau,knai̯
awdurdodau,au̯dɪrdoːdɛ
sboncen,sbɔŋkɛn
torlannau,tɔrlanai̯
brawychdod,brau̯əχdɔd
cysgodluniau,kəsɡɔdlɪnjai̯
ddangos,ðaŋɡɔs
ddosbarthau,ðɔsbarθai̯
lleoedd,ɬeːɔð
norwy,nɔrʊi̯
ffion,fiɔn
cesail,kɛsai̯l
cymryd,kəmrɪd
meddiannau,mɛðjanɛ
darllenodd,darɬeːnɔð
nynoliaeth,nənɔljai̯θ
rediad,rɛdjad
dwyflwydd,dʊi̯vlʊi̯ð
glo,ɡloː
cymraeg,kəmrai̯ɡ
cilfach,kɪlvaχ
dant,dant
ymgyrchwr,əmɡərχʊr
llungopïo,ɬiːŋɡɔpiːɔ
ocr,ɔkr
adegau,adɛɡɛ
conyn,kɔnɪn
nglas,ŋlaːs
cilydd,kiːlɪð
polisïau,pɔlɪsiɛ
beirniadol,bei̯rnjadɔl
doid,dɔi̯d
perthyn,pɛrθɪn
ngweddïo,ŋwɛðiɔ
chwarter,χwartar
chyfaredd,χəvaːrɛð
chodon,χoːdɔn
aberthgedau,abɛrθɡeːdai̯
rhewlifoedd,r̥ɛu̯liːvɔi̯ð
bodoli,bɔdoːli
clodfori,klɔdvoːri
celai,kɛlɛ
oherwydd,ɔheːrʊi̯ð
pant,pant
ddigon,ðiːɡɔn
phapur,fapɪr
mhrynu,m̥rəni
anghydwelediadau,aŋhɨ̞dwɛlɛdjadɛ
dau,dɔi̯
beibl,bei̯bɪl
beirniadu,bei̯rnjaːdi
poenit,pɔi̯nɪt
thaloch,θaːlɔχ
ogystal,ɔɡəsdal
ryddhaf,rəðhaːv
molybdenwm,mɔlɪbdɛnʊm
ytriwm,ɪtrjʊm
phwllheli,fʊɬhɛli
cigfran,kɪɡvran
ffwrnais,fʊrnɛs
hwntw,hʊntu
gwybedyn,ɡwəbɛdɪn
pellter,pɛɬdɛr
anaerobig,anei̯roːbɪɡ
ù,ɪ
chwarel,χwaːrɛl
heli,hɛli
murddunnod,mɪrðɪnɔd
blew,blɛu̯
wybodaeth,wɪbɔdɛθ
adlamau,adlamɛ
nhrydanwr,n̥rədanʊr
hunanladdol,hɪnanlaːðɔl
waliau,waljai̯
drefydd,drɛvɪð
ffotograffyddion,fɔtɔɡrafəðjɔn
cyfryngi,kəvrəŋi
cyfaill,kəvai̯ɬ
led,leːd
lanhau,lanhai̯
tâp,taːp
arbrofi,arbrɔvi
rheoli,r̥ɛɔli
byngalo,bəŋɡalɔ
mnemonig,mnɛmoːnɪɡ
llogi,ɬɔɡi
adwaenost,adwei̯nɔsd
it,ɪt
ngwryw,ŋuːrɪu̯
tesog,tɛsɔɡ
boptai,bɔptai̯
cwmgwrach,kʊmɡwraːχ
wyliau,wɪljɛ
chroes,χrɔi̯s
tre,treː
ceg,keːɡ
dri,driː
gwenith,ɡweːnɪθ
efyrnwy,ɛvərnʊi̯
diarhebion,diarhɛbjɔn
oer,ɔi̯r
eirlysiau,ei̯rləʃai̯
adeiladwaith,adei̯ladwɛθ
dorsen,dɔrsɛn
ffon,fɔn
wiclo,wɪklɔ
tafodau,tavɔdai̯
bychod,bəχɔd
halibalŵ,halɪbaluː
brynu,brəni
maedd,mai̯ð
personél,pɛrsɔnɛl
llawfeddyg,ɬau̯veːðɪɡ
asidaidd,asɪdai̯ð
bricsen,brɪksɛn
ciwcymber,kɪu̯kəmbɛr
rwyfau,rʊi̯vɛ
cwlwm,kʊlʊm
pres,prɛs
glywed,ɡlɪu̯ɛd
caerwysg,kai̯rwɪsɡ
gwladaidd,ɡwlaːdɛð
cynaeafu,kneɨ̯avɨ
adwy,aːdʊi̯
bwydo,bʊi̯dɔ
magnel,maɡnɛl
doit,dɔi̯t
manylion,manəljɔn
crewyr,krɛu̯ɪr
agoraf,aɡoːrav
anafais,anavɛs
tâl,taːl
chymorth,χəmɔrθ
ddilyn,ðɪlɪn
glanaf,ɡlana
nghaledu,ŋ̊aleːdi
phum,fɪm
chasglu,χasɡli
cwestiynau,kwɛsdjuːnɛ
anafai,anavai̯
gloyw,ɡlɔi̯u
arial,arjal
manganîs,maŋɡaniːz
cenhedlu,kɛnhɛdli
mhawb,m̥au̯b
mlew,mlɛu̯
tril,trɪl
mapiau,mapjɛ
anghyseinedd,aŋhəsei̯nɛð
oherwydd,ɔhɛrʊi̯ð
clywed,kləwɛd
lwydd,lʊi̯ð
pabyddion,pabəðjɔn
gwyddel,ɡwɪðɛl
achlust,aχlɪsd
terfyn,tɛrvɪn
teithio,tiθɔ
gwenithfaen,ɡwɛnɪθvai̯n
torogen,tɔroːɡɛn
dangos,daŋɡɔs
disgynedig,dɪsɡəneːdɪɡ
pryf,priːv
heddychwr,hɛðəχʊr
diafol,djavɔl
adlefau,adlɛvai̯
unfed,ɪnvɛd
perlau,pɛrlɛ
amrywiadau,amrɪu̯jadai̯
din,diːn
silweirio,sɪlwei̯rjɔ
barbeciwio,barbɛkɪu̯ɔ
ofnadwy,ɔvnadʊi̯
aceniad,akɛnjad
cacwn,kakʊn
peintiau,pei̯ntjai̯
prynhawn,pnau̯n
roi,rɔi̯
cadeirio,kadeɪ̯rjɔ
cryn,krɪn
seintiau,sei̯ntjɛ
gach,ɡaːχ
cyfrifoldebau,kəvrɪvɔldeːbɛ
bwriadol,bʊrjaːdɔl
griliau,ɡrɪljai̯
genwair,ɡɛnwai̯r
pilaon,pɪlaːɔn
chafodd,χaːvɔð
cerddi,kɛrði
pipon,pɪpɔn
merch,mɛrχ
gwair,ɡwai̯r
llygoden,ɬəɡoːdɛn
hunain,hiːnai̯n
chaeth,χai̯θ
aberystwyth,abɛrəsdʊi̯θ
creisionen,krei̯sjɔnɛn
gwryw,ɡʊrɪu̯
dalom,dalɔm
chweugain,χwei̯ɡai̯n
pellach,pɛɬaχ
fyr,vɪr
cyngor,kəŋɔr
edau,ɛdai̯
gwres,ɡwreːs
blogiau,blɔɡjai̯
anghyfiawnder,aŋhəvjau̯ndɛr
lysiau,ləʃɛ
gwmpas,ɡʊmpas
cyferbynnu,kəvɛrbəni
camdreiglad,kamdrei̯ɡlad
piws,pɪu̯s
mela,mɛla
cyfrifiadur,kəvrɪvjaːdɪr
cyntaf,kəntav
phrydferth,frədvɛθ
nhroed,n̥rɔi̯d
mynachlogydd,mənaχloːɡɪð
heddferch,hɛðvɛrχ
tinfelyn,tɪnveːlɪn
afiechydon,avjɛχədɔn
lywyddes,ləu̯əðɛs
ffrae,frai̯
thyn,θɪn
brasil,brazɪl
ginio,ɡɪnjɔ
decaf,dɛkav
towio,tou̯jɔ
dof,doːv
cynorthwywyr,kənɔrθʊi̯wɪr
fedra,vɛdra
trawsryweddol,trau̯srɪu̯ɛðɔl
apeliadau,apɛljaːdɛ
anghymreig,aŋhəmrei̯ɡ
delynau,dɛlənɛ
both,boːθ
unedau,ɪnɛdai̯
ati,ati
padrig,padrɪɡ
cacynen,kakənɛn
nhaliadau,n̥aljaːdai̯
aelodau,ei̯loːdɛ
llefarydd,ɬɛvarɪð
corwg,koːrʊɡ
ddealloch,ðɪaɬɔχ
clawr,klau̯r
ofer,oːvɛr
ngweithiwr,ŋwei̯θʊr
phiwïaid,fɪu̯iːai̯d
cordd,kɔrð
bachau,baːχai̯
anghytuno,aŋhətiːnɔ
rhestrau,r̥ɛsdrɛ
thebyg,θeːbɪɡ
wylan,ʊi̯lan
jaciau,dʒakjai̯
iddewesau,ɪðɛu̯ɛsai̯
doliau,dɔljɛ
undebau,ɪndeːbai̯
gomiwnyddol,ɡɔmjʊnəðɔl
peunesau,peɨ̯nɛsai̯
anifail,aniːvai̯l
frechdan,vrɛχdan
chyfoethog,χəvɔi̯θɔɡ
rhedyna,r̥ɛdəna
lygad,lɪɡad
