wirkmächtig,vɪʁkmɛçtɪç
kapitulieren,kapituliːʁən
versammeln,fɛʁzaməln
zirkulation,t͡sɪʁkulat͡si̯oːn
bezüglich,bət͡syːklɪç
alkmene,alkmeːnə
bettenburgen,bɛtn̩bʊʁɡn̩
gottseligkeit,ɡɔtzeːlɪçkaɪ̯t
hochglanzfoto,hoːxɡlant͡sfoto
verhaltens,fɛɐ̯haltn̩s
zwangsstörung,t͡svaŋsʃtøːrʊŋ
fahrtrichtung,faːɐ̯tʁɪçtʊŋ
zugängigen,t͡suːɡɛŋɪɡn̩
anstecken,anʃtekn̩
trauring,tʁaʊ̯ʁɪŋ
nachdruck,naːχdʁʊk
entomologie,ɛntomoloɡiː
siebenundzwanzigstens,ziːbm̩ʊntt͡svant͡sɪçstn̩s
gewaltfreiheit,ɡəvaltfʁaɪ̯haɪ̯t
scharbock,ʃaːrbɔk
fotze,fɔtsə
weihnachtskerzchen,vaɪ̯naxt͡skɛʁt͡sçən
wettbewerb,vɛtbəvɛʁp
rettung,ʁɛtʊŋ
generikum,ɡeneːʁikʊm
pässe,pɛsə
tintenfischringe,tɪntn̩fɪʃʁɪŋə
buschwerk,bʊʃvɛʁk
prämiert,pʁɛːmiːɐ̯t
guter,ɡuːtɐ
anreisser,anʁaɪ̯sɐ
schweinefilets,ʃvaɪ̯nəfileːs
achterbahn,ʔaxtɐbaːn
uhrwerk,uːɐ̯vɛʁk
vertrauensselig,fɛɐ̯tʁaʊ̯ənszeːlɪç
sparschäler,ʃpaːɐ̯ʃɛːlɐ
katzenjammer,katsənjamɐ
pult,pʊlt
kinderwagen,kɪndɐvaːɡən
leaken,liːkŋ̩
abführmittel,apfyːɐ̯mɪtl̩
fleissen,flaɪ̯sn̩
ignorant,ɪɡnɔʁant
lache,laχə
nachdrücklich,naːxdʁʏklɪç
beizjäger,baɪ̯t͡sjɛːɡər
vereinsmitglied,fɛɐ̯ʔaɪ̯nsmɪtɡliːd
pardonieren,pardoniːrən
fehlerquelle,feːlɐkvɛlə
kaserne,kazɛɐ̯nə
einbuchtung,aɪ̯nbʊxtʊŋ
glasfaser,ɡlaːsfaːzɐ
liebem,liːbəm
gehässig,ɡəhɛsɪç
zwo,t͡svoː
traktandum,tʁaktandʊm
skabrös,skabʁøːs
sitzpinkler,zɪt͡spɪŋklɐ
staatsangehörigen,ʃtaːtsanɡəhøːʁɪɡən
bänke,bɛŋkə
frömmelei,fʁœməlaɪ̯
paläontologisch,palɛɔntoloːɡɪʃ
zurückwollen,t͡suʁʏkvɔlən
schimärisch,ʃimɛːʁɪʃ
warnen,vaːnən
teller,tɛlər
detektieren,detɛktiːʁən
fett,fɛt
polizistenmörder,polit͡sɪstn̩mœʁdɐ
provozieren,pʁovotsiːʁən
salzwasser,zaltsvasɐ
küchentür,kʏçn̩tyːɐ̯
verzwanzigfachung,fɛɐ̯t͡svant͡sɪçfaxʊŋ
zollamt,t͡sɔlʔamt
verhext,fɛʁhɛkst
protektorat,pʁotɛktoʁaːt
ebene,ʔeːbənə
weis,vaɪ̯s
videospiel,viːdeoʃpiːl
moralin,moʁaliːn
zweiundzwanzigeckes,t͡svaɪ̯ʊntt͡svant͡sɪçɛkəs
sephardi,zefaʁdi
aber,aːbɐ
fistelig,fɪstəlɪk
vater,faːtər
final,finaːl
etatmässig,etaːmɛːsɪç
achtzehn,axt͡sɛn
ursprache,ʔuːɐ̯ʃpʁaːxə
universen,univɛʁzn
korinthenkacker,korɪntənkakɐ
motorbetrieben,moːtoːɐ̯bətʁiːbn̩
munitionsverseucht,munitsi̯onsfɛɐ̯sɔɪ̯çt
kabbelei,kabəlaɪ̯
begeistert,bəɡaɪ̯stɐt
psychosomatisch,psyçozomaːtɪʃ
protagonisten,pʁotaɡonɪstn̩
magen,maːɡən
dachgeschoss,daxɡəʃoːs
tachometers,taxomeːtɐs
bindelaut,bɪndəlaʊ̯t
jeder,jeːdɐ
arbeitsplatten,aʁbaɪ̯t͡splatn̩
rotkäppchen,ʁoːtkɛpçən
häme,hɛːmə
sachsenschlächter,zaksənʃlɛçtɐ
würflig,vʏʁflɪk
genuine,ɡenuiːnə
kommissiv,kɔmɪsiːf
fashionable,fɛʃənəbəl
gäulen,ɡɔʏ̯lən
eisheiliger,aɪ̯shaɪ̯lɪɡɐ
beschwägern,bəʃvɛːɡɐn
küchenschabe,kʏçənʃaːbə
sehenswürdig,zeːənsvʏʁdɪk
scherbrett,ʃeːɐ̯bʁɛt
aa,aː
tuntig,tʊntɪç
maurer,maʊ̯ʁɐ
säbelbeinig,zɛːbl̩baɪ̯nɪç
grosstanten,ɡʁoːstantn̩
häher,hɛːɐ
referendum,ʁɛfəʁɛndʊm
siffig,zɪfɪk
glockenturm,ɡlɔkŋ̩tʊʁm
gold,ɡɔlt
rechtschreiblich,ʁɛçtʃʁaɪ̯plɪç
sofort,zofɔʁt
schlipsträger,ʃlɪpstʁɛːɡɐ
behinderung,bəhɪndəʁʊŋ
masche,maʃə
urologisch,uːʁoloːɡɪʃ
gesamtzahl,ɡəzamttsaːl
voraussehen,foʁaʊ̯szeːən
stillzeiten,ʃtɪltsaɪ̯tn̩
autogrammjäger,ʔaʊ̯toɡʁamjɛːɡɐ
doppelsinnig,dɔpl̩zɪnɪk
peil,paɪl
