Word,Pronunciation
chancellor,t͡ʃænsələ
tion,taɪən
baloney,bəloʊni
aegisthus,ɪd͡ʒɪsθəs
waywardness,weɪwəɹdnəs
superphenomenal,suːpəɹfənɑmənɑnəl
pikestaff,paɪkstɑːf
vizard,vɪzəd
bedash,bɪdæʃ
osmolarity,ɑzmoʊlɛrəti
briefings,bɹiːfɪŋz
analyses,ənælɪsiːz
mangal,mæŋɡəl
gallivant,ɡæləvænt
ostrobogulous,ɑːstɹəbɑːɡjələs
ballute,bəluːt
isoniazid,aɪsənaɪəzɪd
holistic,hoʊlɪstɪk
halesowen,heɪlzoʊɪn
cocoa,koʊkoʊ
internment,ɪntɝnmənt
incandescence,ɪnkændɛsəns
ohana,əhɑːnə
tobacco,təbækoʊ
bumbershoot,bʌmbəɹʃut
setim,siːtɪm
desume,dɪzjuːm
paranoid,pɛɹənɔɪd
intervene,ɪntəɹviːn
nihilartikel,näɪ̯hɪlɑːɹtiːkəl
lymphadenocarcinoma,lɪmfædənoʊkaɹsɪnoʊmə
citizen,sɪtɪzən
hyundai,hjʌndeɪ
xylograph,zaɪloʊɡɹɑːf
tambourine,tæmbəɹiːn
thyroid,θaɪɹɔɪd
ketogenic,kiːtəʊd͡ʒɛnɪk
offer,ɔfɚ
disjunctive,dɪsd͡ʒʌŋktɪv
rhonchi,ɹɒŋkaɪ
keyword,kiwɝd
hungarian,hʌŋɡɛəɹiən
coke,koʊk
ramirez,ɹəmɪɹes
pulling,pʊlɪŋ
centrocecal,sɛntɹəsiːkəl
udaler,juːdələɹ
darrein,dæɹeɪn
klaxon,klæksən
dominus,dɒmɪnəs
headache,hɛdeɪk
trashiness,tɹæʃɪnəs
notself,nɒtsɛlf
anastasia,ænəsteɪʃə
impresario,ɪmprɪsɑːrɪəʊ
absence,æbsən̩s
glout,ɡluːt
drawer,dɹɔɹ
alluded,əluːdɪd
luo,luoʊ
wannabe,wɒnəbi
norfolk,nɔːɹfoʊlk
abduce,æbdus
frustrating,fɹʌstɹeɪ̯tɪŋ
eskdale,ɛskdeɪl
strontianite,stɹɒntiːənaɪt
appy,æpi
civilise,sɪvɪlaɪz
divel,dɪvɛl
suprasegmental,suːpɹəsɛɡmɛntəl
timur,tɪmʊəɹ
coating,koʊtɪŋ
sneck,snɛk
repulsive,ɹɪpʌlsɪv
feigned,feɪnd
hafiz,hɑːfɪz
gassy,ɡæsi
lnav,ɛlneɪv
gyrose,d͡ʒaɪɹəʊs
antidote,æntɪdoʊt
judea,d͡ʒudiːə
upturn,ʌptɝn
nuqta,nʊktə
protested,pɹətɛstɪd
lecturer,lɛkt͡ʃəɹɚ
aginner,əɡɪnɚ
abdominothoracic,æbdɑmɪnoʊθəɹæsɪk
chunter,t͡ʃʌntɚ
spelunk,spiːlʌŋk
uzhe,juːʒ
coworker,koʊwɝkɚ
allegro,əleɪɡɹoʊ
faze,feɪz
planation,pləneɪʃən
faces,feɪsɪz
noteworthy,noʊtwɝði
anemochore,ənɛməkoɹ
irene,aɪɹiːn
cloves,kloʊvz
comminate,kɒmɪneɪt
waul,wɔːl
lexemes,lɛksiːmz
laugher,lɔːɹ
generalissimo,d͡ʒɛnəɹəlisimoʊ
haircolor,hɛəkʌlɚ
micron,maɪkɹɒn
keg,kɛɡ
delano,dɛlənəʊ
merionethshire,mɛɹiɒnɛθʃɪəɹ
methyl,mɛθəl
cacoethes,kakəʊiːθiːz
misunderstanding,mɪsʌndɚstændɪŋ
lately,leɪtli
probyn,pɹəʊbɪn
chick,t͡ʃɪk
project,pɹɑd͡ʒɪ̈kt
ascensive,əsɛnsɪv
lesk,lɛsk
sacrilicious,sækɹəlɪʃəs
