Word,Pronunciation
ماسیده,mɒsjdh
استعمارشان,ɒstʔmɒrʃɒn
استونی,ɒstvnj
واجب,vɒd͡ʒb
تعالیم,tʔɒljm
فوزیه,fvzjh
بیانشان,bjɒnʃɒn
تشریف,tʃrjf
رحمتی,rhmtj
پیرارها,پjrɒrhɒ
پیامی,پjɒmj
مرکب,mrkb
اسپانیا,ɒsپɒnjɒ
مینور,mjnvr
انترناسیونالیسم,ɒntrnɒsjvnɒljsm
بینوایی,bjnvɒjj
لامپ,lɒmپ
ضعفش,zʔfʃ
آقایانی,ɒɣɒjɒnj
سرکنسولگری,srknsvlɡrj
ناکامی,nɒkɒmj
کاستن,kɒstn
پدرو,پdrv
عابد,ʔɒbd
دانشوران,dɒnʃvrɒn
ذاکری,zɒkrj
کلیدهایی,kljdhɒjj
سرسپردگی,srsپrdɡj
محتوایی,mhtvɒjj
به,bh
مزاح,mzɒh
اماله,ɒmɒlh
سردارانی,srdɒrɒnj
اغلب,ɒɣlb
تجهیزشده,td͡ʒhjzʃdh
بزرگمهرها,bzrɡmhrhɒ
مسامحه,msɒmhh
یگانه,jɡɒnh
مؤثرتر,mvʔsrtr
شمشال,ʃmʃɒl
سیاتیک,sjɒtjk
شوتزلر,ʃvtzlr
انفجارهایی,ɒnfd͡ʒɒrhɒjj
نوداماد,nvdɒmɒd
جراید,d͡ʒrɒjd
آهنگر,ɒhŋr
پولشان,پvlʃɒn
ممنونم,mmnvnm
رذالت,rzɒlt
اتفاقاتی,ɒtfɒɣɒtj
لک,lk
غسانی,ɣsɒnj
شکار,ʃkɒr
هانس,hɒns
شادمانش,ʃɒdmɒnʃ
ماتیس,mɒtjs
سنگرم,sŋrm
فیلمش,fjlmʃ
نشانی,nʃɒnj
آکواریوم,ɒkvɒrjvm
آثار,ɒsɒr
کفشی,kfʃj
مدینه,mdjnh
سنوات,snvɒt
فلسطین,flstjn
دریچه,drjt͡ʃh
مشخص,mʃxs
شنوا,ʃnvɒ
زورو,zvrv
باشو,bɒʃv
تذکرات,tzkrɒt
نیمروزی,njmrvzj
جملات,d͡ʒmlɒt
شفاف,ʃfɒf
مصفای,msfɒj
عمرها,ʔmrhɒ
مقتدای,mɣtdɒj
گیاه,ɡjɒh
پلو,پlv
سامی,sɒmj
گرو,ɡrv
آداب,ɒdɒb
اینجاست,ɒjnd͡ʒɒst
بوکان,bvkɒn
شفیع,ʃfjʔ
جیغ,d͡ʒjɣ
همنشینی,hmnʃjnj
موکلان,mvklɒn
آوانویسی,ɒvɒnvjsj
بیرجند,bjrd͡ʒnd
گوهرشاد,ɡvhrʃɒd
لحاظ,lhɒz
منبعث,mnbʔs
اسماعیلت,ɒsmɒʔjlt
دموکراتیزه,dmvkrɒtjzh
کفاشیان,kfɒʃjɒn
غیرمحسوسی,ɣjrmhsvsj
جهات,d͡ʒhɒt
فراروی,frɒrvj
آرامی,ɒrɒmj
احمق,ɒhmɣ
فاکتور,fɒktvr
خرگوش,xrɡvʃ
ممیز,mmjz
میجی,mjd͡ʒj
تنبور,tnbvr
خیار,xjɒr
رام,rɒm
آمنه,ɒmnh
امریکاییان,ɒmrjkɒjjɒn
آبدرجان,ɒbdrd͡ʒɒn
مأمورند,mɒʔmvrnd
اشخاصی,ɒʃxɒsj
دیپلمات,djپlmɒt
استثمارکنندگان,ɒstsmɒrknndɡɒn
فرعون,frʔvn
هفتگی,hftɡj
دماوند,dmɒvnd
دانیل,dɒnjl
کتل,ktl
زوزه,zvzh
میلیاردر,mjljɒrdr
موثقی,mvsɣj
اعلام,ɒʔlɒm
گرگان,ɡrɡɒn
دانلود,dɒnlvd
تجارت,td͡ʒɒrt
دستاویزی,dstɒvjzj
خوشنود,xvʃnvd
بلاشاف,blɒʃɒf
تروریستی,trvrjstj
دیدارهایی,djdɒrhɒjj
تشکر,tʃkr
خونبار,xvnbɒr
مخلوق,mxlvɣ
بدقول,bdɣvl
نزد,nzd
مجرا,md͡ʒrɒ
پربرکت,پrbrkt
اهرم,ɒhrm
زکات,zkɒt
لئون,lيʔvn
قشریان,ɣʃrjɒn
ارسطویی,ɒrstvjj
نقال,nɣɒl
جبال,d͡ʒbɒl
آماتوری,ɒmɒtvrj
سکنی,sknj
اعتمادالدوله,ɒʔtmɒdɒldvlh
مقوایی,mɣvɒjj
مأمورهای,mɒʔmvrhɒj
اینچ,ɒjnt͡ʃ
مضمونی,mzmvnj
آمرزش,ɒmrzʃ
تشابه,tʃɒbh
انگلیسی,ɒŋljsj
شارع,ʃɒrʔ
فرضیات,frzjɒt
آپلود,ɒپlvd
تابعین,tɒbʔjn
الموطأ,ɒlmvtɒʔ
لبخندهای,lbxndhɒj
دونر,dvnr
اکسپرسیونیسم,ɒksپrsjvnjsm
بعدی,bʔdj
آلیس,ɒljs
کارهایش,kɒrhɒjʃ
کنج,knd͡ʒ
مصروع,msrvʔ
شاکرنژاد,ʃɒkrnʒɒd
ویراستاری,vjrɒstɒrj
ی,j
تقرب,tɣrb
پساب,پsɒb
حرافی,hrɒfj
کارآموز,kɒrɒmvz
زمامدار,zmɒmdɒr
آفساید,ɒfsɒjd
دقایق,dɣɒjɣ
گنجشکی,ɡnd͡ʒʃkj
حیوانیت,hjvɒnjt
شعر,ʃʔr
مذلت,mzlt
چرخش,t͡ʃrxʃ
مفرد,mfrd
بابازارها,bɒbɒzɒrhɒ
سطل,stl
جاهلانه,d͡ʒɒhlɒnh
نظر,nzr
خداشناسی,xdɒʃnɒsj
گردهمایی,ɡrdhmɒjj
جادویی,d͡ʒɒdvjj
حتمی,htmj
لزومی,lzvmj
نهری,nhrj
خریداران,xrjdɒrɒn
ابتلا,ɒbtlɒ
بهسازی,bhsɒzj
تلاشی,tlɒʃj
انتظامات,ɒntzɒmɒt
تندیس,tndjs
بناهایی,bnɒhɒjj
تسهیلات,tshjlɒt
تابش,tɒbʃ
تافتون,tɒftvn
سبحانی,sbhɒnj
غوکی,ɣvkj
غیرالهی,ɣjrɒlhj
شادابی,ʃɒdɒbj
اعتراض,ɒʔtrɒz
صبورانه,sbvrɒnh
بحران,bhrɒn
انحرافات,ɒnhrɒfɒt
ساختگی,sɒxtɡj
هدف,hdf
خمیر,xmjr
هرکدام,hrkdɒm
بیسکویت,bjskvjt
برشتان,brʃtɒn
دبیر,dbjr
دریافتی,drjɒftj
استوایی,ɒstvɒjj
اصل,ɒsl
مشقت,mʃɣt
پذیرفتندش,پzjrftndʃ
ویلسون,vjlsvn
کامبخش,kɒmbxʃ
آمنو,ɒmnv
اعم,ɒʔm
همسفرشان,hmsfrʃɒn
شستشو,ʃstʃv
خدایار,xdɒjɒr
فاسدان,fɒsdɒn
منتخب,mntxb
جمل,d͡ʒml
جارچی,d͡ʒɒrt͡ʃj
وادار,vɒdɒr
تکبر,tkbr
کاغذهایش,kɒɣzhɒjʃ
واقف,vɒɣf
مدید,mdjd
جماران,d͡ʒmɒrɒn
موجب,mvd͡ʒb
کاستارد,kɒstɒrd
تندر,tndr
