di,di
di',di|di
e,e
che,ke
il,i
la,la
a,a
a',a
in,in
non,n
un,un
un',un
per,per
l,l
l',l
i,i
i',i
una,una
le,le
si,si
con,kon
da,da
da',da
sono,sono
ma,ma
al,al
ha,a
come,kome
più,pju
dei,dej
se,se
mi,mi
alla,alla
anche,anke
lo,lo
gli,ʎ
o,o
questo,kwesto
ho,ɔ
ci,t͡ʃi
su,su
ad,ad‿
solo,solo
essere,ɛssere
io,io
ti,ti
cui,kuj
d,d
d',d‿
era,ɛra
stato,stato
quando,kwando
tutti,tutti
ed,ed‿
questa,kwesta
c,k
tutto,tutto
cosa,kɔsa
hanno,anno
tra,tra
fatto,fatto
prima,prima
suo,suo
loro,loro
parte,parte
perché,perke
anni,anni
due,due
sia,sia
sua,sua
c'è,t͡ʃ‿ɛ
ai,aj
fare,fare
così,kosi
dalla,dalla
dopo,dopo
alle,alle
uno,uno
ne,ne
poi,pɔj
quello,kwello
sempre,sɛmpre
fa,fa
fa',fa|fa
me,me
me',mɛ
chi,ki
ancora,ankora
molto,molto
senza,sɛnt͡sa
mai,maj
ogni,oɲɲi
altri,altri
ora,ora
mio,mio
può,pwɔ
quanto,kwanto
tempo,tɛmpo
dove,dove
vita,vita
nei,nej
no,no
già,d͡ʒa
sei,sɛj
quella,kwella
quindi,kwindi
secondo,sekondo
hai,aj
proprio,prɔprjo
altro,altro
bene,bɛne
grazie,ɡratt͡sje
lavoro,lavoro
modo,mɔdo
noi,noj
vi,vi
casa,kasa
persone,persone
qui,kwi
sta,sta
sta',sta
te,te
volta,volta
dire,dire
italia,italja
tu,tu
giorno,d͡ʒorno
mondo,mondo
questi,kwesti
stata,stata
lui,luj
siamo,sjamo
stesso,stesso
via,via
cose,kɔse
grande,ɡrande
primo,primo
contro,kontro
caso,kazo
li,li
mentre,mentre
tutte,tutte
abbiamo,abbjamo
oggi,ɔdd͡ʒi
tanto,tanto
città,t͡ʃitta
nuovo,nwɔvo
detto,detto
fine,fine
po,pɔ
po',pɔ
qualche,kwalke
quale,kwale
suoi,swɔj
viene,vjɛne
aveva,aveva
anno,anno
dalle,dalle
sarà,sara
stati,stati
storia,stɔrja
tre,tre
tuo,tuo
va,va‿||va
va',va
avere,avere
fino,fino
foto,fɔto
altre,altre
meglio,mɛʎʎo
queste,kweste
visto,visto
ciò,t͡ʃɔ
meno,meno
però,perɔ
sarebbe,sarɛbbe
so,sɔ‿||sɔ
sotto,sotto
momento,momento
vedere,vedere
deve,deve
forse,forse
giorni,d͡ʒorni
invece,invet͡ʃe
nostro,nɔstro
agli,aʎʎi
qualcosa,kwalkɔsa
sembra,sembra
fosse,fosse
oltre,oltre
troppo,trɔppo
vero,vero
allora,allora
durante,durante
fu,fu
gente,d͡ʒɛnte
legge,ledd͡ʒe
niente,njɛnte
posto,posto
alcuni,alkuni
fuori,fwɔri
nome,nome
poco,pɔko
roma,roma
sto,stɔ‿||stɔ
voi,voj
andare,andare
insieme,insjeme
punto,punto
qualcuno,kwalkuno
quelli,kwelli
tipo,tipo
tutta,tutta
altra,altra
davvero,davero
dice,dit͡ʃe
nessuno,nessuno
nuova,nwɔva
quali,kwali
tua,tua
verso,vɛrso
volte,volte
comunque,komunkwe
lei,lɛj
n,n
video,video
voglio,vɔʎʎo
male,male
nostra,nɔstra
numero,numero
quasi,kwazi
quelle,kwelle
sì,si
cazzo,katt͡so
certo,t͡ʃɛrto
gruppo,ɡruppo
persona,persona
sue,sue
dato,dato
società,sot͡ʃeta
uomo,wɔmo
famiglia,famiʎʎa
nulla,nulla
ore,ore
paese,paeze
problema,problɛma
puoi,pwɔj
circa,t͡ʃirka
credo,kredo
governo,ɡovɛrno
molti,molti
posso,pɔsso
potrebbe,potrɛbbe
ecco,ɛkko
esempio,ezempjo
ben,bɛn
donne,dɔnne
fanno,fanno
italiano,italjano
milano,milano
possibile,possibile
rispetto,rispɛtto
sistema,sistɛma
abbia,abbja
adesso,adɛsso
bisogno,bizoɲɲo
serie,sɛrje
allo,allo
almeno,almeno
donna,dɔnna
miei,mjɛj
nazionale,natt͡sjonale
generale,d͡ʒenerale
guerra,ɡwɛrra
infatti,infatti
morte,mɔrte
sito,sito
avuto,avuto
base,baze
film,film
politica,politika
pure,pure
spesso,spesso
uomini,wɔmini
comune,komune
sa,sa‿||sa
subito,subito
centro,t͡ʃentro
dio,dio
fra,fra
inoltre,inoltre
parlare,parlare
scuola,skwɔla
vuoi,vwɔj
appena,appena
ce,t͡ʃe
idea,idɛa
mano,mano
siano,siano
alcune,alkune
amici,amit͡ʃi
avrebbe,avrɛbbe
causa,kawza
corso,korso
forza,fɔrt͡sa
importante,importante
mesi,mezi
seguito,seɡwito
senso,sɛnso
successo,sutt͡ʃɛsso
basta,basta
diritto,diritto
fai,faj
nostri,nɔstri
parole,parɔle
s,s
scritto,skritto
soprattutto,soprattutto
terra,tɛrra
padre,padre
piace,pjat͡ʃe
dare,dare
devo,devo
piano,piano
porta,porta
settimana,settimana
state,state
trovare,trovare
vista,vista
genere,d͡ʒɛnere
letto,lɛtto
migliore,miʎʎore
pubblico,pubbliko
realtà,realta
strada,strada
livello,livɛllo
lungo,lunɡo
mezzo,medd͡zo
problemi,problɛmi
ragazzi,raɡatt͡si
seconda,sekonda
tale,tale
bella,bɛlla
diversi,divɛrsi
grandi,ɡrandi
particolare,partikolare
ragione,rad͡ʒone
settembre,settɛmbre
marzo,mart͡so
notte,nɔtte
possa,pɔssa
presso,prɛsso
quattro,kwattro
san,san
situazione,situatt͡sjone
attività,attivita
attraverso,attravɛrso
bambini,bambini
consiglio,konsiʎʎo
faccio,fatt͡ʃo
forma,forma
italiana,italjana
libro,libro
qualsiasi,kwalsiasi
sapere,sapere
buon,bwɔn
campo,kampo
dagli,daʎʎi
faccia,fatt͡ʃa
figlio,fiʎʎo
m,m
prendere,prɛndere
progetto,prod͡ʒɛtto
propria,prɔprja
servizio,servitt͡sjo
testa,tɛsta
accordo,akkɔrdo
amore,amore
avevo,avevo
capo,kapo
conto,konto
giusto,d͡ʒusto
madre,madre
periodo,periodo
preso,preso
studio,studjo
tratta,tratta
unico,uniko
ciao,t͡ʃao
diverse,divɛrse
gioco,d͡ʒɔko
grado,ɡrado
voce,vot͡ʃe
forte,fɔrte
giro,d͡ʒiro
gran,ɡran
italiani,italjani
maggio,madd͡ʒo
mese,mese
ricerca,rit͡ʃerka
unica,unika
uso,uzo
capire,kapire
corpo,kɔrpo
fatti,fatti
luogo,lwɔɡo
nemmeno,nemmeno
ormai,ormaj
parla,parla
partito,partito
passato,passato
ragazza,raɡatt͡sa
tv,tivu
avanti,avanti
avete,avete
euro,ɛwro
favore,favore
figli,fiʎʎi
minuti,minuti
sicurezza,sikurett͡sa
tuttavia,tuttavia
acqua,akkwa
aprile,aprile
cuore,kwɔre
difficile,diffit͡ʃile
domanda,domanda
giugno,d͡ʒuɲɲo
occhi,ɔkki
presente,presɛnte
siete,sjete
trova,trɔva
vedo,vedo
articolo,artikolo
b,b
bello,bɛllo
capito,kapito
chiesa,kjɛza
cioè,t͡ʃoɛ
devi,devi
ex,ɛks
lì,li
ottobre,ottobre
parola,parɔla
pochi,pɔki
prova,prɔva
sera,sera
sud,sud
titolo,titolo
vorrei,vorrɛj
cinque,t͡ʃinkwe
europa,ewrɔpa
fatta,fatta
luglio,luʎʎo
musica,muzika
paesi,paezi
paura,paura
pensare,pensare
primi,primi
regione,red͡ʒone
sociale,sot͡ʃale
sopra,sopra
stare,stare
dietro,djetro
inglese,inɡlese
maggiore,madd͡ʒore
messo,messo
nord,nɔrd
post,post
questione,kwestjone
re,re
termine,tɛrmine
vicino,vit͡ʃino
vivere,vivere
