くろかみ,kɯ̟ᵝɾo̞ka̠mʲi
こうえい,ko̞ːe̞ː
けんよう,kẽ̞ɰ̃jo̞ː
じゅんぜん,d͡ʑɨ̃ᵝnd͡zẽ̞ɴ
かきくだす,ka̠kʲikɯ̟ᵝda̠sɨᵝ
きょうきゅう,kʲo̞ːkʲɨᵝː
こくぼうしょう,ko̞kɯ̟ᵝbo̞ːɕo̞ː
こくしょく,ko̞kɯ̟ᵝɕo̞kɯ̟ᵝ
しょし,ɕo̞ɕi
かくり,ka̠kɯ̟ᵝɾʲi
うっとう,ɯ̟ᵝt̚to̞ː
ありなし,a̠ɾʲina̠ɕi
ししまい,ɕiɕima̠i
かいそうろく,ka̠iso̞ːɾo̞kɯ̟ᵝ
ざせつ,d͡za̠se̞t͡sɨᵝ
かいかぶる,ka̠ika̠bɯ̟ᵝɾɯ̟ᵝ
おにぐも,o̞ɲ̟iɡɯ̟ᵝmo̞
しんぶつ,ɕĩmbɯ̟ᵝt͡sɨᵝ
おもいで,o̞mo̞ide̞
こうつう,ko̞ːt͡sɨᵝː
じょろ,d͡ʑo̞ɾo̞
くにひろ,kɯ̟ᵝɲ̟içiɾo̞
きゅうきん,kʲɨᵝːkʲĩɴ
こうどう,ko̞ːdo̞ː
あれれ,a̠ɾe̞ɾe̞
かいかく,ka̠ika̠kɯ̟ᵝ
こじん,ko̞ʑĩɴ
こんでん,kõ̞ndẽ̞ɴ
くちべに,kɯ̟̊ᵝt͡ɕibe̞ɲ̟i
にせもの,ɲ̟ise̞mo̞no̞
かさねる,ka̠sa̠ne̞ɾɯ̟ᵝ
えど,e̞do̞
しんしゅん,ɕĩɰ̃ɕɨ̃ᵝɴ
きゅうけいしつ,kʲɨᵝːke̞ːɕit͡sɨᵝ
かきこむ,ka̠kʲiko̞mɯ̟ᵝ
さいか,sa̠ika̠
しろはら,ɕiɾo̞ha̠ɾa̠
しじょう,ɕiʑo̞ː
がっこつ,ɡa̠k̚ko̞t͡sɨᵝ
しょうがい,ɕo̞ːɡa̠i
こうしゅうでんわ,ko̞ːɕɨᵝːdẽ̞ɰ̃ɰᵝa̠
かいこう,ka̠iko̞ː
こんせん,kõ̞ɰ̃sẽ̞ɴ
ごうか,ɡo̞ːka̠
い,i
しょうじる,ɕo̞ːʑiɾɯ̟ᵝ
じょうき,d͡ʑo̞ːkʲi
かんぷく,kã̠mpɯ̟ᵝkɯ̟ᵝ
ざわつく,d͡za̠ɰᵝa̠t͡sɨᵝkɯ̟ᵝ
しんしゃく,ɕĩɰ̃ɕa̠kɯ̟ᵝ
うずくまる,ɯ̟ᵝzɨᵝkɯ̟ᵝma̠ɾɯ̟ᵝ
げきし,ɡe̞kʲiɕi
かげふみ,ka̠ɡe̞ɸɯ̟ᵝmʲi
いかり,ika̠ɾʲi
けがにん,ke̞ɡa̠ɲ̟ĩɴ
こくぼう,ko̞kɯ̟ᵝbo̞ː
しょうがいしゃ,ɕo̞ːɡa̠iɕa̠
うん,ɯ̟̃ᵝɴ
きんぎょ,kʲĩŋʲɡʲo̞
したし,ɕita̠ɕi
きしせんめい,kʲiɕisẽ̞mːe̞ː
こくひん,ko̞kɯ̟ᵝçĩɴ
