a,aː
in,ɪn
'i,i̯
i,iː
is,iːs
it,ɪt
was,waːs
be',beː
at,at
not,nɔt
we,weː
all,aːɬ
can,kan
more,moːrɛ
do,doː
had,haːd
her,hɛr
go,ɡoː
well,weːɬ
got,ɡɔt
down,dou̯n
man,man
long,lɔŋ
both,boːθ
am,am
help,hɛlp
does,doːɨ̯s
big,biːɡ
system,sɪsdɛm
person,pɛrsɔn
bad,baːd
call,kaːɬ
try,triː
car,kar
post,pɔsd
problem,prɔblɛm
'm,m
win,wiːn
air,ai̯r
'r,r
act,akt
e,eː
march,marχ
cost,kɔsd
cut,kɪt
main,mai̯n
de,deː
america,amɛrɪka
goes,ɡoːs
record,rɛkɔrd
w,uː
'n,n
model,mɔdɛl
o,oː
paid,pai̯d
'u,i̯
led,leːd
u,iːbeːdɔl
staff,sdaf
union,ɪ
h,ai̯tʃ
sir,siːr
lol,lɔl
offer,oːfɛr
india,ɪndja
'y,ə
y,ə
brown,brou̯n
gas,ɡaːs
radio,radjɔ
credit,kreːdɪt
g,ɛɡ
hi,hiː
j,dʒeː
fair,vai̯r
canada,kaːnada
dad,daːd
unit,iːnɪt
brain,brai̯n
contract,kɔntrakt
band,band
fan,van
closed,klɔsɛd
facebook,feːsbʊk
plant,plant
cell,kɛɬ
pop,pɔp
partner,partnar
twitter,twɪtər
paris,paːrɪs
draw,drau̯
gain,ɡai̯n
bag,baɡ
camp,kamp
christ,χrɪst
bridge,brɪd͡ʒ
ad,aːd
map,map
dry,driː
mad,maːd
blog,blɔɡ
pair,pai̯r
afraid,avrai̯d
ben,bɛn
im,ɪm
ca,kaː
drama,draːma
actor,aktɔr
chain,χai̯n
talent,talɛnt
'ma,ma
bob,boːb
iran,ɪran
un,iːn
alcohol,alkɔhɔl
bell,beːɬ
em,ɛm
el,ɛl
ban,ban
carbon,karbɔn
da,daː
drawn,drau̯n
chest,χɛst
dan,dan
p'un,piːn
en,ɛn
ford,vɔrd
le,leː
pa,paː
alan,alan
angel,aŋal
math,maːθ
protest,prɔtɛsd
bath,baːθ
'na,na
min,miːn
morgan,mɔrɡan
na,na
saint,sai̯nt
ap,ap
bid,biːd
bro,broː
cares,karɛs
sweden,sweːdɛn
thrown,θrou̯n
pan,pan
allen,aɬɛn
berlin,bɛrlɪn
mo,mɔ
pen,pɛn
cop,kɔp
sin,siːn
cant,kant
tail,tai̯l
di,diː
gen,ɡɛn
del,dɛl
symbol,sɪmbɔl
madrid,madrɪd
mi,miː
se,sɛ
ton,tɔn
las,laːs
pin,piːn
pump,pɪmp
dawn,dau̯n
fi,viː
ac,ei̯lɔdkənɪɬjad
des,deːs
er,ɛr
ai,ai̯
bin,biːn
du,diː
nail,nai̯l
'th,θ
bacteria,baktɛrja
corn,kɔrn
poster,pɔsdɛr
birmingham,bərmɪŋham
jam,d͡ʒam
si,siː
flew,vlɛu̯
pics,pɪks
protocol,prɔtɔkɔl
salad,saːlad
flows,vlou̯z
ga,ɡaː
pig,piːɡ
rod,roːd
closet,klɔsɛt
mud,miːd
blew,blɛu̯
brad,braːd
canon,kanɔn
cared,karɛd
est,eːsd
stamp,sdamp
cam,kam
cliff,kliːf
lemon,lɛmɔn
les,leːs
os,ɔs
tales,talɛs
euro,ei̯rɔ
myth,miːθ
nest,neːsd
te,teː
ab,ab
ar,ar
dot,dɔt
dylan,dəlan
ne,neː
bi,biː
blows,blou̯z
chapel,χapɛl
fur,viːr
tin,tiːn
arch,arχ
gut,ɡɪt
ta,ta
sail,sai̯l
tan,tan
banana,banana
silicon,sɪlɪkɔn
barn,barn
hydrogen,hədrɔɡɛn
lawn,lau̯n
af,aː
toes,tɔi̯s
'ch,χ
'chi,χiː
ag,aɡ
chi,χiː
colombia,kɔlɔmbja
pipes,pɪpɛs
dull,dɪɬ
bore,boːrɛ
chad,χaːd
clown,klou̯n
dial,diːal
es,eːs
ni,niː
pac,pak
perth,pɛrθ
hail,hai̯l
pasta,pasda
pi,piː
anthem,anθɛm
mod,moːd
cardinal,kardɪnal
fe,veː
cod,koːd
