	
!	!
"	"
"زن"	"zn"
"اثر"	"ɒsr"
"مرد"	"mrd"
«	«
»	»
%	%
&	&
'	'
''ایمیل''	''ɒjmjl''
(	(
)	)
+	+
-	-
-شاعر	-ʃɒʔr
.	.
/	/
0.6	0.6
0/01	0/01
01.0	01.0
1	1
1+5	1+5
1.2.15	1.2.15
1.3	1.3
1.5460	1.5460
1/3	1/3
10	10
10×10	10×10
10-15	10-15
100	100
1000	1000
100000	100000
1000484b	1000484b
101	101
102	102
1020	1020
1025	1025
1037	1037
104	104
1047	1047
105	105
1056	1056
108	108
1080p	1080p
1095	1095
10:30	10:30
11	11
110	110
1100	1100
11000	11000
1126	1126
115	115
1150	1150
12	12
120	120
1200	1200
121	121
1226	1226
123	123
1231	1231
1251	1251
1255	1255
1259	1259
1262	1262
127	127
128	128
13	13
13-11	13-11
13.2	13.2
13.7	13.7
130	130
1300	1300
1301	1301
1302	1302
1315	1315
1317	1317
132	132
1320	1320
1325	1325
1326	1326
1330	1330
1331	1331
1332	1332
1333	1333
134	134
1340	1340
1342	1342
1343	1343
1345	1345
1346	1346
1347	1347
135	135
1355	1355
1357	1357
1358	1358
1359	1359
136	136
1362	1362
1363	1363
1368	1368
1369	1369
1370	1370
1371	1371
1372	1372
1373	1373
1375	1375
1376	1376
1377	1377
138	138
1380	1380
1381	1381
1382	1382
1385	1385
1386	1386
1387	1387
1388	1388
1389	1389
1390	1390
1391	1391
14	14
14/8/1360	14/8/1360
140	140
1400	1400
1404	1404
1405	1405
141	141
1412	1412
1416	1416
1430	1430
144	144
1447	1447
1450	1450
1469-1527	1469-1527
147	147
15	15
150	150
1500	1500
1511	1511
1516	1516
1540	1540
1542	1542
1550	1550
1556	1556
1585	1585
1595	1595
15:10	15:10
15:52	15:52
16	16
16/273	16/273
160	160
1600	1600
1621	1621
164	164
165	165
1676	1676
168	168
1694	1694
16:10	16:10
17	17
170	170
1700	1700
1713	1713
1736	1736
1740	1740
175	175
176	176
1768	1768
1795	1795
18	18
180	180
1800	1800
1801	1801
182	182
1821	1821
1823	1823
1825	1825
183	183
1830-1828	1830-1828
1833	1833
1834-1772	1834-1772
184	184
1841	1841
1842	1842
1848	1848
1849	1849
185	185
1857	1857
1859	1859
1862	1862
1865	1865
1867	1867
1873	1873
1874	1874
1875	1875
1886	1886
1888	1888
1889	1889
1896	1896
19	19
190	190
1900	1900
1901	1901
1902	1902
1907	1907
1908	1908
1910	1910
1911	1911
1912	1912
1917	1917
1917/2/11	1917/2/11
1918	1918
1920	1920
1922	1922
1924	1924
1925	1925
1926	1926
1927	1927
1928	1928
1930	1930
1931	1931
1933	1933
1937	1937
1940	1940
1941	1941
1945	1945
1946	1946
1949	1949
1950	1950
1952	1952
1953	1953
1956	1956
196	196
1960	1960
1961	1961
1962	1962
1964	1964
1965	1965
1966	1966
1967	1967
1969	1969
1970	1970
1973	1973
1974	1974
1978	1978
1979	1979
1980	1980
1981	1981
1982	1982
1983	1983
1988	1988
1989	1989
1990	1990
1991	1991
1992	1992
1993	1993
1995	1995
1996	1996
1998	1998
1999	1999
1٫1	1٫1
2	2
2-پنتانول	2-پntɒnvl
2/5	2/5
20	20
200	200
