はっ	h a̠ ʔ
れ゚	l e̞
レ゚	l e̞
ろ゚	l o̞
ロ゚	l o̞
さ゚	t͡s a̠̠
サ゚	t͡s a̠̠
せ゚	t͡ɕ e̞̞
あ	a̠
ア	a̠
あ	a̠
あ	a̠
あ	a̠
アー	a̠ː
ああ	a̠ː
あーあ	a̠ ꜔ . a̠ ˩ . a̠ ˩˥
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟ᵝ
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟ᵝ
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーキビスト	a̠ː kʲ i bʲ i s ɨᵝ t o̞
アーク	a̠ː k ɯ̟ᵝ
アークコタンジェント	a̠ː k ɯ̟ᵝ k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アークサイン	a̠ː k ɯ̟ᵝ s a̠ ĩ ɴ
アークタンジェント	a̠ː k ɯ̟ᵝ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アーグラ	a̠ː ɡ ɯ̟ᵝ ɾ a̠
アークろ	a̠ː k ɯ̟ᵝ ɾ o̞
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アーしゃ	a̠ː ɕ a̠
アース	a̠ː s ɨᵝ
アースガルズ	a̠ː s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ z ɨᵝ
アースガルド	a̠ː s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ d o̞
アーチ	a̠ː t͡ɕ i
アーチェリー	a̠ː t͡ɕ e̞ ɾʲ iː
アーチスト	a̠ː t͡ɕ i̥ s ɨᵝ t o̞
アーティキュレーション	a̠ː tʲ i kʲ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
アーティスト	a̠ː tʲ i s ɨᵝ t o̞
アーティストインレジデンス	a̠ː tʲ i s ɨᵝ t o̞ ĩ n ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨᵝ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
アーティファクト	a̠ː tʲ i ɸ a̠ k ɯ̟ᵝ t o̞
アート	a̠ː t o̞
アードウルフ	a̠ː d o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
あーね	a̠ː n e̞
アーノルド	a̠ː n o̞ ɾ ɯ̟ᵝ d o̞
アーバーダーン	a̠ː b a̠ː d ã̠ː ɴ
アーフェンピンシャー	a̠ː ɸ ẽ̞ m pʲ ĩ ɰ̃ ɕ a̠ː
アーヘン	a̠ː h ẽ̞ ɴ
アームストロング	a̠ː m ɯ̟ᵝ s ɨᵝ t o̞ ɾ õ̞ ŋ ɡ ɯ̟ᵝ
アームチェア	a̠ː m ɯ̟ᵝ t͡ɕ e̞ a̠
アーメン	a̠ː m ẽ̞ ɴ
アーモンド	a̠ː m õ̞ n d o̞
アーユルヴェーダ	a̠ː j ɯ̟ᵝ ɾ ɯ̟ᵝ b e̞ː d a̠
アール	a̠ː ɾ ɯ̟ᵝ
アールエヌエー	a̠ː ɾ ɯ̟ᵝ e̞ n ɯ̟ᵝ e̞ː
アールグレイ	a̠ː ɾ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ e̞ː
アールピージー	a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
アールブイ	a̠ː ɾ ɯ̟ᵝ b ɯ̟ᵝ i
アーンミーヤ	ã̠ː mʲː iː j a̠
あい	a̠ i
アイ	a̠ i
あい	a̠ i
あいいれない	a̠ i i ɾ e̞ n a̠ i
あいいれる	a̠ i i ɾ e̞ ɾ ɯ̟ᵝ
アイアイ	a̠ i a̠ i
あいあいがさ	a̠ i a̠ i ɡ a̠ s a̠
アイアン	a̠ i ã̠ ɴ
あいいろ	a̠ iː ɾ o̞
あいいん	a̠ ĩː ɴ
あいえき	a̠ i e̞ kʲ i
アイエスビーエヌ	a̠ i e̞ s ɨᵝ bʲ iː e̞ n ɯ̟ᵝ
あいえんきえん	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
アイオーン	a̠ i õ̞ː ɴ
アイオロス	a̠ i o̞ ɾ o̞ s ɨᵝ
アイオワ	a̠ i o̞ ɰᵝ a̠
あいか	a̠ i k a̠
あいかぎ	a̠ i k a̠ ɡʲ i
あいがさ	a̠ i ɡ a̠ s a̠
あいかた	a̠ i k a̠ t a̠
あいがみ	a̠ i ɡ a̠ mʲ i
あいがめ	a̠ i ɡ a̠ m e̞
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいかん	a̠ i k ã̠ ɴ
あいがん	a̠ i ɡ ã̠ ɴ
あいがん	a̠ i ɡ ã̠ ɴ
あいき	a̠ i kʲ i
あいき	a̠ i kʲ i
あいきどう	a̠ i kʲ i d o̞ː
アイキュー	a̠ i kʲ ɨᵝː
あいきょう	a̠ i kʲ o̞ː
あいぎょくし	a̠ i ɡʲ o̞ k ɯ̟ᵝ ɕ i
あいくおう	a̠ i k ɯ̟ᵝ o̞ː
あいくち	a̠ i k ɯ̟̊ᵝ t͡ɕ i
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいけん	a̠ i k ẽ̞ ɴ
あいこ	a̠ i k o̞
あいこ	a̠ i k o̞
あいご	a̠ i ɡ o̞
あいご	a̠ i ɡ o̞
あいこう	a̠ i k o̞ː
あいこう	a̠ i k o̞ː
あいこうか	a̠ i k o̞ː k a̠
アイゴー	a̠ i ɡ o̞ː
あいごう	a̠ i ɡ o̞ː
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟ᵝ ɕ a̠
あいこくしゅぎ	a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
あいこくしん	a̠ i k o̞ k ɯ̟ᵝ ɕ ĩ ɴ
あいこっか	a̠ i k o̞ k̚ k a̠
あいことば	a̠ i k o̞ t o̞ b a̠
アイコン	a̠ i k õ̞ ɴ
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
あいざわ	a̠ i z a̠ ɰᵝ a̠
あいじ	a̠ i ʑ i
あいしあう	a̠ i ɕ i a̠ ɯ̟ᵝ
アイシービーエム	a̠ i ɕ iː bʲ iː e̞ m ɯ̟ᵝ
あいしゃ	a̠ i ɕ a̠
あいしゃ	a̠ i ɕ a̠
アイシャドウ	a̠ i ɕ a̠ d o̞ː
アイシャドー	a̠ i ɕ a̠ d o̞ː
あいしゅう	a̠ i ɕ ɨᵝː
あいしゅう	a̠ i ɕ ɨᵝː
あいしょう	a̠ i ɕ o̞ː
あいしょう	a̠ i ɕ o̞ː
あいじょう	a̠ i ʑ o̞ː
あいじょう	a̠ i ʑ o̞ː
あいしょうか	a̠ i ɕ o̞ː k a̠
あいしょうか	a̠ i ɕ o̞ː k a̠
あいじん	a̠ i ʑ ĩ ɴ
あいしんかくら	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟ᵝ
アイス	a̠ i s ɨᵝ
あいす	a̠ i s ɨᵝ
あいず	a̠ i z ɨᵝ
アイスバーン	a̠ i s ɨᵝ b ã̠ː ɴ
アイスランド	a̠ i s ɨᵝ ɾ ã̠ n d o̞
あいする	a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あいせき	a̠ i s e̞ kʲ i
あいせき	a̠ i s e̞ kʲ i
あいそ	a̠ i s o̞
あいぞう	a̠ i z o̞ː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいぞめ	a̠ i z o̞ m e̞
あいぞめや	a̠ i z o̞ m e̞ j a̠
あいた	a̠ i t a̠
あいだ	a̠ i d a̠
あいたい	a̠ i t a̠ i
あいだい	a̠ i d a̠ i
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
あいち	a̠ i t͡ɕ i
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
あいちょう	a̠ i t͡ɕ o̞ː
あいつう	a̠ i t͡s ɨᵝː
あいつぐ	a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
あいて	a̠ i t e̞
アイディア	a̠ i dʲ i a̠
アイディー	a̠ i dʲ iː
アイテール	a̠ i t e̞ː ɾ ɯ̟ᵝ
アイテム	a̠ i t e̞ m ɯ̟ᵝ
アイテル	a̠ i t e̞ ɾ ɯ̟ᵝ
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
