ღ,ʁ
ლ,l
ⴀ,ɑ
ⴃ,d̪
ⴄ,ɛ
ⴅ,v
ა,a
ააბარგებს,aabaɾɡebs
ააგდებს,aaɡdebs
ააგიზგიზებს,aaɡizɡizebs
ააგო,aaɡo
აადვილებს,aadʷilebs
აალებადი,aalebadi
აალებული,aalebuli
აამებს,aamebs
აბა,aba
აბაზანა,abazana
აბაზაშვილი,abazaʃʷili
აბაზი,abazi
აბაიაძე,abaiad͡ze
აბაიშვილი,abaiʃʷili
აბაკი,abakʼi
აბამს,abams
აბანო,abano
აბანოზი,abanozi
აბაჟური,abaʒuɾi
აბარგება,abaɾɡeba
აბარებს,abaɾebs
აბასაშვილი,abasaʃʷili
აბატი,abatʼi
აბაშვილი,abaʃʷili
აბაშიშვილი,abaʃiʃʷili
აბგა,abɡa
აბდაუბდა,abdaubda
აბედი,abedi
აბეზღებს,abezʁebs
აბელაშვილი,abeɫaʃʷili
აბელი,abeli
აბელიანი,abeliani
აბეწვაშვილი,abet͡sʼʷaʃʷili
აბზაცი,abzat͡sʰi
აბზინდა,abzinda
აბი,abi
აბიაშვილი,abiaʃʷili
აბიბინებს,abibinebs
აბინძურებს,abind͡zuɾebs
აბისონაშვილი,abisonaʃʷili
აბლაბუდა,abɫabuda
აბლაგვებს,abɫaɡʷebs
აბლაუტი,abɫautʼi
აბმა,abma
აბო,abo
აბონემენტი,abonementʼi
აბონენტი,abonentʼi
აბორიგენი,aboɾiɡeni
აბრაგი,abɾaɡi
აბრაკადაბრა,abɾakʼadabɾa
აბრალებს,abɾalebs
აბრამაშვილი,abɾamaʃʷili
აბრამი,abɾami
აბრამიშვილი,abɾamiʃʷili
აბრევი,abɾevi
აბრევიატურა,abɾeviatʼuɾa
აბრეშუმი,abɾeʃumi
აბრუნებს,abɾunebs
აბრძანდება,abɾd͡zandeba
აბსოლუტიზმი,absoɫutʼizmi
აბსოლუტურად,absoɫutʼuɾad
აბსოლუტური,absoɫutʼuɾi
აბსტრაქტულად,abstʼɾakʰtʼuɫad
აბსტრაქტული,abstʼɾakʰtʼuli
აბსტრაქცია,abstʼɾakʰt͡sʰia
აბსურდულად,absuɾduɫad
აბსურდული,absuɾduli
აბსურდულობა,absuɾduɫoba
აბუაშვილი,abuaʃʷili
აბულაშვილი,abuɫaʃʷili
აბურძგნილი,abuɾd͡zɡnili
აბუსერიძე,abuseɾid͡ze
აბშილავა,abʃiɫava
აბჯარი,abd͡ʒaɾi
აგავა,aɡava
აგარა,aɡaɾa
აგარაკი,aɡaɾakʼi
აგაშენაშვილი,aɡaʃenaʃʷili
აგბობს,aɡbobs
აგდება,aɡdeba
აგდებს,aɡdebs
აგდებულად,aɡdebuɫad
აგდებული,aɡdebuli
აგება,aɡeba
აგებინებს,aɡebinebs
აგებს,aɡebs
აგეგმვა,aɡeɡmʷa
აგენტად,aɡentʼad
აგენტი,aɡentʼi
აგენტით,aɡentʼitʰ
აგენტის,aɡentʼis
აგენტმა,aɡentʼma
აგენტო,aɡentʼo
აგენტს,aɡentʼs
აგენტურა,aɡentʼuɾa
აგვირგვინებს,aɡʷiɾɡʷinebs
აგვისტო,aɡʷistʼo
აგვისტოდ,aɡʷistʼod
აგვისტოთი,aɡʷistʼotʰi
აგვისტომ,aɡʷistʼom
აგვისტოს,aɡʷistʼos
აგზნებადობა,aɡznebadoba
აგზნებულად,aɡznebuɫad
აგიდელი,aɡideli
აგიზგიზება,aɡizɡizeba
აგიზგიზებული,aɡizɡizebuli
აგინებს,aɡinebs
აგიტატორი,aɡitʼatʼoɾi
აგლომერაცია,aɡɫomeɾat͡sʰia
აგნებს,aɡnebs
აგნოსტიკური,aɡnostʼikʼuɾi
აგნოსტიციზმი,aɡnostʼit͡sʰizmi
აგონდება,aɡondeba
აგონია,aɡonia
აგორაფობია,aɡoɾapʰobia
აგორებს,aɡoɾebs
აგრეთვე,aɡɾetʰʷe
აგრესიულად,aɡɾesiuɫad
აგრესიული,aɡɾesiuli
აგრესიულობა,aɡɾesiuɫoba
აგრესორი,aɡɾesoɾi
აგროვებს,aɡɾovebs
აგრძელებ,aɡɾd͡zeleb
აგრძელებს,aɡɾd͡zelebs
აგულაშვილი,aɡuɫaʃʷili
აგური,aɡuɾi
ადათი,adatʰi
ადამაშვილი,adamaʃʷili
ადამი,adami
ადამიანად,adamianad
ადამიანები,adamianebi
ადამიანთაშორისი,adamiantʰaʃoɾisi
ადამიანი,adamiani
ადამიანით,adamianitʰ
ადამიანის,adamianis
ადამიანმა,adamianma
ადამიანს,adamians
ადამიანურად,adamianuɾad
ადამიანური,adamianuɾi
ადაპტაცია,adapʼtʼat͡sʰia
ადარებს,adaɾebs
ადარნასე,adaɾnase
ადგენს,adɡens
ადგილას,adɡiɫas
ადგილი,adɡili
ადგილობრივად,adɡiɫobɾivad
ადგილობრივი,adɡiɫobɾivi
ადგომა,adɡoma
ადევნებს,adevnebs
ადეიშვილი,adeiʃʷili
ადეკვატურად,adekʼʷatʼuɾad
ადეკვატური,adekʼʷatʼuɾi
ადეკვატურობა,adekʼʷatʼuɾoba
ადენოიდური,adenoiduɾi
ადეპტი,adepʼtʼi
ადესა,adesa
ადვაძე,adʷad͡ze
ადვილად,adʷiɫad
ადვილი,adʷili
ადიდებს,adidebs
ადიკაშვილი,adikʼaʃʷili
ადის,adis
ადიულტერი,adiultʼeɾi
ადიუტანტი,adiutʼantʼi
ადმინისტრაციულად,administʼɾat͡sʰiuɫad
ადმინისტრაციული,administʼɾat͡sʰiuli
ადმირალი,admiɾali
ადოლაშვილი,adoɫaʃʷili
ადრე,adɾe
ადრენალინი,adɾenalini
ადრესატი,adɾesatʼi
ადრეული,adɾeuli
ადრიანე,adɾiane
ადრიანი,adɾiani
ადუაშვილი,aduaʃʷili
ადუღება,aduʁeba
ადუღებს,aduʁebs
აეროდინამიკა,aeɾodinamikʼa
აეროდრომი,aeɾodɾomi
აეროზოლი,aeɾozoli
აეროპორტი,aeɾopʼoɾtʼi
აეშლება,aeʃleba
აეხსნა,aeχsna
ავად,avad
ავადმყოფი,avadmχʼopʰi
ავადმყოფობა,avadmχʼopʰoba
ავადმყოფობს,avadmχʼopʰobs
ავადმყოფურად,avadmχʼopʰuɾad
ავადმყოფური,avadmχʼopʰuɾi
ავაზა,avaza
ავაზანი,avazani
ავალდებულებს,avaldebulebs
ავანაშვილი,avanaʃʷili
ავანგარდი,avanɡaɾdi
ავანპოსტი,avanpʼostʼi
ავანტიურული,avantʼiuɾuli
ავარდება,avaɾdeba
ავარია,avaɾia
ავბედითი,avbeditʰi
