ya	ja
na	na
wa	wa
kwa	kwa
katika	katika
la	la
ni	ni
za	za
kuwa	kuwa
hiyo	hijo
cha	t͡ʃa
kwenye	kweɲe
alisema	alisema
yake	jake
kama	kama
baada	ɓaaɗa
watu	watu
hilo	hilo
mwaka	mwaka
wake	wake
huo	huo
kwamba	kwamba
wakati	wakati
amesema	amesema
vya	vja
hivyo	hivjo
zaidi	zaiɗi
nchini	nt͡ʃini
rais	ɾais
lakini	lakini
kutoka	kutoka
ili	ili
sasa	sasa
huyo	hujo
siku	siku
nchi	nt͡ʃi
ambaye	ambaje
miaka	miaka
tanzania	tanzania
huku	huku
hadi	haɗi
moja	moʄa
mkuu	mkuu
serikali	seɾikali
kazi	kazi
eneo	eneo
hayo	hajo
kwa	kwa
ambayo	ambajo
hao	hao
ambao	ambao
pia	pia
pamoja	pamoʄa
alikuwa	alikuwa
kufanya	kufaɲa
afrika	afɾika
ndani	ndani
sababu	saɓaɓu
au	au
yao	jao
kati	kati
kutokana	kutokana
chama	t͡ʃama
mara	maɾa
marekani	maɾekani
kwanza	kwanza
leo	leo
muda	muɗa
nafasi	nafasi
mkuu	mkuu
kubwa	kuɓwa
mwa	mwa
kila	kila
hicho	hit͡ʃo
wao	wao
mmoja	mmoʄa
taarifa	taaɾifa
huu	huu
hali	hali
kesi	kesi
dk	ɗk
hii	hii
hizo	hizo
akiwa	akiwa
uchaguzi	ut͡ʃaɠuzi
mtu	mtu
sana	sana
anasema	anasema
ccm	ccm
watoto	watoto
katika	katika
habari	haɓaɾi
wengine	wenɡine
wananchi	wanant͡ʃi
kutoa	kutoa
ambapo	ambapo
kuna	kuna
russia	ɾussia
viongozi	vionɡozi
hata	hata
ukraine	ukɾaine
dhidi	ðiɗi
kupata	kupata
hata	hata
upande	upande
dar	ɗaɾ
ajili	aʄili
hatua	hatua
huko	huko
waziri	waziɾi
mkoa	mkoa
kabla	kaɓla
nje	nɟe
wengi	wenɡi
kuhusu	kuhusu
tu	tu
kwenda	kwenda
baadhi	ɓaaði
wote	wote
zao	zao
milioni	milioni
mbalimbali	mbalimbali
simba	simba
es	es
kura	kuɾa
polisi	polisi
jana	ʄana
juu	ʄuu
salaam	salaam
serikali	seɾikali
maeneo	maeneo
tangu	tanɡu
fedha	feða
bila	ɓila
timu	timu
mtoto	mtoto
mjini	mʄini
mbili	mbili
mkoani	mkoani
polisi	polisi
tukio	tukio
mji	mʄi
bado	ɓaɗo
maji	maʄi
walikuwa	walikuwa
ndege	ndeɠe
alisema	alisema
hapo	hapo
chini	t͡ʃini
nyingine	ɲinɡine
maisha	maiʃa
ikiwa	ikiwa
ilikuwa	ilikuwa
chadema	t͡ʃaɗema
tatu	tatu
zake	zake
ndio	ndio
mkubwa	mkuɓwa
mambo	mambo
asilimia	asilimia
wakili	wakili
kupitia	kupitia
mkutano	mkutano
wenye	weɲe
pili	pili
sehemu	sehemu
sheria	ʃeɾia
huduma	huɗuma
amesema	amesema
hapa	hapa
saa	saa
kwani	kwani
samia	samia
mahakama	mahakama
mahakama	mahakama
hivi	hivi
haki	haki
rais	ɾais
familia	familia
tayari	tajaɾi
nyingi	ɲinɡi
ni	ni
jijini	ʄiʄini
wawili	wawili
taifa	taifa
novemba	novemba
njia	nɟia
kenya	keɲa
lakini	lakini
mwenyekiti	mweɲekiti
karibu	kaɾiɓu
oktoba	oktoɓa
wiki	wiki
nyumbani	ɲumbani
jambo	ʄambo
hili	hili
kipindi	kipindi
tena	tena
kuu	kuu
wakati	wakati
dunia	ɗunia
zote	zote
tofauti	tofauti
chama	t͡ʃama
ajali	aʄali
mpaka	mpaka
changamoto	t͡ʃanɡamoto
wilaya	wilaja
mkoa	mkoa
aliyekuwa	alijekuwa
umri	umɾi
kadhaa	kaðaa
mpya	mpja
shule	ʃule
mwezi	mwezi
baada	ɓaaɗa
ambazo	ambazo
kutumia	kutumia
mwenye	mweɲe
mwingine	mwinɡine
simu	simu
kundi	kundi
yenye	jeɲe
kiongozi	kionɡozi
maana	maana
ambalo	ambalo
mkono	mkono
wakiwa	wakiwa
mbele	mbele
jeshi	ʄeʃi
mwisho	mwiʃo
taifa	taifa
mashtaka	maʃtaka
vizuri	vizuɾi
umoja	umoʄa
nyumba	ɲumba
jumanne	ʄumanne
katibu	katiɓu
afya	afja
bora	ɓoɾa
mechi	met͡ʃi
zamani	zamani
biashara	ɓiaʃaɾa
septemba	septemba
idadi	iɗaɗi
wilaya	wilaja
jumapili	ʄumapili
muhimu	muhimu
yeye	jeje
uingereza	uinɡeɾeza
hakuna	hakuna
mama	mama
mujibu	muʄiɓu
usiku	usiku
namna	namna
usalama	usalama
aina	aina
si	si
vijana	viʄana
bunge	ɓunɡe
kitu	kitu
kuanza	kuanza
kiasi	kiasi
mahakamani	mahakamani
yanga	janɡa
uwezo	uwezo
wachezaji	wat͡ʃezaʄi
kwake	kwake
kampuni	kampuni
nini	nini
jina	ʄina
agosti	aɠosti
pia	pia
lake	lake
matokeo	matokeo
nguvu	nɡuvu
suala	suala
baadaye	ɓaaɗaje
yote	jote
jamii	ʄamii
wanawake	wanawake
naye	naje
uchunguzi	ut͡ʃunɡuzi
vita	vita
jumatatu	ʄumatatu
sita	sita
elimu	elimu
awali	awali
gari	ɠaɾi
jeshi	ʄeʃi
kuendelea	kuendelea
mrefu	mɾefu
humo	humo
jumatano	ʄumatano
kuhakikisha	kuhakikiʃa
mbowe	mbowe
biden	ɓiɗen
siasa	siasa
hassan	hassan
gani	ɠani
wanafunzi	wanafunzi
duniani	ɗuniani
hospitali	hospitali
pale	pale
kusini	kusini
vyama	vjama
alhamisi	alhamisi
zanzibar	zanziɓaɾ
kisiasa	kisiasa
uamuzi	uamuzi
kituo	kituo
hasa	hasa
uongozi	uonɡozi
hakimu	hakimu
jimbo	ʄimbo
lazima	lazima
kifo	kifo
msimu	msimu
mengi	menɡi
wilayani	wilajani
kusema	kusema
shughuli	ʃuɣuli
uwanja	uwanɟa
wenzake	wenzake
dodoma	ɗoɗoma
kamanda	kamanda
sio	sio
namba	namba
akizungumza	akizunɡumza
upinzani	upinzani
wetu	wetu
ijumaa	iʄumaa
ana	ana
jaji	ʄaʄi
waandishi	waandiʃi
desemba	ɗesemba
kimataifa	kimataifa
kuanzia	kuanzia
mabadiliko	maɓaɗiliko
mengine	menɡine
john	ʄohn
mwananchi	mwanant͡ʃi
mazingira	mazinɡiɾa
silaha	silaha
wabunge	waɓunɡe
kuingia	kuinɡia
julai	ʄulai
sawa	sawa
kisha	kiʃa
saba	saɓa
moto	moto
nne	nne
iliyopita	ilijopita
mauaji	mauaʄi
karibuni	kaɾiɓuni
miezi	miezi
maelezo	maelezo
raia	ɾaia
mkazi	mkazi
kawaida	kawaiɗa
bilioni	ɓilioni
china	t͡ʃina
watatu	watatu
ndiyo	ndijo
uchumi	ut͡ʃumi
ushahidi	uʃahiɗi
na	na
uganda	uɠanda
watu	watu
matibabu	matiɓaɓu
kweli	kweli
yangu	janɡu
kijeshi	kiʄeʃi
chake	t͡ʃake
waziri	waziɾi
arusha	aɾuʃa
akisema	akisema
ikiwemo	ikiwemo
ofisi	ofisi
mwili	mwili
