ா	a
ை	a i
ௌ	a ʊ̯
ௗ	a ʊ̯
ஆ	aː
ஜ	d͡ʑ ɐ
எ	e
ெ	e
ஏ	eː
ே	eː
ஹ	h ɐ
இ	i
ி	i
ஈ	iː
ீ	iː
ய	j ɐ
க	k ɐ
ல	l ɐ
ம	m ɐ
ன	n ɐ
ந	n̪ ɐ
ஒ	o
ொ	o
ஓ	oː
ோ	oː
ௐ	oː m
ப	p ɐ
ற	r ɐ
ஸ	s ɐ
த	t̪ ɐ
ச	t͡ɕ ɐ
உ	u
ு	u
ஊ	uː
ூ	uː
ࢳ	ŋ
ࢴ	ɡ
அ	ɐ
ࢳ	ŋ a
ࢴ	ɡ a
ஃ	ɐ hᵄ
ஐ	ɐ i̯
ஔ	ɐ u̯
ங	ŋ ɐ
ஞ	ɲ ɐ
ட	ʈ ɐ
ண	ɳ ɐ
ர	ɾ ɐ
ள	ɭ ɐ
ழ	ɻ ɐ
வ	ʋ ɐ
ஶ	ɕ ɐ
ஷ	ʂ ɐ
இ-மெயில்	i-mejil
இ-மெயிலில்	i-mejilil
ஐ.ஏ.எஸ்.	aj.eː.es.
ஏ.கே.செல்வராஜ்	eː.keː.t͡ʃelʋaɾaːd͡ʒ
ஆக	aːka
ஆன	aːna
ஜ்	d͡ʑ
என	ena
ஏற	eː r ɐ
ஹ்	h
ய்	i j
க்	i k
க்	i kː ɯ
ல்	i l
ல்	i l l ɯ
ம்	i m
ம்	i mː ɯ
ந்	i n̪ d̪
ந்	i n̪ d̪ ɯ
ப்	i p
ப்	i pː ɯ
இற	i r ɐ
த்	i t̪
ச்	i t͡ɕ
த்	i t̪ː ɯ
ச்	i t͡ɕː ɯ
ட்	i ʈ
ண்	i ɳ
ர்	i ɾ
ழ்	i ɻ
வ்	i ʋ
ஞ்	i ɲ d͡ʑ
ஞ்	i ɲ d͡ʑ ɯ
இள	i ɭ ɐ
இழ	i ɻ ɐ
ங்	i ŋ ɡ
ங்	i ŋ ɡ ɯ
ர்	i ɾ ɾ ɯ
ட்	i ʈː ɯ
ண்	i ɳː ɯ
வ்	i ʋː ɯ
இன	ina
இட	iʈa
ய்	j
க்	k
கை	k a ɪ̯
கா	k aː
கோ	k oː
கல	k ɐ l ɐ
கச	k ɐ t͡ɕ ɐ
கட	k ɐ ɖ ɐ
ல்	l
ம்	m
மை	m a ɪ̯
மா	m aː
மே	m eː
மீ	m iː
மோ	m oː
மக	m ɐ h ɐ
மன	m ɐ n ɐ
மற	m ɐ r ɐ
மக	m ɐ ɡ ɐ
ன்	n
ந்	n̪
நௌ	n̪ a ʊ̯
நா	n̪ aː
நீ	n̪ iː
நூ	n̪ uː
நட	n̪ ɐ ɖ ɐ
நல	n̪ala
ஓத	oːt̪a
ப்	p
பை	p a ɪ̯
பீ	p iː
போ	p oː
பூ	p uː
பல	p ɐ l ɐ
பற	p ɐ r ɐ
பல	pala
பட	paʈa
ற்	r
ஸ்	s
த்	t̪
தை	t̪ a ɪ̯
தா	t̪ aː
தீ	t̪ iː
ச்	t͡ɕ
சா	t͡ɕ aː
ங்	ŋ
ஞ்	ɲ
ட்	ʈ
ண்	ɳ
ர்	ɾ
ள்	ɭ
ழ்	ɻ
வ்	ʋ
ஶ்	ɕ
ஷ்	ʂ
வை	ʋ a ɪ̯
வா	ʋ aː
டீ	ʈ iː
அள	ɐ ɭ ɐ
வட	ʋ ɐ ɖ ɐ
ஷா	ʂaː
வட	ʋaʈa
வர	ʋaɾa
ஜி-4	d͡ʒi-4
கி.	ki.
பழ.	paɻa.
பா.ம.க.	paː.ma.ka.
டி.வி.	ʈi.ʋi.
தி.மு.க.	t̪i.mu.ka.
கே.பி.பி.	keː.pi.pi.
டி.ஜி.பி.ய்	ʈi.d͡ʒi.pi.j
டி.ஜி.பி.யாக	ʈi.d͡ʒi.pi.jaːka
கே.கே.மாதன்	keː.keː.maːt̪an
பி.கே.பாண்டே	pi.keː.paːɳʈeː
ஜி.எல்.	d͡ʒi.el.
கே.எஸ்.	keː.es.
கே.எஸ்.ஸ்ரீபதி	keː.es.sɾiːpat̪i
டி.ராஜேந்திரன்	ʈi.ɾaːd͡ʒeːn̪t̪iɾan
ஐஜி	ajd͡ʒi
ஐநா	ajn̪aː
அந்	an̪
அப்	ap
அதை	at̪aj
அது	at̪u
ஆதி	aː d̪ i
ஆய்	aː j
ஆயா	aː j aː
ஆல்	aː l
ஆலை	aː l a ɪ̯
ஆலா	aː l aː
ஆம்	aː m
ஆமை	aː m a ɪ̯
ஆனை	aː n a ɪ̯
ஆனி	aː n i
ஆறு	aː r u
ஆசை	aː t͡ɕ a ɪ̯
ஆசற	aː t͡ɕ ɐ r ɐ
ஆண்	aː ɳ
