ก	kaʔ
ก	kaʔ
ก.	ka.
ก.ค.	ka.kʰa.
ก.ท.ม.	ka.tʰa.ma.
ก.พ.	ka.pʰa.
ก.ย.	ka.ja.
กก	kok
กก	kok
กกต.	kokta.
กกุท	kakut
กกุธภัณฑ์	kakutpʰan
กกุสันธ	kakusanot
กกุสันธะ	kakusantʰaʔ
กขค.	kokkʰa.
กง	koŋ
กง	koŋ
กงกาง	koŋkaːŋ
กงการ	koŋkaːn
กงล้อ	koŋlɔː
กงศุล	koŋsun
กงสี	koŋsiː
กงสุล	koŋsun
กงเวียน	koŋwiːa̯n
กฎ	kot
กฎข้อบังคับ	kotkʰɔːbaŋkʰab
กฎจราจร	kott͡ɕaraːt͡ɕon
กฎบัตร	kotbaton
กฎมนเทียรบาล	kotmanatʰiːa̯nbaːn
กฎหมาย	kothamaːj
กฎหมายปกครอง	kothamaːjpakokrɔːŋ
กฎหมายมนุษยธรรมระหว่างประเทศ	kothamaːjmanutjatʰonramarahwaːŋopratʰeːt
กฎหมายมหาชน	kothamaːjmahaːt͡ɕʰon
กฎหมายระหว่างประเทศ	kothamaːjrahawaːŋpratʰeːt
กฎหมายระหว่างประเทศแผนกคดีบุคคล	kothamaːjrahawaːŋpratʰeːtpʰɛːnokkʰadiːbukkʰon
กฎหมายระหว่างประเทศแผนกคดีเมือง	kothamaːjrahawaːŋpratʰeːtpʰɛːnokkʰadiːmɯːa̯ŋ
กฎหมายรัฐธรรมนูญ	kothamaːjratʰotraromnuːj
กฎหมายเหตุ	kothamaːjheːtuʔ
กฎหมายเอกชน	kothamaːjʔeːkat͡ɕʰon
กฎอัยการศึก	kotʔajakaːnsɯk
กฎเกณฑ์	kotkeːn
กฏ	kot
กฐิน	katʰin
กฐิน	katʰin
กฐิน	katʰin
กด	kot
กดขี่	kotkʰiː
กดดัน	kotdan
กตัญญุตา	katajjutaː
กตัญญู	katajjuː
กติกา	katikaː
กติกาสัญญา	katikaːsajjaː
กตเวที	kotweːtʰiː
กถา	katʰaː
กทม.	kotma.
กน	kon
กนก	kanok
กบ	kob
กบ	kob
กบฏ	kabot
กบดาน	kobdaːn
กบนา	kobnaː
กบาล	kabaːn
กบาล	kabaːn
กบเลือกนาย	koblɯːa̯kanaːj
กบเหลา	kobheːlaː
กบเหลาดินสอ	kobheːlaːdinsɔː
กบในกะลา	kobnajkalaː
กบในกะลาครอบ	kobnajkalaːkrɔːb
กบไสไม้	kobsajmaj
กม	kom
กมรเตง	komrateːŋ
กมรเตง	komrateːŋ
กมรเตงอัญ	komrateːŋʔaj
กมรเตงอัญ	komrateːŋʔaj
กมล	kamon
กร	kon
กรกฎ	konkot
กรกฎา	konkadaː
กรกฎา	konkadaː
กรกฎาคม	konkadaːkʰom
กรกฎาคม	konkadaːkʰom
กรง	kroŋ
กรงขัง	konŋakʰaŋ
กรงปินัง	konŋapinaŋ
กรงเล็บ	konŋaleːb
กรณฑ์	kron
กรณาฏกะ	konnaːtakaʔ
กรณี	konniː
กรณี	konniː
กรณีพิพาท	konniːpʰipʰaːt
กรณีพิพาท	konniːpʰipʰaːt
กรด	krot
กรดนิวคลีอิก	kondaniwkʰliːʔik
กรดไขมัน	kondakʰajman
กรดไขมันอิ่มตัว	kondakʰajmanʔimatuːa̯
กรดไขมันไม่อิ่มตัว	kondakʰajmanmajʔimtuːa̯
กรน	kron
กรม	krom
กรม	krom
กรม	krom
กรมธรรม	konmatʰonrom
กรมธรรม์	konmotʰron
กรรตุการก	konratukaːrok
กรรตุการก	konratukaːrok
กรรปุระ	konrapuraʔ
กรรม	konrom
กรรม	konrom
กรรมกร	konramakon
กรรมการ	konramakaːn
กรรมการก	konramakaːrok
