a	a
aabi	aabi
aba	aba
abanır	abanɯɾ
abartma	abaɾtma
abartmış	abaɾtmɯʃ
abarttım	abaɾttɯm
abartılmaması	abaɾtɯlmamasɯ
abdest	abdest
abi	abi
abicim	abid͡ʒim
abidesinin	abidesinin
abimizdi	abimizdi
abla	abla
abladan	abladan
ablam	ablam
abluka	abluka
abonesi	abonesi
absorbe	absoɾbe
aç	at͡ʃ
acaba	ad͡ʒaba
açabileceğini	at͡ʃabiled͡ʒeɰini
açabilir	at͡ʃabiliɾ
açabilirsiniz	at͡ʃabiliɾsiniz
açacak	at͡ʃad͡ʒak
acaksa	ad͡ʒaksa
acaktı	ad͡ʒaktɯ
acaktım	ad͡ʒaktɯm
açan	at͡ʃan
açanlara	at͡ʃanlaɾa
açar	at͡ʃaɾ
açarak	at͡ʃaɾak
açarken	at͡ʃaɾken
acayip	ad͡ʒajip
açayım	at͡ʃajɯm
acele	ad͡ʒele
aceleyle	ad͡ʒelejle
acemilik	ad͡ʒemilik
acemilikten	ad͡ʒemilikten
acemisi	ad͡ʒemisi
acenteleri	ad͡ʒenteleɾi
açgöz	at͡ʃɡœz
açgözlü	at͡ʃɡœzly
acil	ad͡ʒil
acilen	ad͡ʒilen
aciliyetine	ad͡ʒilijetine
açlık	at͡ʃlɯk
açlıkla	at͡ʃlɯkla
açma	at͡ʃma
açmadı	at͡ʃmadɯ
açmak	at͡ʃmak
açmaktadır	at͡ʃmaktadɯɾ
açmalarını	at͡ʃmalaɾɯnɯ
açmam	at͡ʃmam
açmama	at͡ʃmama
açması	at͡ʃmasɯ
açmasının	at͡ʃmasɯnɯn
açmaya	at͡ʃmaja
açmayacak	at͡ʃmajad͡ʒak
açmayı	at͡ʃmajɯ
açmayın	at͡ʃmajɯn
açmaz	at͡ʃmaz
açmazın	at͡ʃmazɯn
açmıyorlar	at͡ʃmɯjoɾlaɾ
açmış	at͡ʃmɯʃ
açmıştır	at͡ʃmɯʃtɯɾ
açtu	at͡ʃtu
açtı	at͡ʃtɯ
açtık	at͡ʃtɯk
açtılar	at͡ʃtɯlaɾ
açtım	at͡ʃtɯm
açtır	at͡ʃtɯɾ
açtırmak	at͡ʃtɯɾmak
açtırmaktı	at͡ʃtɯɾmaktɯ
açtığı	at͡ʃtɯɰɯ
açtığım	at͡ʃtɯɰɯm
açtığımda	at͡ʃtɯɰɯmda
açtığında	at͡ʃtɯɰɯnda
açtığını	at͡ʃtɯɰɯnɯ
aczi	ad͡ʒzi
acı	ad͡ʒɯ
acıdan	ad͡ʒɯdan
açıdan	at͡ʃɯdan
açık	at͡ʃɯk
açıkça	at͡ʃɯkt͡ʃa
açıkçası	at͡ʃɯkt͡ʃasɯ
açıkgözlülük	at͡ʃɯkɡœzlylyk
açıkhava	at͡ʃɯkhava
açıkladı	at͡ʃɯkladɯ
açıkladın	at͡ʃɯkladɯn
açıkladığı	at͡ʃɯkladɯɰɯ
açıklama	at͡ʃɯklama
açıklamada	at͡ʃɯklamada
açıklamadı	at͡ʃɯklamadɯ
açıklamalar	at͡ʃɯklamalaɾ
açıklamalarda	at͡ʃɯklamalaɾda
açıklamaları	at͡ʃɯklamalaɾɯ
açıklamaların	at͡ʃɯklamalaɾɯn
açıklamalı	at͡ʃɯklamalɯ
açıklaması	at͡ʃɯklamasɯ
açıklamasında	at͡ʃɯklamasɯnda
açıklamasının	at͡ʃɯklamasɯnɯn
açıklamaya	at͡ʃɯklamaja
açıklamayı	at͡ʃɯklamajɯ
açıklandı	at͡ʃɯklandɯ
açıklanmış	at͡ʃɯklanmɯʃ
açıklanmıştı	at͡ʃɯklanmɯʃtɯ
açıklanışıdır	at͡ʃɯklanɯʃɯdɯɾ
açıklar	at͡ʃɯklaɾ
