	
«ئانا»	«ana»
«مېنىڭ	«meniŋ
«يېيىش»كە	«jejiʃ»kɛ
«قورساق	«qorsaq
«يۇقىرى	«juqiri
«بالىلىق	«baliliq
«كىشىلەر	«kiʃilɛr
«شاپپىدە»	«ʃappidɛ»
&gt;	&gt;
&lt;	&lt;
(1868-1936)	(1868-1936)
(مايسا)	(majsa)
0	0
1	1
10	10
100	100
1008	1008
11	11
14	14
15	15
150	150
18	18
1840	1840
1848	1848
1928-يىلى	1928-jili
1947	1947
1969-	1969-
2	2
20	20
20-	20-
2010	2010
2015	2015
22	22
23	23
24	24
30	30
300	300
3000	3000
35	35
3500	3500
4	4
400	400
40تىن	40tin
43	43
5	5
50	50
500	500
55	55
6-	6-
60	60
600	600
6000	6000
65	65
7	7
7-	7-
90	90
ئش	eʃ
ئۇ	u
ئۈ	y
بۇ	bu
تا	ta
دە	dɛ
سۇ	su
شا	ʃa
شۇ	ʃu
غا	ʁa
لى	li
مو	mo
نى	ni
يا	ja
گە	ɡɛ
ھا	ha
ھە	hɛ
ۋۇ	wu
ۋە	wɛ
،بۇ	،bu
ئات	at
ئاز	az
ئاق	aq
ئال	al
ئاي	aj
ئاچ	at͡ʃ
ئاھ	ah
ئوت	ot
ئون	on
ئوي	oj
ئوڭ	oŋ
ئىش	iʃ
ئىچ	it͡ʃ
ئۆز	øz
ئۆي	øj
ئۆچ	øt͡ʃ
ئۈن	yn
ئۈچ	yt͡ʃ
ئەر	ɛr
ئەس	ɛs
ئەل	ɛl
ئەي	ɛj
ئەڭ	ɛŋ
بار	bar
باش	baʃ
باغ	baʁ
باق	baq
باي	baj
بوز	boz
بوش	boʃ
بوي	boj
بىخ	biχ
بىر	bir
بىز	biz
بۈك	byk
بەر	bɛr
بەس	bɛs
بەش	bɛʃ
بەك	bɛk
تاج	tad͡ʒ
تاش	taʃ
تاغ	taʁ
تال	tal
تام	tam
تاڭ	taŋ
تور	tor
توك	tok
تون	ton
توي	toj
توپ	top
تىت	tit
تۆت	tøt
تۈن	tyn
تۈپ	typ
تېز	tez
تېن	ten
تەن	tɛn
تەپ	tɛp
تەڭ	tɛŋ
جان	d͡ʒan
جىق	d͡ʒiq
جىم	d͡ʒim
جىن	d͡ʒin
جۆر	d͡ʒør
جۈپ	d͡ʒyp
جەم	d͡ʒɛm
خاس	χas
خوش	χoʃ
خوپ	χop
خىل	χil
خۇش	χuʃ
خېڭ	χeŋ
خەت	χɛt
خەق	χɛq
دار	dar
دان	dan
دىل	dil
دىن	din
دۆت	døt
دۈم	dym
دەس	dɛs
دەل	dɛl
دەم	dɛm
دەي	dɛj
دەپ	dɛp
دەڭ	dɛŋ
رول	rol
رەت	rɛt
رەڭ	rɛŋ
زور	zor
زىل	zil
زىچ	zit͡ʃ
زەر	zɛr
زەن	zɛn
ساق	saq
سان	san
ساپ	sap
سول	sol
سوم	som
سىر	sir
سىز	siz
سۆز	søz
سۇن	sun
سەت	sɛt
سەل	sɛl
سەن	sɛn
سەپ	sɛp
شاد	ʃad
شار	ʃar
شال	ʃal
شاپ	ʃap
شوخ	ʃoχ
شور	ʃor
شوك	ʃok
شىر	ʃir
غەم	ʁɛm
قات	qat
قار	qar
قاق	qaq
قان	qan
قاپ	qap
قوش	qoʃ
قول	qol
قوي	qoj
قىز	qiz
قىش	qiʃ
قۇر	qur
قۇش	quʃ
قەد	qɛd
كىم	kim
كۆز	køz
كۆك	køk
كۆل	køl
كۆپ	køp
كۈز	kyz
كۈن	kyn
كۈچ	kyt͡ʃ
كەل	kɛl
كەم	kɛm
كەچ	kɛt͡ʃ
كەڭ	kɛŋ
لاي	laj
لوم	lom
ماس	mas
مال	mal
ماي	maj
مول	mol
مىس	mis
مىڭ	miŋ
مۇخ	muχ
مۇز	muz
مەن	mɛn
مەي	mɛj
نام	nam
نان	nan
نۆل	nøl
نۇر	nur
نەق	nɛq
ياز	jaz
ياش	jaʃ
ياق	jaq
يوق	joq
يول	jol
يىل	jil
يىپ	jip
يۇڭ	juŋ
يۈز	jyz
يۈك	jyk
يەت	jɛt
يەر	jɛr
يەل	jɛl
يەپ	jɛp
پاش	paʃ
پاك	pak
پاي	paj
پاھ	pah
پىل	pil
پۇل	pul
پۈپ	pyp
پەس	pɛs
پەن	pɛn
پەي	pɛj
چاي	t͡ʃaj
چوڭ	t͡ʃoŋ
چىن	t͡ʃin
چىڭ	t͡ʃiŋ
چۈش	t͡ʃyʃ
چەت	t͡ʃɛt
گاز	ɡaz
گۈل	ɡyl
گەپ	ɡɛp
ھال	hal
ھاي	haj
ھور	hor
ھىم	him
ھۆر	hør
ھۆل	høl
ھېس	hes
