flora,flɔra
duchna,duxna
błękitnych,bwɛŋkitnɨx
pikantność,pikantnɔɕt͡ɕ
manewrujący,manɛvrujɔnt͡sɨ
gromadzenie,ɡrɔmad͡zɛɲɛ
niedowierzanie,ɲɛdɔvjɛʐaɲɛ
gnojami,ɡnɔjami
danielemu,daɲɛlɛmu
paszcza,paʂt͡ʂa
tranzycja,tranzɨt͡sja
fuzyj,fuzɨj
warcholak,varxɔlak
obecność,ɔbɛt͡snɔɕt͡ɕ
rozwora,rɔzvɔra
pracowałbyś,prat͡sɔvawbɨɕ
ufaj,ufaj
abonentom,abɔnɛntɔm
charyga,xarɨɡa
moratoriów,mɔratɔrjuf
borkowicz,bɔrkɔvit͡ʂ
pawęzy,pavɛw̃zɨ
przykazywać,pʂɨkazɨvat͡ɕ
przał,pʂaw
bryczka,brɨt͡ʂka
podłazić,pɔdwaʑit͡ɕ
krokiet,krɔkjɛt
lipy,lipɨ
orędarz,ɔrɛndaʂ
odrzutowiec,ɔdʐutɔvjɛt͡s
mitologiami,mitɔlɔɡjami
obrabiać,ɔbrabjat͡ɕ
wiertła,vjɛrtwa
wilczura,vilt͡ʂura
chód,xut
holandia,xɔlandja
wdusić,vduɕit͡ɕ
laskowicz,laskɔvit͡ʂ
piegiem,pjɛɡjɛm
rozrywki,rɔzrɨfki
ossuaria,ɔssuarja
entropia,ɛntrɔpja
lani,laɲi
zmokły,zmɔkwɨ
miozga,mjɔzɡa
czteronożny,t͡ʂtɛrɔnɔʐnɨ
nijakimi,ɲijakimi
lądowania,lɔndɔvaɲa
koronkach,kɔrɔŋkax
piwonia,pivɔɲa
sterto,stɛrtɔ
perfekcyjny,pɛrfɛkt͡sɨjnɨ
leniu,lɛɲu
produkowałoby,prɔdukɔvawɔbɨ
refowalibyśmy,rɛfɔvalibɨɕmɨ
frykas,frɨkas
ciężarówkę,t͡ɕɛw̃ʐarufkɛ
spoić,spɔit͡ɕ
konus,kɔnus
arcyzabawnie,art͡sɨzabavɲɛ
blokówka,blɔkufka
udem,udɛm
zasiew,zaɕɛf
karpacka,karpat͡ska
piastowski,pjastɔfski
świszczeć,ɕfiʂt͡ʂɛt͡ɕ
herbatka,xɛrbatka
mankiewicz,maŋkjɛvit͡ʂ
glinu,ɡlinu
zieleńszy,ʑɛlɛɲʂɨ
ceglaści,t͡sɛɡlaɕt͡ɕi
rumowego,rumɔvɛɡɔ
przypowiedzieć,pr̝ɨpɔvjɛd͡ʑɛt͡ɕ
luksus,luksus
wzmienić,vzmjɛɲit͡ɕ
zaangażowanie,zaaŋɡaʐɔvaɲɛ
podpiersie,pɔtpjɛrɕɛ
czekające,t͡ʂɛkajɔnt͡sɛ
łabędzik,wabɛɲd͡ʑik
dziecięcej,d͡ʑɛt͡ɕɛnt͡sɛj
prosta,prɔsta
wahalibyśmy,vaxalibɨɕmɨ
paleotyp,palɛɔtɨp
