disponibilidade,diʃpunibilidadɨ
carga,kaɾɡɐ
deste,deʃti
televenda,tɛlɛbẽdɐ
maldivas,maldivɐʃ
automóvel,awtumɔvɛl
azobenzeno,ɐzubẽzenu
etiópia,itjɔpjɐ
nós,nɔʃ
turra,tuʁɐ
engenho,ẽʒeɲu
dominada,duminadɐ
aventuro,ɐbẽtuɾu
atucanarias,ɐtukɐnɐɾiɐʃ
azaleia,ɐzɐlɐjɐ
hipercinesia,ipɛɾsinɨziɐ
paizão,pajzɐ̃w̃
goivo,ɡojbu
porta,pɔɹtɐ
sol,sɔl
úbere,ubɨɾɨ
cerveja,sɨɾvɐjʒɐ
modificativas,mudifikɐtibɐʃ
gota,ɡɔtɐ
rolimã,ʁulimɐ̃
inexprimível,ineʃpɾimivɛl
elenco,ilẽku
desvalorização,dɨʒbɐluɾizɐsɐ̃w̃
pentágono,pẽtaɡunu
histeria,iʃtɨɾiɐ
antiprotecionista,ɐ̃tipɾutɛsjuniʃtɐ
dinheiro,diɲeɾu
escanifobeticamente,iʃkɐnifɔbɛtikɐmẽtɨ
invernal,ĩbɨɾnal
gigabit,ʒiɡabiti
compensasse,kõpẽsasɨ
empenar,ẽpɨnaɾ
amieiro,ɐmjejɾu
poção,pusɐ̃w̃
alberta,albɛɾtɐ
título,titulu
certas,sɛɾtɐʃ
desportivo,dɨʃpuɾtivu
antropófago,ɐ̃tɾɔpɔfɐɡu
argumentativos,ɐɾɡumẽtɐtibuʃ
ativar,ativaɾ
multei,multe
engraxador,ẽɡɾaʃɐdoɾ
revê,ʁɨve
romance,ʁumɐ̃sɨ
avelã,ɐvɨlɐ̃
transnístria,tɾɐ̃ʒniʃtɾjɐ
bengaleiro,bẽɡɐleɾu
réptil,ʁɛptil
chadiano,t͡ʃadjɐnu
desidratem,dɨzidɾatɐ̃j̃
conciteis,kõsitejʃ
cosmopolita,kuʒmupulitɐ
prol,pɾɔl
afeiçoo,ɐfɐjsou
caranguejola,kɐɾɐ̃ɡɨʒɔlɐ
excelente,ɐjʃɨlẽtɨ
rebenta,ʁɨbẽtɐ
manga,mɐ̃ɡɐ
navegável,nɐvɨɡavɛl
vénus,vɛnuʃ
psiquê,psike
amarelinha,ɐmɐɾɨliɲɐ
pedras,pɛdɾɐʃ
conserva,kõsɛɾbɐ
canaveses,kɐnɐvezɨʃ
inerência,inɨɾẽsjɐ
anticeticismo,ɐ̃tisɛtisiʒmu
chipre,t͡ʃipɾɨ
aveiro,avejɾu
diamagnético,diɐmaɡnɛtiku
vos,vuʃ
antifluoretação,ɐ̃tiflwuɾɨtɐsɐ̃w̃
beira,bɐjɾɐ
suicídio,swisidju
termonuclear,tɛɾmɔnukliaɾ
gémeo,ʒɛmɨu
remexida,ʁɨmɨʃidɐ
antidiarreico,ɐ̃tidjɐʁɐjku
óbvio,ɔbvju
combinado,kõbinadu
injetividade,ĩʒɛtividadɨ
canteiro,kɐ̃teɾu
derrapa,dɨʁapɐ
nádega,nadɨɡɐ
jaçanã,ʒɐsɐnɐ̃
montreal,mõtɾial
balânico,bɐlɐniku
intravenoso,ĩtɾɐbɨnozu
malvão,malbɐ̃w̃
desatarraxem,dɨzɐtɐʁaʃɐ̃j̃
afazer,ɐfɐzeɾ
hilda,ildɐ
falarei,fɐlɐɾɐj
descrito,dɨʃkɾitu
antileprótico,ɐ̃tilɨpɾɔtiku
mentirinha,mẽtiɾiɲɐ
tornado,tuɾnadu
clevelândia,klebɨlɐ̃djɐ
deslumbrante,dɨʒlũbɾɐ̃tɨ
siribeira,siɾibeɾɐ
sálvia,salvjɐ
demónico,dɨmɔniku
estádio,iʃtadju
estapédio,iʃtɐpɛdju
chelique,ʃɨlikɨ
autoevidente,awtɔibidẽtɨ
mantícora,mɐ̃tikuɾɐ
flacas,flakɐʃ
funestos,funɛʃtuʃ
nessas,nɛsɐʃ
vasto,baʃtu
cinquenta,sĩkwẽtɐ
janotar,ʒɐnutaɾ
quimera,kimɛɾɐ
alienação,ɐljɐnɐsɐ̃w̃
congratulou,kõɡɾɐtulow
foto,fɔtɔ
abscederes,ɐbʃsɨdeɾɨʃ
azereiro,ɐzɨɾejɾu
anticetogénico,ɐ̃tisɛtɔʒɛniku
chunga,ʃũɡɐ
subdivisão,subdibizɐ̃w̃
chafurdar,t͡ʃɐfuɾdaɾ
excite,iʃsitɨ
ajudante,ɐʒudɐ̃tɨ
avec,avɛkɨ
frança,fɾɐ̃sɐ
pingolim,pĩɡulĩ
imprescindível,ĩpɾɨʃĩdibɛl
nutará,nutɐɾa
quintal,kĩtal
lembrando,lẽbɾɐ̃du
imorais,imuɾajʃ
misericordiosas,mizɨɾikuɾdjɔzɐʃ
veios,vɐjuʃ
anafilactoide,ɐnɐfilɐktɔjdɨ
pertinente,pɨɾtinẽtɨ
pasteleiro,pɐʃtɨleɾu
quilate,kilatɨ
defeito,dɨfejtu
furo,fuɾu
gergelim,ʒɨɾʒɨlĩ
tera,tɛɾɐ
adverbialização,ɐdbɨɾbjɐlizɐsɐ̃w̃
pôr,poh
folhar,fuʎaɾ
tupã,tupɐ̃
antidispéptico,ɐ̃tidiʃpɛptiku
debatível,dɨbɐtibɛl
antisserotonérgico,ɐ̃tisɨɾɔtunɛɾʒiku
botelha,buteʎɐ
ouro,owɾu
bicará,bikɐɾa
crava,kɾavɐ
manjar,mɐ̃ʒaɾ
gosta,ɡɔʃtɐ
tiriva,tiɾibɐ
país,pɐiʃ
maneira,mɐneɾɐ
ju,ʒu
teimosos,tejmɔzuʃ
falecer,fɐlɨseɾ
antiemético,ɐ̃tiimɛtiku
apuro,ɐpuɾu
aval,ɐval
amaporã,ɐmɐpuɾɐ̃
decorativas,dɨkuɾɐtivɐʃ
riade,ʁjadɨ
antidiurese,ɐ̃tidiuɾɛzɨ
sêmea,semjɐ
irresponsabilidade,iʁɨʃpõsɐbilidadɨ
ananás,ɐnɐnaʃ
estrangeirismo,iʃtɾɐ̃ʒejɾiʒmu
anticoelho,ɐ̃tikwɐjʎu
desafogo,dɨzɐfɔɡu
vereador,bɨɾjɐdoɾ
badana,bɐdɐnɐ
epidemias,ipidɨmiɐʃ
canho,kɐɲu
esquete,iʃkɛtɨ
choveria,t͡ʃubɨɾiɐ
sugestivos,suʒɨʃtivuʃ
madrepérola,madɾɨpɛɾulɐ
frauda,fɾawdɐ
teoricamente,tjɔɾikɐmẽtɨ
rafeiro,ʁɐfɐjɾu
inequação,inɛkwɐsɐ̃w̃
consistir,kõsiʃtiɾ
hóplon,ɔplɔn
ouvi,ovi
antologia,ɐ̃tuluʒiɐ
eletricidade,ilɛtɾɨsidadɨ
comércio,kumɛɾsju
possuir,puswiɾ
alânia,ɐlɐnjɐ
fukushima,fukuʃimɐ
dessulfuração,dɨʃsulfuɾɐsɐ̃w̃
desleixado,dɨʒlɐjʃadu
havemos,ɐvemuʃ
impetrar,ĩpɨtɾaɾ
plutónio,plutɔniu
abactor,abakitoɻ
criptofascismo,kɾiptɔfɐʃiʒmu
desumana,dɨzumɐnɐ
antiniilismo,ɐ̃tiniiliʒmu
oceanário,ɔsjɐnaɾju
trajetória,tɾɐʒɛtɔɾjɐ
imparcialmente,ĩpɐɾsjalmẽtɨ
sistematizado,siʃtɨmɐtizadu
sirena,siɾenɐ
deixei,dejʃej
playground,plejɡɾaw̃d͡ʒ
gemerá,ʒɨmɨɾa
guilhermina,ɡiʎɨɾminɐ
trimestralmente,tɾimɨʃtɾalmẽtɨ
jacaré,ʒɐkɐɾɛ
tansa,tɐ̃sɐ
telangana,tɨlɐ̃ɡɐnɐ
corcunda,kuɾkũdɐ
sobreviver,subɾɨbibeɾ
precisarei,pɾɨsizɐɾe
videotape,vidjɔtɐjpɨ
vídeo,bidju
cursor,kuɾsoɾ
desaconselháveis,dɨzɐkõsɨʎaveʃ
zela,zɛlɐ
tristonha,tɾiʃtoɲɐ
haveríeis,ɐvɨɾiɐjʃ
heterocromia,ɛtɨɾɔkɾumiɐ
fêvera,fevɨɾɐ
antidoping,ɐ̃tidɔpĩɡ
áxis,aksiʃ
neste,neʃtɨ
freire,fɾeɾɨ
nascituro,nɐʃituɾu
equipamento,ekipɐmẽtu
altifalante,altifɐlɐ̃tɨ
suevo,swɛbu
racha,ʁat͡ʃɐ
abílio,ɐbilju
usamos,uzɐmuʃ
cordeiro,kuɾdeɾu
catalunha,kɐtɐluɲɐ
casco,kaʃku
poreis,puɾejʃ
franga,fɾɐ̃ɡɐ
gerundismo,ʒɨɾũdiʒmu
imigração,imiɡɾɐsɐ̃w̃
curseis,kuɾseʃ
