la,la
que,ke
el,el
los,los
no,no
un,un
se,se
por,poɾ
es,es
del,del
las,las
con,kon
una,una
para,paɾa
lo,lo
su,su
al,al
como,komo
me,me
más,mas
si,si
pero,peɾo
te,te
mi,mi
le,le
este,este
sus,sus
esta,esta
todo,todo
ya,ʝa
ha,a
cuando,kwando
yo,ʝo
ser,seɾ
son,son
sin,sin
hay,ai
está,esta
fue,fwe
tu,tu
muy,mui
sobre,sobɾe
también,tambjen
todos,todos
eso,eso
tiene,tjene
nos,nos
porque,poɾke
qué,ke
así,asi
años,aɲos
dos,dos
bien,bjen
entre,entɾe
puede,pwede
desde,desde
hasta,asta
ahora,aoɾa
era,eɾa
esto,esto
nada,nada
ni,ni
donde,donde
parte,paɾte
solo,solo
algo,alɡo
tiempo,tjempo
día,dia
uno,uno
mejor,mexoɾ
mucho,mut͡ʃo
tan,tan
ver,beɾ
vida,bida
e,e
ese,ese
han,an
mismo,mismo
siempre,sjempɾe
tengo,tenɡo
cada,kada
después,despwes
están,estan
gente,xente
esa,esa
estado,estado
estoy,estoi
mundo,mundo
va,ba
año,aɲo
les,les
mas,mas
otro,otɾo
otros,otɾos
otra,otɾa
cosas,kosas
gran,ɡɾan
menos,menos
nunca,nunka
tanto,tanto
antes,antes
poco,poko
sea,sea
había,abia
tener,teneɾ
trabajo,tɾabaxo
durante,duɾante
ellos,eʝos
lugar,luɡaɾ
creo,kɾeo
cómo,komo
hecho,et͡ʃo
quiero,kjeɾo
sólo,solo
aunque,aunke
contra,kontɾa
cuenta,kwenta
gobierno,ɡobjeɾno
país,pais
soy,soi
todas,todas
casa,kasa
estos,estos
forma,foɾma
he,e
nuevo,nwebo
sido,sido
él,el
aquí,aki
ella,eʝa
estas,estas
sí,si
estaba,estaba
estar,estaɾ
hoy,oi
tienen,tjenen
alguien,alɡjen
quien,kjen
toda,toda
tres,tɾes
voy,boi
caso,kaso
momento,momento
bueno,bweno
mis,mis
nuestro,nwestɾo
luego,lweɡo
nuestra,nwestɾa
poder,podeɾ
pueden,pweden
pues,pwes
verdad,beɾdad
historia,istoɾja
mientras,mjentɾas
nadie,nadje
nueva,nweba
otras,otɾas
primera,pɾimeɾa
muchos,mut͡ʃos
cual,kwal
debe,debe
dijo,dixo
ir,iɾ
tipo,tipo
algunos,alɡunos
general,xeneɾal
mayor,maʝoɾ
tal,tal
además,ademas
mal,mal
muchas,mut͡ʃas
primer,pɾimeɾ
según,seɡun
acuerdo,akweɾdo
cualquier,kwalkjeɾ
dios,djos
fueron,fweɾon
manera,maneɾa
nombre,nombɾe
unos,unos
ley,lei
medio,medjo
partido,paɾtido
bajo,baxo
fuera,fweɾa
sino,sino
da,da
grupo,ɡɾupo
haber,abeɾ
hombre,ombɾe
puedo,pwedo
buena,bwena
mujer,muxeɾ
persona,peɾsona
será,seɾa
sistema,sistema
casi,kasi
fin,fin
noche,not͡ʃe
nosotros,nosotɾos
pasado,pasado
presidente,pɾesidente
quiere,kjeɾe
tenemos,tenemos
tus,tus
eres,eɾes
méxico,mexiko
ahí,ai
cosa,kosa
dentro,dentɾo
españa,espaɲa
estamos,estamos
familia,familja
lado,lado
aún,aun
buen,bwen
podemos,podemos
pueblo,pweblo
tenía,tenia
esos,esos
final,final
política,politika
problema,pɾoblema
punto,punto
agua,aɡwa
alguna,alɡuna
equipo,ekipo
guerra,ɡera
saber,sabeɾ
sé,se
vamos,bamos
van,ban
ante,ante
embargo,embaɾɡo
favor,faboɾ
importante,impoɾtante
mañana,maɲana
pasa,pasa
semana,semana
tienes,tjenes
claro,klaɾo
dinero,dineɾo
san,san
ejemplo,exemplo
estados,estados
igual,iɡwal
número,numeɾo
ti,ti
algunas,alɡunas
hablar,ablaɾ
hora,oɾa
madre,madɾe
señor,seɲoɾ
siendo,sjendo
derecho,deɾet͡ʃo
falta,falta
grandes,ɡɾandes
hombres,ombɾes
nuestros,nwestɾos
puedes,pwedes
buenos,bwenos
cambio,kambjo
idea,idea
mierda,mjeɾda
muerte,mweɾte
tarde,taɾde
tras,tɾas
través,tɾabes
tú,tu
realidad,realidad
algún,alɡun
amor,amoɾ
dicho,dit͡ʃo
eran,eɾan
frente,fɾente
incluso,inkluso
primero,pɾimeɾo
real,real
vas,bas
cuatro,kwatɾo
desarrollo,desaroʝo
hijo,ixo
tema,tema
varios,baɾjos
esas,esas
mí,mi
nivel,nibel
seguro,seɡuɾo
sería,seɾia
argentina,aɾxentina
hemos,emos
juego,xweɡo
llegar,ʝeɡaɾ
mano,mano
paso,paso
posible,posible
proyecto,pɾoʝeɡto
sigue,siɡe
somos,somos
unidos,unidos
uso,uso
artículo,aɾtikulo
grande,ɡɾande
quién,kjen
sabe,sabe
todavía,todabia
amigo,amiɡo
madrid,madɾid
mayoría,maʝoɾia
padre,padɾe
salir,saliɾ
seguridad,seɡuɾidad
tierra,tjera
visto,bisto
único,uniko
cuerpo,kweɾpo
programa,pɾoɡɾama
segundo,seɡundo
unas,unas
universidad,unibeɾsidad
último,ultimo
foto,foto
haya,aʝa
mil,mil
palabras,palabɾas
pasar,pasaɾ
público,publiko
seguir,seɡiɾ
ayuda,aʝuda
juan,xwan
libro,libɾo
siguiente,siɡjente
veo,beo
datos,datos
dejar,dexaɾ
sentido,sentido
clase,klase
cuanto,kwanto
derechos,deɾet͡ʃos
ello,eʝo
estás,estas
hijos,ixos
mes,mes
usted,usted
largo,laɾɡo
ningún,ninɡun
orden,oɾden
puesto,pwesto
alto,alto
demás,demas
diferentes,difeɾentes
español,espaɲol
junto,xunto
lista,lista
ninguna,ninɡuna
personal,peɾsonal
total,total
trata,tɾata
video,bideo
viene,bjene
web,web
base,base
camino,kamino
digo,diɡo
empresa,empɾesa
hola,ola
m,me
salud,salud
sitio,sitjo
tomar,tomaɾ
tuvo,tubo
calle,kaʝe
cara,kaɾa
línea,linea
mundial,mundjal
obra,obɾa
ojos,oxos
os,os
pensar,pensaɾ
allí,aʝi
debería,debeɾia
escuela,eskwela
julio,xuljo
pueda,pweda
respecto,respeɡto
segunda,seɡunda
siento,sjento
ve,be
vivir,bibiɾ
capital,kapital
casos,kasos
libre,libɾe
quienes,kjenes
sabes,sabes
suerte,sweɾte
varias,baɾjas
bastante,bastante
cultura,kultuɾa
debido,debido
dio,djo
estaban,estaban
fuerte,fweɾte
habla,abla
miedo,mjedo
música,musika
poner,poneɾ
pregunta,pɾeɡunta
rey,rei
vos,bos
apoyo,apoʝo
dado,dado
deja,dexa
demasiado,demasjado
espero,espeɾo
iba,iba
josé,xose
mayo,maʝo
mucha,mut͡ʃa
propio,pɾopjo
buenas,bwenas
chile,t͡ʃile
control,kontɾol
deben,deben
encontrar,enkontɾaɾ
inglés,inɡles
peor,peoɾ
serie,seɾje
sur,suɾ
trabajar,tɾabaxaɾ
edad,edad
futuro,futuɾo
libertad,libeɾtad
nuestras,nwestɾas
pesar,pesaɾ
tampoco,tampoko
allá,aʝa
cantidad,kantidad
existe,eɡsiste
imagen,imaxen
norte,noɾte
octubre,oɡtubɾe
político,politiko
propia,pɾopja
vi,bi
vista,bista
volver,bolbeɾ
actual,aɡtwal
ambos,ambos
estudio,estudjo
media,medja
mira,miɾa
modo,modo
palabra,palabɾa
pasó,paso
sean,sean
tenido,tenido
abril,abɾil
campo,kampo
hubiera,ubjeɾa
internet,inteɾnet
joven,xoben
nuevos,nwebos
plan,plan
región,rexjon
significa,siɡnifika
comunidad,komunidad
habían,abian
has,as
junio,xunjo
lleva,ʝeba
nuevas,nwebas
partidos,paɾtidos
partir,paɾtiɾ
película,pelikula
q,ke
república,republika
resto,resto
vuelta,bwelta
consejo,konsexo
dan,dan
dónde,donde
llamado,ʝamado
mercado,meɾkado
movimiento,mobimjento
noviembre,nobjembɾe
papel,papel
respuesta,respwesta
seis,seis
simplemente,simplemente
x,ekis
agosto,aɡosto
aun,aun
cargo,kaɾɡo
comida,komida
cuales,kwales
ellas,eʝas
enero,eneɾo
jefe,xefe
leer,leeɾ
llama,ʝama
llevar,ʝebaɾ
pena,pena
siglo,siɡlo
ustedes,ustedes
cabo,kabo
común,komun
economía,ekonomia
febrero,febɾeɾo
hablando,ablando
haga,aɡa
opinión,opinjon
oportunidad,opoɾtunidad
partes,paɾtes
página,paxina
resultados,resultados
santa,santa
tenga,tenɡa
vale,bale
arte,aɾte
estuvo,estubo
septiembre,sebtjembɾe
usar,usaɾ
valor,baloɾ
vivo,bibo
calidad,kalidad
causa,kausa
director,diɾeɡtoɾ
duda,duda
europa,euɾopa
fecha,fet͡ʃa
iglesia,iɡlesja
obras,obɾas
pronto,pɾonto
resultado,resultado
alta,alta
cambiar,kambjaɾ
colombia,kolombja
hermano,eɾmano
local,lokal
mar,maɾ
mismos,mismos
viaje,bjaxe
acá,aka
alrededor,alrededoɾ
campaña,kampaɲa
carrera,kareɾa
interés,inteɾes
mensaje,mensaxe
negro,neɡɾo
niño,niɲo
objetivo,obxetibo
popular,populaɾ
red,red
río,rio
ah,a
aquellos,akeʝos
ayer,aʝeɾ
blanco,blanko
carlos,kaɾlos
comer,komeɾ
compañía,kompaɲia
ganar,ɡanaɾ
interior,inteɾjoɾ
lucha,lut͡ʃa
mediante,medjante
nota,nota
pequeño,pekeɲo
prueba,pɾweba
saben,saben
sol,sol
vaya,baʝa
anterior,anteɾjoɾ
buscar,buskaɾ
justo,xusto
medida,medida
primeros,pɾimeɾos
temas,temas
ven,ben
éxito,eɡsito
actividades,aɡtibidades
adelante,adelante
aire,aiɾe
américa,ameɾika
arriba,ariba
autor,autoɾ
baja,baxa
dije,dixe
entrar,entɾaɾ
estilo,estilo
ex,eɡs
lejos,lexos
luis,lwis
mala,mala
maría,maɾia
militar,militaɾ
muestra,mwestɾa
oro,oɾo
par,paɾ
plata,plata
puerta,pweɾta
sola,sola
ayudar,aʝudaɾ
color,koloɾ
contigo,kontiɡo
defensa,defensa
dólares,dolaɾes
fondo,fondo
fútbol,fudbol
hago,aɡo
hija,ixa
humanos,umanos
ideas,ideas
menor,menoɾ
ministerio,ministeɾjo
pocos,pokos
puerto,pweɾto
recuerdo,rekweɾdo
semanas,semanas
armas,aɾmas
busca,buska
congreso,konɡɾeso
espera,espeɾa
evitar,ebitaɾ
finalmente,finalmente
fuente,fwente
hubo,ubo
jugar,xuɡaɾ
ministro,ministɾo
puta,puta
siquiera,sikjeɾa
época,epoka
actividad,aɡtibidad
banco,banko
conseguir,konseɡiɾ
corte,koɾte
cualquiera,kwalkjeɾa
departamento,depaɾtamento
mitad,mitad
presente,pɾesente
sector,seɡtoɾ
serio,seɾjo
superior,supeɾjoɾ
supuesto,supwesto
boca,boka
comprar,kompɾaɾ
crear,kɾeaɾ
diferente,difeɾente
energía,eneɾxia
esperar,espeɾaɾ
malo,malo
mantener,manteneɾ
modelo,modelo
natural,natuɾal
pequeña,pekeɲa
radio,radjo
sale,sale
trabajadores,tɾabaxadoɾes
v,ube
viejo,bjexo
comisión,komisjon
conmigo,kommiɡo
costa,kosta
cree,kɾee
crisis,kɾisis
cámara,kamaɾa
diario,djaɾjo
domingo,dominɡo
entender,entendeɾ
esté,este
fuego,fweɡo
fui,fwi
habrá,abɾa
jóvenes,xobenes
perder,peɾdeɾ
políticas,politikas
título,titulo
vive,bibe
actualmente,aɡtwalmente
creer,kɾeeɾ
llamada,ʝamada
mamá,mama
sangre,sanɡɾe
toma,toma
auto,auto
brasil,bɾasil
carta,kaɾta
china,t͡ʃina
cuál,kwal
facebook,feisbuk
leyes,leʝes
probablemente,pɾobablemente
rápido,rapido
solamente,solamente
área,aɾea
banda,banda
clases,klases
colegio,kolexjo
contenido,kontenido
encuentro,enkwentɾo
entrada,entɾada
fiesta,fjesta
imposible,imposible
medidas,medidas
pagar,paɡaɾ
pedro,pedɾo
permite,peɾmite
pp,pepe
pudo,pudo
televisión,telebisjon
unión,unjon
vía,bia
abajo,abaxo
atrás,atɾas
club,klub
comentarios,komentaɾjos
darle,daɾle
di,di
error,eroɾ
gusto,ɡusto
hechos,et͡ʃos
normal,noɾmal
redes,redes
sabemos,sabemos
sexo,seɡso
siete,sjete
texto,teɡsto
análisis,analisis
apenas,apenas
chica,t͡ʃika
contrario,kontɾaɾjo
cuentas,kwentas
código,kodiɡo
dolor,doloɾ
efecto,efeɡto
habría,abɾia
isla,isla
mente,mente
odio,odjo
perú,peɾu
pienso,pjenso
post,post
profesor,pɾofesoɾ
respeto,respeto
ropa,ropa
serán,seɾan
tenían,tenian
totalmente,totalmente
versión,beɾsjon
cuestión,kwestjon
debemos,debemos
escribir,eskɾibiɾ
española,espaɲola
industria,industɾja
instituto,instituto
loco,loko
origen,oɾixen
premio,pɾemjo
re,re
rico,riko
simple,simple
unidad,unidad
vino,bino
canal,kanal
cultural,kultuɾal
dando,dando
derecha,deɾet͡ʃa
económica,ekonomika
escrito,eskɾito
esperando,espeɾando
interesante,inteɾesante
jamás,xamas
miles,miles
original,oɾixinal
peso,peso
pobre,pobɾe
prensa,pɾensa
propiedad,pɾopjedad
victoria,biɡtoɾja
votos,botos
vuelve,bwelbe
éste,este
alma,alma
antonio,antonjo
asunto,asunto
buscando,buskando
completamente,kompletamente
hospital,ospital
humano,umano
imágenes,imaxenes
marcha,maɾt͡ʃa
pie,pai
verano,beɾano
aprender,apɾendeɾ
conjunto,konxunto
cuarto,kwaɾto
curso,kuɾso
don,don
fe,fe
ganas,ɡanas
género,xeneɾo
muerto,mweɾto
ocho,ot͡ʃo
pablo,pablo
particular,paɾtikulaɾ
posibilidad,posibilidad
profesional,pɾofesjonal
régimen,reximen
suelo,swelo
tuve,tube
ves,bes
visita,bisita
ambiente,ambjente
ataque,atake
casas,kasas
cuba,kuba
económico,ekonomiko
federal,fedeɾal
lengua,lenɡwa
mesa,mesa
pago,paɡo
pruebas,pɾwebas
publicado,publikado
sala,sala
santiago,santjaɡo
señora,seɲoɾa
sueño,sweɲo
teléfono,telefono
transporte,tɾanspoɾte
usa,usa
acto,aɡto
completo,kompleto
cuidado,kwidado
deseo,deseo
detrás,detɾas
directamente,diɾeɡtamente
doctor,doɡtoɾ
escuchar,eskut͡ʃaɾ
informe,infoɾme
llegado,ʝeɡado
manuel,manwel
material,mateɾjal
pareja,paɾexa
perfecto,peɾfeɡto
puso,puso
venta,benta
viendo,bjendo
destino,destino
esposa,esposa
hambre,ambɾe
legal,leɡal
muertos,mweɾtos
obtener,obteneɾ
pedir,pediɾ
pensando,pensando
perro,pero
propuesta,pɾopwesta
responsabilidad,responsabilidad
reunión,reunjon
revista,rebista
territorio,teritoɾjo
to',to
viernes,bjeɾnes
cama,kama
diga,diɡa
doble,doble
jesús,xesus
marca,maɾka
memoria,memoɾja
motivo,motibo
pase,pase
pesos,pesos
práctica,pɾaɡtika
reforma,refoɾma
reino,reino
riesgo,rjesɡo
sacar,sakaɾ
sentir,sentiɾ
temporada,tempoɾada
terminar,teɾminaɾ
autoridades,autoɾidades
daño,daɲo
fuentes,fwentes
gratis,ɡɾatis
locales,lokales
miembro,mjembɾo
