Word,Pronunciation
ஸங்கிரஹம்,sɐŋɡiɾɐhɐm
கருத்துரு,kɐɾut̪ːuɾu
முடிந்தளவு,muʈin̪t̪aɭaʋu
வைத்து,ʋajt̪t̪u
மாவோயிஸ்டுகள்,maːʋoːjisʈukaɭ
உணர்வு,uɳɐɾʋu
மேலங்கி,meːlɐŋɡi
வல்லபம்,ʋɐllɐbɐm
பங்கு,paŋku
ஆட்டன்,aːʈːɐn
சந்தோஷம்,t͡ɕɐn̪d̪oːʂɐm
நகம்,n̪ɐhɐm
மேலிடு,meːliɖu
மறுநாள்,marun̪aːɭ
வஞ்சி,ʋɐɲd͡ʑi
ஒளி,oɭi
ரோஜா,ɾoːd͡ʑaː
உவா,uʋaː
கலாய்,kɐlaːj
உடையவன்,uɖaɪ̯jɐʋɐn
பொரி,poɾi
அதில்,at̪il
விடு,ʋiɖu
ூ,uː
தொழிற்சாலை,t̪oɻirt͡ʃaːlaj
கிரகி,ɡiɾɐɡi
விரியன்,ʋiɾijɐn
பத்திரிகை,pat̪t̪iɾikaj
தெரிந்து,t̪eɾin̪t̪u
பாசி,paːt͡ɕi
விருகற்பாதம்,ʋiɾuɡɐrpaːd̪ɐm
செலவழித்து,t͡ʃelaʋaɻit̪t̪u
நடவடிக்கை,n̪aʈaʋaʈikkaj
ஜனநாயகத்தின்,d͡ʒanan̪aːjakat̪t̪in
என்று,enru
ஒலிபெருக்கி,ʔol̪ipeɾ̪ukkːi
உருவப்,uɾuʋap
சாதகமாக,t͡ʃaːt̪akamaːka
வீரர்களைய்,ʋiːɾaɾkaɭajj
வசி,ʋɐt͡ɕi
கற்றார்,kɐrːaːɾ
கடுங்கோபம்,kɐɖuŋɡoːbɐm
நன்கடத்தி,n̪ɐnkɐɖɐt̪ːi
வேம்பு,ʋeːmbu
மீட்டு,miːʈːu
கரண்ட்,kɐɾɐɳɖ
தேநீர்,t̪eːn̪iːɾ
ஒரே,oɾeː
அச்சார்,ɐt͡ɕːaːɾ
லொடுக்கு,loɖukːu
உறவில்,uraʋil
குண்டம்,kuɳɖɐm
மகரந்தம்,mɐɡɐɾɐn̪d̪ɐm
விவாகரத்து,ʋiʋaːɡɐɾɐt̪ːu
காடு,kaːɖu
துவக்கு,t̪uʋɐkːu
கடும்,kɐɖum
அனாதை,ɐnaːd̪aɪ̯
மெல்லினம்,mellinɐm
கல்லீரல்,kɐlliːɾɐl
பார்வையிட்டார்,paːɾʋajjiʈʈaːɾ
நித்திரை,n̪it̪ːiɾaɪ̯
உளறு,uɭɐru
சித்திரபானு,t͡ɕit̪ːiɾɐbaːnu
துளி,t̪uɭi
குருட்டுக்கொக்கு,kuɾuʈːukːokːu
சேலை,t͡ɕeːlaɪ̯
ஏற்றுக்,eːrruk
மாமனார்,maːmɐnaːɾ
சிலந்தி,t͡ɕilɐn̪d̪i
விபத்துக்குள்ளானதாக,ʋipat̪t̪ukkuɭɭaːnat̪aːka
சாம்பல்,t͡ɕaːmbɐl
பகைவன்,pɐɡaɪ̯ʋɐn
ஆங்க,aːŋɡɐ
பெறாமல்,peraːmal
செலவினங்களுக்க்,t͡ʃelaʋinaŋkaɭukk
சிதாரி,t͡ɕid̪aːɾi
க்ஷ்,kʂ
நிகழ்த்து,n̪iɡɐɻt̪ːu
காட்சி,kaːʈt͡ɕi
தவிர,t̪ɐʋiɾɐ
ஒழுங்கு,oɻuŋɡu
வாள்,ʋaːɭ
மேலிமை,meːlimaɪ̯
கிளைப்பு,kiɭaɪ̯pːu
உவர்,uʋɐɾ
முடிவெடுக்கப்,muʈiʋeʈukkap
கொண்டபாடு,koɳɖɐbaːɖu
ஆண்டின்,aːɳʈin
நங்கூரம்,n̪ɐŋɡuːɾɐm
ஆகியவை,aːkijaʋaj
ராஷ்ட்ரீய,ɾaːʂʈɾiːja
தவனம்,t̪ɐʋɐnɐm
தொகையுடன்,t̪okajjuʈan
வடக்கு,ʋɐɖɐkːu
வேள்வி,ʋeːɭʋi
உலாவி,ulaːʋi
அள,ɐɭɐ
உணர,uɳaɾa
சாட்டை,t͡ɕaːʈːaɪ̯
வரப்பண்ணு,ʋɐɾɐpːɐɳːu
மீன்பிடி,miːnpiʈi
பலர்,pɐlɐɾ
தலைமைச்,t̪alajmajt͡ʃ
கொடும்பை,koɖumbaɪ̯
வாய்,ʋaːj
பிரியம்,piɾijɐm
கண்டிப்பு,kɐɳɖipːu
அணை,aɳaj
வண்ணத்துப்பூச்சி,ʋɐɳːɐt̪ːupːuːt͡ɕːi
சாசனம்,t͡ɕaːt͡ɕɐnɐm
மனிதநேயம்,manit̪an̪eːjam
ஆந்தை,aːn̪d̪aɪ̯
உட்கார்,uʈkaːɾ
முள்கு,muɭɡu
திண்டாடு,t̪iɳɖaːɖu
இராசபுத்திரன்,iɾaːt͡ɕɐbut̪ːiɾɐn
தமிழர்களை,t̪amiɻaɾkaɭaj
ஊஞ்சல்,uːɲd͡ʑɐl
நவீனம்,n̪ɐʋiːnɐm
அவர்கள்,aʋaɾkaɭ
கீலாரி,kiːlaːɾi
மாநாட்,maːn̪aːʈ
நற்செய்தி,n̪ɐrt͡ɕejd̪i
செயற்றிட்டம்,t͡ɕejɐrːiʈːɐm
விலங்கியல்,ʋilaŋkijal
முறைமை,muraɪ̯maɪ̯
கருத்தைத்,kaɾut̪t̪ajt̪
விடுவிக்க,ʋiʈuʋikka
பதுமம்,pɐd̪umɐm
அதிகாரிகளும்,at̪ikaːɾikaɭum
சாப்பிட்டீங்களா,t͡ɕaːpːiʈːiːŋɡɐɭaː
தேசிய,t̪eːt͡ʃija
பசுமை,pɐt͡ɕumaɪ̯
கார்முகில்,kaːɾmuɡil
பிசினி,pit͡ɕini
முன்பிலாண்டு,munbilaːɳɖu
மேன்மை,meːnmaɪ̯
சிற்பர்,t͡ɕirpɐɾ
ஊரடங்கு,uːɾɐɖɐŋɡu
தண்டி,d̪ɐɳɖi
மின்னு,minːu
ஓநாய்,oːn̪aːj
பாதி,baːd̪i
மேற்கொண்டு,meːrkoɳʈu
செட்களையும்,t͡ʃeʈkaɭajjum
இலங்கைக்க்,ilaŋkajkk
கேசரியாசனம்,keːt͡ɕɐɾijaːt͡ɕɐnɐm
இளஞ்சிவப்பு,iɭɐɲd͡ʑiʋɐpːu
நிகழ்ச்சி,n̪iɡɐɻt͡ɕːi
உணவு,uɳɐʋu
வரும்,ʋaɾum
இகழ்ச்சி,iɡɐɻt͡ɕːi
அமானுஷ்யம்,ɐmaːnuʂjɐm
எப்பேர்ப்பட்ட,epːeːɾpːɐʈːɐ
மாத்து,maːt̪ːu
சோளப்பொரி,t͡ɕoːɭɐpːoɾi
கொக்கிஸ்,kokːis
மணம்,mɐɳɐm
பக்டிகா,pakʈikaː
சுவர்க்கம்,t͡ɕuʋɐɾkːɐm
குப்பம்,kupːɐm
பெற்றிமை,perːimaɪ̯
மது,mɐd̪u
கொறி,kori
பயன்படு,pɐjɐnbɐɖu
நூலறிவு,n̪uːlɐriʋu
இவற்றை,iʋarraj
பரிவாரம்,pɐɾiʋaːɾɐm
சொத்தில்,t͡ɕot̪ːil
அரியணை,ɐɾijɐɳaɪ̯
கோழி,koːɻi
மதிநுட்பமிக்க,mɐd̪in̪uʈpɐmikːɐ
அல்,ɐl
விரும்புகிறீர்கள்,ʋiɾumpukiriːɾkaɭ
இரட்டகத்துத்தி,iɾɐʈːɐɡɐt̪ːut̪ːi
உணவகம்,uɳɐʋɐɡɐm
காட்டுக்காய்ச்சுரை,kaːʈːukːaːjt͡ɕːuɾaɪ̯
நாம்,n̪aːm
நிபானம்,n̪ibaːnɐm
மஹால்,mɐhaːl
மெருகு,meɾuɡu
பாதுகாத்த,paːt̪ukaːt̪t̪a
கேள்வி,keːɭʋi
கல,kɐlɐ
பங்களிப்பு,paŋkaɭippu
செய்யப்பட்டுள்ள,t͡ʃejjappaʈʈuɭɭa
மருதாணி,mɐɾud̪aːɳi
நடத்துவதற்க்,n̪aʈat̪t̪uʋat̪ark
சிறுவாள்,t͡ɕiruʋaːɭ
வால்நட்சத்திரம்,ʋaːln̪ɐʈt͡ɕɐt̪ːiɾɐm
முடிச்சு,muɖit͡ɕːu
முன்,mun
தண்,t̪ɐɳ
ஹீனா,hiːnaː
பாட்டன்,paːʈːɐn
விடுதலைசெய்யப்பட,ʋiʈut̪alajt͡ʃejjappaʈa
கலப்பதற்கான,kalappat̪arkaːna
செல்லம்,t͡ɕellɐm
இயக்குனர்,ijɐkːunɐɾ
ஆயிரத்திற்கும்,aːjiɾat̪t̪irkum
கொடி,koʈi
சிலுவை,t͡ɕiluʋaɪ̯
வெள்ளைச்செவ்வந்தி,ʋeɭːaɪ̯t͡ɕːeʋːɐn̪d̪i
கிளர்த்து,kiɭɐɾt̪ːu
இலங்கை,ilɐŋɡaɪ̯
பலகை,pɐlɐɡaɪ̯
நிகழ்ந்ததாக,n̪ikaɻn̪t̪at̪aːka
பாதுகாப்பு,paːd̪uɡaːpːu
வால்மீன்,ʋaːlmiːn
சூரத்,t͡ʃuːɾat̪
இச்சகம்,it͡ɕːɐɡɐm
ஆதியாகமம்,aːd̪ijaːɡɐmɐm
கட்டி,kɐʈːi
சீந்து,t͡ɕiːn̪d̪u
வட்டெழுத்து,ʋɐʈːeɻut̪ːu
மாதம்,maːt̪am
திருமணம்,t̪iɾumɐɳɐm
அமைச்சு,ɐmaɪ̯t͡ɕːu
யுகம்,juɡɐm
ஒபதியா,obɐd̪ijaː
இருபது,iɾubɐd̪u
கட்டமைப்பு,kɐʈːɐmaɪ̯pːu
தமிழர்களிடம்,t̪amiɻaɾkaɭiʈam
கிடைத்துள்ளது,kiʈajt̪t̪uɭɭat̪u
சிதர்,t͡ɕid̪ɐɾ
நிதியுதவி,n̪it̪ijut̪aʋi
எத்தனம்,et̪ːɐnɐm
அரசைக்,aɾat͡ʃajk
சீவி,t͡ɕiːʋi
அம்பட்டன்,ɐmbɐʈːɐn
