Word,Pronunciation
สวะ,sawaʔ
อนาถ,ɔːnaːt
พาล,pʰaːn
อาชญากรรม,ʔaːtjaːkonrom
ปม,pom
กงสุล,koŋsun
กรมธรรม,konmatʰonrom
ปีนัง,piːnaŋ
สืบสวน,sɯːbsawon
สังคมวิทยา,saŋkʰamawitjaː
สรท,sarot
สะอาด,saʔaːt
สุรคต,sunkʰot
สวนสาธารณะ,sownasaːtʰaːnnaʔ
แทะ,tʰɛʔ
คิง,kʰiŋ
สึส,sɯt
ขยัน,kʰajan
ปรับตัว,prabtuːa̯
วิงวอน,wiŋwɔːn
โด,doː
สงสาร,soŋsaːn
ดูใจ,duːt͡ɕaj
เมษายน,meːsaːjon
ทากทะเล,tʰaːktʰaleː
รี,riː
พลาด,pʰlaːt
เชิง,t͡ɕʰɤŋ
เสียด,siːa̯t
กลบบาตรสุมเพลิง,konbabaːtrasumpʰeːliŋ
นินทา,nintʰaː
ฉุน,t͡ɕʰun
อะลูมิเนียม,ʔaluːminiːa̯m
การกบฏ,kaːnkabot
คายตะขาบ,kʰaːjtakʰaːb
พวง,pʰawoŋ
เทลลูเรียม,tʰeːnluːriːa̯m
พลศึกษา,pʰonsɯkasaː
พลับพลา,pʰlabpʰlaː
ระบบประสาท,rabboprasaːt
ลาย,laːj
แดด,dɛːt
ขอบพระคุณ,kʰɔːbpʰrakʰun
มารวิชัย,maːnwit͡ɕʰaj
เสรีภาพ,seːriːpʰaːp
กระบะทราย,krabatraːj
สะกดจิต,sakdat͡ɕit
ราชกุมารี,raːtkumaːriː
ตลาดมืด,talaːtmɯːt
การวิวาท,kaːnwiwaːt
ภูธร,pʰuːtʰon
ลูกหลาน,luːkhalaːn
ทางออก,tʰaːŋʔɔːk
ชุม,t͡ɕʰum
เกลียว,keːliːjow
ราง,raːŋ
หัวหด,huːa̯hot
จงรัก,t͡ɕoŋrak
ทูล,tʰuːn
เรือใบ,rɯːa̯baj
เย,jeː
การอภิปราย,kaːrɔːpʰipraːj
โถ,tʰoː
โครเมียม,kʰoːnmiːa̯m
ไทยมุง,tʰajmuŋ
พลิก,pʰlik
ชาวสวน,t͡ɕʰaːwsawon
จอบ,t͡ɕɔːb
