görülmeyen,ɡœɾylmejen
aktaracağım,aktaɾad͡ʒaɰɯm
şampiyonluğu,ʃampijonluɰu
otobüslerde,otobysleɾde
işte,iʃte
girmeli,ɡiɾmeli
dakika,dakika
mırıldanır,mɯɾɯldanɯɾ
sağlamanın,saɰlamanɯn
jüride,ʒyɾide
alınırken,alɯnɯɾken
girdik,ɡiɾdik
pırıl,pɯɾɯl
müzeden,myzeden
konuşuyorum,konuʃujoɾum
milyonu,miljonu
yanlıştır,janlɯʃtɯɾ
elit,elit
kayıtsız,kajɯtsɯz
ürpermek,yɾpeɾmek
dal,dal
eremediğimiz,eɾemediɰimiz
mevcutlardan,mevd͡ʒutlaɾdan
kaldırırdı,kaldɯɾɯɾdɯ
güzeldi,ɡyzeldi
izler,izleɾ
gitmesinden,ɡitmesinden
gülüyor,ɡylyjoɾ
ız,ɯz
genelgelere,ɡenelɡeleɾe
fikir,fikiɾ
gözlemlendi,ɡœzlemlendi
plandaydı,plandajdɯ
ikramlar,ikɾamlaɾ
yüceliğinden,jyd͡ʒeliɰinden
kullanılabilir,kullanɯlabiliɾ
olmayanına,olmajanɯna
biçiminin,bit͡ʃiminin
verilirdi,veɾiliɾdi
bakanları,bakanlaɾɯ
kesinlik,kesinlik
oynamadığı,ojnamadɯɰɯ
anlattığında,anlattɯɰɯnda
boşluğa,boʃluɰa
şoförlüğümün,ʃofœɾlyɰymyn
boyutunun,bojutunun
takımlarımızın,takɯmlaɾɯmɯzɯn
sevgiydi,sevɡijdi
mutfağın,mutfaɰɯn
iğne,iɰne
konut,konut
karekterde,kaɾekteɾde
kurulmuştu,kuɾulmuʃtu
suni,suni
kalırsınız,kalɯɾsɯnɯz
kurultayda,kuɾultajda
tüketici,tyketid͡ʒi
iştir,iʃtiɾ
duraklaması,duɾaklamasɯ
fok,fok
bastonu,bastonu
atıştırmayın,atɯʃtɯɾmajɯn
şaşırmıştı,ʃaʃɯɾmɯʃtɯ
silahı,silahɯ
yakalamakta,jakalamakta
dosyalar,dosjalaɾ
yiyeceğiz,jijed͡ʒeɰiz
etsin,etsin
uyanıvermiş,ujanɯveɾmiʃ
toplandı,toplandɯ
altmış,altmɯʃ
yim,jim
hasretmek,hasɾetmek
çantasında,t͡ʃantasɯnda
önemlidir,œnemlidiɾ
belirince,beliɾind͡ʒe
değerinden,deɰeɾinden
olmayan,olmajan
matadorların,matadoɾlaɾɯn
bakalım,bakalɯm
belada,belada
çalışıyorsak,t͡ʃalɯʃɯjoɾsak
hatıralarında,hatɯɾalaɾɯnda
ovasında,ovasɯnda
gidiliyor,ɡidilijoɾ
kilidi,kilidi
ydım,jdɯm
ucuzlukla,ud͡ʒuzlukla
almazken,almazken
tedbirlerle,tedbiɾleɾle
horozlara,hoɾozlaɾa
sakınca,sakɯnd͡ʒa
mutluyum,mutlujum
öğrenmiş,œɰɾenmiʃ
gelenleri,ɡelenleɾi
çekti,t͡ʃekti
kurtarmak,kuɾtaɾmak
dürtüleri,dyɾtyleɾi
işadamlarının,iʃadamlaɾɯnɯn
takıma,takɯma
cambazlıkları,d͡ʒambazlɯklaɾɯ
yapacağınızı,japad͡ʒaɰɯnɯzɯ
dizel,dizel
verirken,veɾiɾken
kim,kim
olsalar,olsalaɾ
zenginliğe,zenɡinliɰe
konuşmalı,konuʃmalɯ
sanılıyor,sanɯlɯjoɾ
kaldırmayı,kaldɯɾmajɯ
yazıldığında,jazɯldɯɰɯnda
rahatsız,ɾahatsɯz
kafeslerden,kafesleɾden
birşeyler,biɾʃejleɾ
emin,emin
söz,sœz
ödemelerden,œdemeleɾden
öğüdü,œɰydy
müeyyideleri,myejjideleɾi
ışıkların,ɯʃɯklaɾɯn
işlemedikleri,iʃlemedikleɾi
odasına,odasɯna
sanatçıydı,sanatt͡ʃɯjdɯ
türden,tyɾden
bağlantının,baɰlantɯnɯn
kılmış,kɯlmɯʃ
büyüyüp,byjyjyp
göksel,ɡœksel
kısır,kɯsɯɾ
fıkralarında,fɯkɾalaɾɯnda
duyarak,dujaɾak
centilmenlik,d͡ʒentilmenlik
güneşe,ɡyneʃe
tahvilin,tahvilin
çıkıştı,t͡ʃɯkɯʃtɯ
anladığınızda,anladɯɰɯnɯzda
söyleyerek,sœjlejeɾek
gelsin,ɡelsin
çalarken,t͡ʃalaɾken
davullar,davullaɾ
türküsünün,tyɾkysynyn
heykeline,hejkeline
şubeleri,ʃubeleɾi
yla,jla
danışmanlık,danɯʃmanlɯk
sponsorluğu,sponsoɾluɰu
atanmasına,atanmasɯna
ödenmediği,œdenmediɰi
yapmazlar,japmazlaɾ
gerektiren,ɡeɾektiɾen
güçlülerin,ɡyt͡ʃlyleɾin
ortaokul,oɾtaokul
haksızsınız,haksɯzsɯnɯz
mütehassıs,mytehassɯs
klişe,kliʃe
bantlarla,bantlaɾla
kibarlıklarını,kibaɾlɯklaɾɯnɯ
