Word,Pronunciation
ئۆردەكتىن,ørdɛktin
سالمىقىنى,salmiqini
خالايمەن,χalajmɛn
بەرمەكتە,bɛrmɛktɛ
قاراشلىرىنى,qaraʃlirini
ئۇزاتماقچى,uzatmaqt͡ʃi
قىلىپتۇ,qiliptu
كىملەرنىڭ,kimlɛrniŋ
ئوقۇپچۇ,oqupt͡ʃu
مەۋجۇتلۇقۇڭنىڭ,mɛwd͡ʒutluquŋniŋ
قۇلاققا,qulaqqa
ئۈزۈش,yzyʃ
كۆركەم,kørkɛm
دەيسىز,dɛjsiz
سورۇنىغا,soruniʁa
ئولتۇرىدىكەن,olturidikɛn
كېتىۋەردىم,ketiwɛrdim
ئېلىنسا,elinsa
ئىقتىدارى,iqtidari
كەتكەنمىدۇ,kɛtkɛnmidu
سەييارىلەردەك,sɛjjarilɛrdɛk
مېھماندوست,mehmandost
يوقلىغۇچىلار,joqliʁut͡ʃilar
تاشلاندى,taʃlandi
پەنلەر,pɛnlɛr
كىرمەكتىدى,kirmɛktidi
تەڭرىتېغىغا,tɛŋriteʁiʁa
ئالتۇن,altun
كۆكتە,køktɛ
سالاملاشماقتا,salamlaʃmaqta
غوجاكىسىدىن,ʁod͡ʒakisidin
قۇشۇم,quʃum
پۈركەنگەن,pyrkɛnɡɛn
ھوقۇقلۇق,hoquqluq
مارجانبۇلاق,mard͡ʒanbulaq
ياردەم,jardɛm
باھار,bahar
تۈپ,typ
ھەرخىل,hɛrχil
بولۇنغان,bolunʁan
سوراپتۇ,soraptu
ئۈنۈملىك,ynymlik
ئانىلارنىڭ,anilarniŋ
يەتمىگەنلىكىنى,jɛtmiɡɛnlikini
بېرەلەيمەن,berɛlɛjmɛn
تېتىيالمايدۇ,tetijalmajdu
ئېلىكتىرونلوق,eliktironloq
ئىشىڭ,iʃiŋ
يۇرەك,jurɛk
قۇتۇلالمايتتى,qutulalmajtti
بارمۇ,barmu
بېشىنى,beʃini
ئايلاندۇرالايدىكەن,ajlanduralajdikɛn
داۋاملىق,dawamliq
بىرەرى,birɛri
ئەركىنجاننىمۇ,ɛrkind͡ʒannimu
سەرپ,sɛrp
تىگىدە,tiɡidɛ
قىزچاقمۇ,qizt͡ʃaqmu
شىۋېتسارىيە,ʃiwetsarijɛ
بەكلە,bɛklɛ
تالاش,talaʃ
ئەجىرىنى,ɛd͡ʒirini
مەدرىسىدە,mɛdrisidɛ
يىگىتتىن,jiɡittin
كۆپەيگەنسىرى,køpɛjɡɛnsiri
نەپەستىن,nɛpɛstin
ئىچىدە,it͡ʃidɛ
كۆرۈنۈشلەرنى,kørynyʃlɛrni
سېپىۋاتقانلىقىنى,sepiwatqanliqini
بەرمىسەم,bɛrmisɛm
كۈتمەيلا,kytmɛjla
كۆرەڭ,kørɛŋ
پوستىنى,postini
ئۇزىراپ,uzirap
جەريانى,d͡ʒɛrjani
كەشتىلەپتۇ,kɛʃtilɛptu
،بۇ,،bu
قۇتقۇزۇش,qutquzuʃ
پۇتىدىن,putidin
توختىماي,toχtimaj
ئانام,anam
سۆيىمىز,søjimiz
تۇرالامسەن,turalamsɛn
قىلش,qilʃ
ئەي,ɛj
ئىس,is
تەكرارلاپ,tɛkrarlap
تېغى,teʁi
قويلار,qojlar
ئىيۇل,ijul
كۈلۈمسىرەپ,kylymsirɛp
قىزلىرى,qizliri
