Word,Pronunciation
ფოლკლორი,pʰolkʼɫoɾi
ეკვატორი,ekʼʷatʼoɾi
ფილოსოფიური,pʰiɫosopʰiuɾi
მატყლი,matʼχʼli
მოუქნელად,moukʰneɫad
თუთა,tʰutʰa
რანტი,ɾantʼi
ყორანი,χʼoɾani
ბუქსირი,bukʰsiɾi
ჰეტეროსექსუალობა,hetʼeɾosekʰsuaɫoba
დედამიწის,dedamit͡sʼis
მომხიბლავად,momχibɫavad
შეცვლადი,ʃet͡sʰʷɫadi
მან,man
გენი,ɡeni
დამოკიდებულება,damokʼidebuleba
დამყოლი,damχʼoli
დოკი,dokʼi
სავალდებულო,savaldebuɫo
რეგიონალურად,ɾeɡionaɫuɾad
დუნედ,duned
ბურდღა,buɾdʁa
გააგრძელებ,ɡaaɡɾd͡zeleb
ზურნა,zuɾna
ამანათაშვილი,amanatʰaʃʷili
ზღვისფერი,zʁʷispʰeɾi
თაფლუჭი,tʰapʰɫut͡ʃʼi
გრანულარული,ɡɾanuɫaɾuli
წარბი,t͡sʼaɾbi
უხვად,uχʷad
ალადინი,aɫadini
მოჭიმულად,mot͡ʃʼimuɫad
ფოტოგრაფიული,pʰotʼoɡɾapʰiuli
მარსელი,maɾseli
ღიღილო,ʁiʁiɫo
ჟანგმიწა,ʒanɡmit͡sʼa
შოვინისტი,ʃovinistʼi
ებრაელი,ebɾaeli
კალენდარი,kʼalendaɾi
შანტაჟისტი,ʃantʼaʒistʼi
მფარველურად,mpʰaɾʷeɫuɾad
ვიოლა,vioɫa
თერმოდინამიკული,tʰeɾmodinamikʼuli
ლასურაშვილი,ɫasuɾaʃʷili
კრიტიკული,kʼɾitʼikʼuli
წარმოებული,t͡sʼaɾmoebuli
კაბრიოლეტი,kʼabɾioletʼi
ურწყული,uɾt͡sʼχʼuli
შვეიცარული,ʃʷeit͡sʰaɾuli
ძ,d͡z
თანი,tʰani
ჭიმავს,t͡ʃʼimafs
მოტკბო,motʼkʼbo
დიამეტრულად,diametʼɾuɫad
თექვსმეტკუთხედი,tʰekʰʷsmetʼkʼutʰχedi
ასტრობიოლოგია,astʼɾobioɫoɡia
წინწილი,t͡sʼint͡sʼili
ვოლგოგრადი,volɡoɡɾadi
დეკემბერი,dekʼembeɾi
სასურველი,sasuɾʷeli
ალმასი,almasi
უთესლო,utʰesɫo
ლობისტი,ɫobistʼi
ხარისხით,χaɾisχitʰ
პოლიციელი,pʼolit͡sʰieli
პირმა,pʼiɾma
არჩევა,aɾt͡ʃʰeva
ასოთამწყობი,asotʰamt͡sʼχʼobi
ქრონოლოგიური,kʰɾonoɫoɡiuɾi
ეჭვიანობა,et͡ʃʼʷianoba
თავისუფლად,tʰavisupʰɫad
გამბიტი,ɡambitʼi
მატრიარქატი,matʼɾiaɾkʰatʼi
უწესრიგობა,ut͡sʼesɾiɡoba
ავტოფობია,aftʼopʰobia
პლუში,pʼɫuʃi
ხანჯალი,χand͡ʒali
მონასტერი,monastʼeɾi
პროტოქართველური,pʼɾotʼokʰaɾtʰʷeɫuɾi
გაჩმახება,ɡat͡ʃʰmaχeba
აგური,aɡuɾi
მაიოლიკა,maiolikʼa
სტატიები,stʼatʼiebi
შექცევადი,ʃekʰt͡sʰevadi
უსაზღვრო,usazʁʷɾo
ნესტორი,nestʼoɾi
ნისლოვანება,nisɫovaneba
ტაძარი,tʼad͡zaɾi
უხარია,uχaɾia
მუნიციპალური,munit͡sʰipʼaɫuɾi
ღვინოს,ʁʷinos
ჰერმეტულად,heɾmetʼuɫad
ცივსისხლიანი,t͡sʰifsisχliani
ღვთისმშობლის,ʁʷtʰismʃoblis
ტონალობა,tʼonaɫoba
ფასდაკლება,pʰasdakʼleba
ფორტეპიანო,pʰoɾtʼepʼiano
მესხეთი,mesχetʰi
გაკვეთილი,ɡakʼʷetʰili
ტრუსი,tʼɾusi
უიშვიათესი,uiʃʷiatʰesi
შეუდრეკლად,ʃeudɾekʼɫad
ათეიზმი,atʰeizmi
მრუდე,mɾude
ბისტი,bistʼi
სადირექტორო,sadiɾekʰtʼoɾo
ამით,amitʰ
ქიმერა,kʰimeɾa
სინთეზი,sintʰezi
სიბინძურე,sibind͡zuɾe
საფეთქელი,sapʰetʰkʰeli
ცვილი,t͡sʰʷili
ჰარმონიული,haɾmoniuli
საიდუმლოები,saidumɫoebi
ობიანი,obiani
ჰემოლიმფა,hemolimpʰa
ყმაწვილი,χʼmat͡sʼʷili
ქედით,kʰeditʰ
დამსწრე,damst͡sʼɾe
ორიანი,oɾiani
მედიდურად,mediduɾad
ბურნუთი,buɾnutʰi
კაცს,kʼat͡sʰs
აკადემიის,akʼademiis
შინტოიზმი,ʃintʼoizmi
ღანძილი,ʁand͡zili
უგრძნობად,uɡɾd͡znobad
მოუფიქრებლად,moupʰikʰɾebɫad
ოპტიკური,opʼtʼikʼuɾi
არსით,aɾsitʰ
ბარკასი,baɾkʼasi
გრილა,ɡɾiɫa
ინტერვიუ,intʼeɾʷiu
ტრუბადური,tʼɾubaduɾi
ვულგარული,vulɡaɾuli
მრავალხმიანი,mɾavalχmiani
მამინაცვალი,maminat͡sʰʷali
ლიგა,liɡa
პროგრამა,pʼɾoɡɾama
მსუქნად,msukʰnad
პრივეტ,pʼɾivetʼ
დამოკიდებული,damokʼidebuli
ფანტაზიორი,pʰantʼazioɾi
ბულგარული,bulɡaɾuli
რომბი,ɾombi
კიბე,kʼibe
ცამეტი,t͡sʰametʼi
რკინიგზა,ɾkʼiniɡza
კილოკავი,kʼiɫokʼavi
სეფსისი,sepʰsisi
მავრიტანული,mavɾitʼanuli
ჯ,dʒ
ჟანგი,ʒanɡi
ვიგინდარა,viɡindaɾa
ურჩხი,uɾt͡ʃʰχi
გაჩენა,ɡat͡ʃʰena
ქანთალი,kʰantʰali
ვერცხლი,veɾt͡sʰχli
მღვიმე,mʁʷime
ვიკიჰოლიკი,vikʼiholikʼi
იყიდება,iχʼideba
ბაითი,baitʰi
ქრის,kʰɾis
გალიუმი,ɡaliumi
დიეზი,diezi
გასაგები,ɡasaɡebi
ქონდარი,kʰondaɾi
დოგმატიზმი,doɡmatʼizmi
ქორე,kʰoɾe
ტორპედო,tʼoɾpʼedo
პულსი,pʼulsi
ქონი,kʰoni
შუადღემდე,ʃuadʁemde
ჰომოსექსუალობა,homosekʰsuaɫoba
გრძნება,ɡɾd͡zneba
აგებინებს,aɡebinebs
ლესბიანიზმი,lesbianizmi
გათეთრდება,ɡatʰetʰɾdeba
ჰაშიში,haʃiʃi
ბედნიერება,bednieɾeba
დილეტანტი,diletʼantʼi
ფარინგიტი,pʰaɾinɡitʼi
აკრი,akʼɾi
აკვანს,akʼʷans
შაშხანა,ʃaʃχana
ხარბად,χaɾbad
არადიპლომატიურად,aɾadipʼɫomatʼiuɾad
ადუღებს,aduʁebs
ოსტატურად,ostʼatʼuɾad
ნეოფიტი,neopʰitʼi
უსწორმასწორო,ust͡sʼoɾmast͡sʼoɾo
არითმომეტრი,aɾitʰmometʼɾi
უაზრო,uazɾo
დისტილაცია,distʼiɫat͡sʰia
ჭირი,t͡ʃʼiɾi
ოპორტუნიზმი,opʼoɾtʼunizmi
ცინიკოსი,t͡sʰinikʼosi
სამოცდაათი,samot͡sʰdaatʰi
სუბსტრატი,substʼɾatʼi
სოლარიუმი,soɫaɾiumi
ვეტერინალური,vetʼeɾinaɫuɾi
სავსემთვარეობა,safsemtʰʷaɾeoba
მინისტრი,ministʼɾi
გაფუფუნებული,ɡapʰupʰunebuli
შიშით,ʃiʃitʰ
ილია,ilia
გართულებული,ɡaɾtʰulebuli
სასანთლე,sasantʰle
დიქტატორული,dikʰtʼatʼoɾuli
ახლა,aχɫa
საგულდაგულოდ,saɡuldaɡuɫod
წარმოშობამ,t͡sʼaɾmoʃobam
ფერწერული,pʰeɾt͡sʼeɾuli
გოთვერანი,ɡotʰʷeɾani
გივი,ɡivi
პაწაწინა,pʼat͡sʼat͡sʼina
ხელბორკილი,χelboɾkʼili
ტელეფონი,tʼelepʰoni
რეაქციონერი,ɾeakʰt͡sʰioneɾi
რაოდენობითად,ɾaodenobitʰad
