Word,Pronunciation
vigor,biɡoɾ
amainando,amainando
hermes,eɾmes
desposadas,desposadas
acuitada,akwitada
recolegir,rekolexiɾ
banfileño,banfileɲo
crepitada,kɾepitada
spinner,spineɾ
adaptador,adabtadoɾ
agresión,aɡɾesjon
tensionados,tensjonados
amnistiadas,amnistjadas
sesos,sesos
remendamos,remendamos
arrumaco,arumako
encantará,enkantaɾa
enjuagada,enxwaɡada
epimorfismo,epimoɾfismo
esposado,esposado
estáis,estais
trascritas,tɾaskɾitas
pollita,poʝita
ajardinamiento,axaɾdinamjento
mandara,mandaɾa
fina,fina
suspirada,suspiɾada
disoluto,disoluto
eventualidad,ebentwalidad
hasio,asjo
enlistamiento,enlistamjento
patógenas,patoxenas
retornadas,retoɾnadas
amigas,amiɡas
perjurada,peɾxuɾada
agrisada,aɡɾisada
fariña,faɾiɲa
indicamos,indikamos
antológico,antoloxiko
gritado,ɡɾitado
mosquita,moskita
comeros,komeɾos
reintensificado,reintensifikado
perrito,perito
debelara,debelaɾa
esprint,espɾint
aliviamos,alibjamos
turnos,tuɾnos
apadrinados,apadɾinados
tinguiririca,tinɡiɾiɾika
orco,oɾko
fraterno,fɾateɾno
puterío,puteɾio
gruñonas,ɡɾuɲonas
desarrollo,desaroʝo
lía,lia
caudectomía,kaudeɡtomia
parinacota,paɾinakota
cabriales,kabɾjales
represaliados,repɾesaljados
pirateo,piɾateo
murmurio,muɾmuɾjo
bolsones,bolsones
corregüela,koreɡwela
gaborone,ɡaboɾone
cacatúa,kakatua
desintoxicante,desintoɡsikante
luisianés,lwisjanes
papus,papus
jorobado,xoɾobado
deponer,deponeɾ
póstumo,postumo
recusará,rekusaɾa
refregar,refɾeɡaɾ
aculturadas,akultuɾadas
neuralgia,neuɾalxja
deshebrada,desebɾada
plutócrata,plutokɾata
barajadura,baɾaxaduɾa
correspondidas,korespondidas
combadas,kombadas
casita,kasita
chinchada,t͡ʃint͡ʃada
intercrisis,inteɾkɾisis
fundamentados,fundamentados
lentes,lentes
propaladas,pɾopaladas
retoque,retoke
parqueadas,paɾkeadas
subalquilado,subalkilado
meritada,meɾitada
combinando,kombinando
matambrito,matambɾito
churra,t͡ʃura
manoseadas,manoseadas
señora,seɲoɾa
coligadas,koliɡadas
uvular,ubulaɾ
herventar,eɾbentaɾ
ladeado,ladeado
rieladas,rjeladas
goterón,ɡoteɾon
interétnicas,inteɾednikas
fracturado,fɾaɡtuɾado
aovar,aobaɾ
desturcados,destuɾkados
swingman,swimman
demeritar,demeɾitaɾ
confirmada,konfiɾmada
alameda,alameda
hablándolo,ablandolo
apremiar,apɾemjaɾ
confesados,konfesados
amenísimo,amenisimo
sastre,sastɾe
desacreditados,desakɾeditados
acorrida,akorida
perfidias,peɾfidjas
varela,baɾela
empastar,empastaɾ
cacheo,kat͡ʃeo
natal,natal
impartidos,impaɾtidos
carmesí,kaɾmesi
refanfinfladas,refanfinfladas
anémico,anemiko
comieses,komjeses
abundas,abundas
apostatadas,apostatadas
finto,finto
amilanar,amilanaɾ
asperón,aspeɾon
pancreáticas,pankɾeatikas
sacramentada,sakɾamentada
cromaremos,kɾomaɾemos
insultamos,insultamos
urbieta,uɾbjeta
intimidar,intimidaɾ
angloamericanas,anɡloameɾikanas
denveriano,dembeɾjano
gorjirrojas,ɡoɾxiroxas
abulón,abulon
bacalado,bakalado
ringadas,rinɡadas
versillo,beɾsiʝo
bastara,bastaɾa
carraspear,karaspeaɾ
noráis,noɾais
autoinmunidad,autoimmunidad
agronomía,aɡɾonomia
morentiana,moɾentjana
propina,pɾopina
pluripartidarios,pluɾipaɾtidaɾjos
nitrifiques,nitɾifikes
consigna,konsiɡna
aerófobo,aeɾofobo
fornicarios,foɾnikaɾjos
cuádrico,kwadɾiko
transmitidas,tɾansmitidas
pristina,pɾistina
empates,empates
reseñada,reseɲada
lanolina,lanolina
churrasco,t͡ʃurasko
espermatogonia,espeɾmatoɡonja
tremendo,tɾemendo
autoeliminada,autoeliminada
fanfarronería,fanfaroneɾia
peruvianos,peɾubjanos
valla,baʝa
colaborado,kolaboɾado
chilchote,t͡ʃilt͡ʃote
termólisis,teɾmolisis
lisura,lisuɾa
brear,bɾeaɾ
dale,dale
muscarínico,muskaɾiniko
nido,nido
franjear,fɾanxeaɾ
lumbres,lumbɾes
estallado,estaʝado
cancamusa,kankamusa
cartesianos,kaɾtesjanos
temió,temjo
agricultor,aɡɾikultoɾ
aqueas,akeas
corcoveado,koɾkobeado
subsidiar,subsidjaɾ
deshonra,desonra
veraneante,beɾaneante
diyiridú,diʝiɾidu
braquial,bɾakjal
desbloqueo,desblokeo
lamentes,lamentes
vagabunda,baɡabunda
guayados,ɡwaʝados
mieloblástico,mjeloblastiko
hinojo,inoxo
cagados,kaɡados
plantaréis,plantaɾeis
luna,luna
plantá,planta
tango,tanɡo
exageremos,eɡsaxeɾemos
alabastros,alabastɾos
acromáticas,akɾomatikas
gineta,xineta
ocular,okulaɾ
divisado,dibisado
gilipollas,xilipoʝas
katana,katana
encomio,enkomjo
pujador,puxadoɾ
martes,maɾtes
mentecatas,mentekatas
entrenadora,entɾenadoɾa
gratuidad,ɡɾatwidad
espundia,espundja
balde,balde
recargo,rekaɾɡo
antevenidas,antebenidas
shirley,ʃiɾlei
refundada,refundada
kanseñas,kanseɲas
micrópilo,mikɾopilo
latinismo,latinismo
drapeada,dɾapeada
monotípicas,monotipikas
consideres,konsideɾes
preeuropeo,pɾeeuɾopeo
acometerás,akometeɾas
braña,bɾaɲa
égloga,eɡloɡa
chimuelo,t͡ʃimwelo
falange,falanxe
reverbere,rebeɾbeɾe
papalisa,papalisa
pudendos,pudendos
alquímica,alkimika
trasportado,tɾaspoɾtado
agrónomos,aɡɾonomos
ensamblador,ensambladoɾ
albeado,albeado
exhaustivamente,eɡsaustibamente
oímos,oimos
comiéndoles,komjendoles
watanabe,watanabe
aldosteronemia,aldosteɾonemja
chenque,t͡ʃenke
huachicolero,w̝at͡ʃikoleɾo
costo,kosto
bufoneado,bufoneado
encabalgar,enkabalɡaɾ
veraneado,beɾaneado
escotadura,eskotaduɾa
bario,baɾjo
hit,xit
micólogo,mikoloɡo
cálculo,kalkulo
desintegrar,desinteɡɾaɾ
bifocal,bifokal
almagre,almaɡɾe
fragmentados,fɾaɡmentados
tequio,tekjo
bombonera,bomboneɾa
multarás,multaɾas
embrujados,embɾuxados
villarreal,biʝareal
exmarido,eɡsmaɾido
retrovender,retɾobendeɾ
peloteado,peloteado
ilimitado,ilimitado
autenticamos,autentikamos
agraviada,aɡɾabjada
jirón,xiɾon
ajuarar,axwaɾaɾ
gofio,ɡofjo
herbívoro,eɾbiboɾo
anacardo,anakaɾdo
esquivas,eskibas
nano,nano
veleidad,beleidad
desestimar,desestimaɾ
deimos,deimos
conflictiva,konfliɡtiba
relincho,relint͡ʃo
tornamesa,toɾnamesa
hopia,xopja
capotillo,kapotiʝo
luteo,luteo
desvinculadas,desbinkuladas
criptogénico,kɾibtoxeniko
ficares,fikaɾes
remodelados,remodelados
contactareis,kontaɡtaɾeis
picasso,pikaso
lengüicorta,lenɡwikoɾta
