Word,Pronunciation
ikisema,ikisema
kubembeleza,kuɓembeleza
umagharibi,umaɣaɾiɓi
muendelee,muendelee
tutajadili,tutaʄaɗili
lubigija,luɓiɠiʄa
mshindo,mʃindo
dugange,ɗuɠanɡe
wamemshutumu,wamemʃutumu
moipo,moipo
hakunitafuta,hakunitafuta
mchoraji,mt͡ʃoɾaʄi
kumuandaa,kumuandaa
inauzwa,inauzwa
shanty,ʃantj
zingefahamika,zinɡefahamika
dasgupta,ɗasɠupta
zinaendeshwa,zinaendeʃwa
wanapobaini,wanapoɓaini
udhalilishji,uðaliliʃʄi
alinielekeza,alinielekeza
epimack,epimack
inaunganishwa,inaunɡaniʃwa
vidyadhar,viɗjaðaɾ
alivyoviiba,alivjoviiɓa
imeongezea,imeonɡezea
nakushukuru,nakuʃukuɾu
wanapasha,wanapaʃa
kimepatikana,kimepatikana
waislamu,waislamu
vilivyojengwa,vilivjoʄenɡwa
kujalisha,kuʄaliʃa
haikuungwa,haikuunɡwa
matrilioni,matɾilioni
mswakini,mswakini
nimsubiri,nimsuɓiɾi
binti,ɓinti
mwitikio,mwitikio
zilotolewa,zilotolewa
anatunza,anatunza
akisimamisha,akisimamiʃa
ado,aɗo
commital,commital
masela,masela
umewapita,umewapita
a,a
kilifanywa,kilifaɲwa
ujana,uʄana
iligeuza,iliɠeuza
zisizofutika,zisizofutika
vikosi,vikosi
sailen,sailen
niliyosoma,nilijosoma
fonseca,fonseca
enzi,enzi
matumbawe,matumbawe
isiifanye,isiifaɲe
lightyear,liɣtjeaɾ
maabara,maaɓaɾa
welengwa,welenɡwa
waligawika,waliɠawika
abramovich,aɓɾamovit͡ʃ
ahidiwa,ahiɗiwa
mlimfunga,mlimfunɡa
keeping,keepinɡ
utosi,utosi
yatasababisha,jatasaɓaɓiʃa
wakipita,wakipita
dosari,ɗosaɾi
uenyekiti,ueɲekiti
insuarance,insuaɾance
waliyoonyesha,walijooɲeʃa
masihara,masihaɾa
wajiunde,waʄiunde
is,is
itawachukulia,itawat͡ʃukulia
walimkataa,walimkataa
lanssana,lanssana
wameonewa,wameonewa
oktoba,oktoɓa
walishambulia,waliʃambulia
seneta,seneta
pepsi,pepsi
igueben,iɠueɓen
limepatikana,limepatikana
unielewe,unielewe
tulikwama,tulikwama
aliyoshiriki,alijoʃiɾiki
f,f
kumua,kumua
temesa,temesa
regions,ɾeɠions
kutufyetulia,kutufjetulia
zitoke,zitoke
tukakubaliana,tukakuɓaliana
iliipinga,iliipinɡa
hajajitangaza,haʄaʄitanɡaza
kibunge,kiɓunɡe
tutoke,tutoke
akikamiwa,akikamiwa
sina,sina
githigi,ɠiθiɠi
kipaumbele,kipaumbele
geigliz,ɠeiɠliz
ulioangazia,ulioanɡazia
ilipandishwa,ilipandiʃwa
almc,almc
vitawekwa,vitawekwa
haogopi,haoɠopi
malumni,malumni
aliishiwa,aliiʃiwa
ingekuwaje,inɡekuwaʄe
alipojiondoa,alipoʄiondoa
atakuwa,atakuwa
ulipokamilika,ulipokamilika
wakilalama,wakilalama
planstiki,planstiki
anayejua,anajeʄua
nilichukue,nilit͡ʃukue
anaipokea,anaipokea
alimpima,alimpima
zitapitishwa,zitapitiʃwa
jamboa,ʄamboa
ccm,ccm
watoto,watoto
twitter,twitteɾ
kutokata,kutokata
zikirejea,zikiɾeʄea
ikamjibu,ikamʄiɓu
jadili,ʄaɗili
kilitekwa,kilitekwa
wavuliwa,wavuliwa
wekesha,wekeʃa
kugongama,kuɠonɡama
mtawala,mtawala
inavyo,inavjo
kuonyesha,kuoɲeʃa
prs,pɾs
witanhurst,witanhuɾst
nilishangaa,niliʃanɡaa
linalozunguka,linalozunɡuka
haziwasaidii,haziwasaiɗii
kimelaani,kimelaani
linasababishwa,linasaɓaɓiʃwa
kulipanda,kulipanda
nawasiliana,nawasiliana
unaofanana,unaofanana
ninaingia,ninainɡia
linafika,linafika
inayoangukia,inajoanɡukia
followers,followeɾs
mavugo,mavuɠo
ww,ww
nakamanya,nakamaɲa
maj,maʄ
kuwakwepa,kuwakwepa
dhl,ðl
hawakusimama,hawakusimama
unawahakikishi,unawahakikiʃi
walipokuwa,walipokuwa
kiwago,kiwaɠo
wakaingizwa,wakainɡizwa
alipozindua,alipozindua
supermarket,supeɾmaɾket
ikafifia,ikafifia
wakageuka,wakaɠeuka
ngollo,nɡollo
aishi,aiʃi
wokovu,wokovu
kinachowahusu,kinat͡ʃowahusu
moerschel,moeɾst͡ʃel
ilisikilizwa,ilisikilizwa
ulanga,ulanɡa
iwezekupanga,iwezekupanɡa
wameelekea,wameelekea
tuimeisaidia,tuimeisaiɗia
akihohiwa,akihohiwa
najuta,naʄuta
vitani,vitani
aliyekutwa,alijekutwa
gallaydh,ɠallajð
