Word,Pronunciation
the,ði
the,ðiː
the,ðɪ
to,toʊ
to,tu
of,ə
of,əv
of,ʌv
a,eɪ
a,eɪ̯
a,æ
a,ɑː
a,ə
in,ən
in,ɪn
i,aɪ
i,ɪ
is,ɪz
for,fɔɹ
for,fə
for,fɚ
that,ðæt
it,ət
it,ɪt
with,wɪð
with,wɪθ
this,ðəs
this,ðɪs
was,wɑz
was,wəz
was,wʌz
be,bi
as,æs
as,æz
are,ɑɹ
are,ɚ
are,ɛəɹ
are,ɛɹ
have,hæf
have,hæv
he,heɪ
he,hi
not,nɑt
not,nɒt
by,baɪ
but,bʌt
from,fɹʌm
or,ɔɹ
or,ɚ
we,wi
we,wiː
we,wə
an,æn
an,ən
an',n̩
an',æn
an',ən
your,jɔɹ
your,jɚ
your,jɝ
your,jʊɚ
all,ɔl
so,soʊ
his,hɪz
his,ɪ̈z
they,ðeɪ
me,mi
if,ɪf
one,wʌn
can,kæn
can,kən
can,kɛn
will,wɪl
just,d͡ʒʌst
like,laɪ̯k
about,əbaʊt
up,ʌp
out,aʊt
what,wɑt
what,wʌt
what,ʍʌt
when,wɛn
when,wɪn
when,ʍɛn
when,ʍɪn
more,mɔɹ
more,mɔːreɪ
do,doʊ
do,du
were,wɚ
were,wɝ
who,hu
it's,ɪts
their,ðɚ
their,ðɛɚ
her,hɜɹ
her,ɜɹ
which,wɪt͡ʃ
time,taɪm
get,ɡɛt
get,ɡɪt
been,biːn
been,bɛn
been,bɪn
would,wəd
would,wʊd
would,əd
she,ʃi
new,nju
people,pipl̩
people,pipəl
how,haʊ
don't,doʊnt
some,sʌm
also,ɑlsoʊ
also,ɔlsoʊ
them,ðʌm
now,naʊ
other,ʌðɚ
i'm,aɪm
its,ɪts
our,aʊɚ
our,æɔə
our,ɐː
our,ɑɹ
good,ɡʊd
only,oʊnli
after,æftɚ
first,fɝst
him,hɪm
him,əm
into,ɪntu
know,noʊ
see,si
two,tu
make,meɪk
over,oʊvɚ
think,θɪŋk
any,ɛni
any,ɪni
then,ðɛn
back,bæk
these,ðiz
these,ðiːz
us,juːɛs
us,əs
us,əz
want,wɑnt
want,wɒnt
want,wɔnt
want,wʌnt
because,bikɔz
because,bikʌz
because,bəkʌz
because,bɪkəz
go,ɡoʊ
well,wɛl
said,saɪd
way,weɪ
most,moʊst
much,mʌt͡ʃ
very,vɛɹi
where,wɛɚ
where,ʍɛɚ
even,ivn̩
even,ivən
even,əvɛn
may,meɪ
here,hɪɚ̯
here,hɪɹ
need,nid
really,ɹili
really,ɹiəli
really,ɹɪli
did,dɪd
right,ɹaɪt
work,wøːk
work,wɜɪ̯k
work,wɜːk
work,wɜːɹk
work,wɝk
work,wɵːk
year,jɪɹ
years,jɪɹz
being,biŋ
being,biɪŋ
day,deɪ
day,deɪ̯
too,tu
going,ɡoʊɪŋ
going,ɡɔɪŋ
before,bifɔɹ
before,bəfɔɹ
off,ɔf
why,waɪ
why,ʍaɪ
made,meɪd
still,stɪl
take,teɪk
got,ɡɑt
many,mɛni
many,mɪni
never,nɛvɚ
those,ðoʊz
life,laɪf
say,seɪ
world,wɝld
down,daʊn
down,dæʊn
great,ɡɹeɪt
through,θɹu
through,θɹuː
through,θɹʌf
's,əz
's,ɪz
last,læst
s,s
s,z
s,ɛs
s,ʒ
that's,ðæts
while,waɪl
while,ʍaɪl
best,bɛst
such,sʌt͡ʃ
love,lʊv
love,lʌv
man,mæn
home,hoʊm
long,lɒŋ
long,lɔŋ
long,lʊŋ
look,lʊk
something,sʌmθɪŋ
use,jus
use,juz
same,seɪm
both,boʊθ
every,ɛvəɹi
come,kʌm
part,pɑɹt
state,steɪt
three,θɹiː
around,əɹaʊnd
between,bətwin
between,bɪtwin
always,ɑlweɪz
always,ɔlweɪz
always,ɔlwiz
always,ɔlwəz
find,faɪnd
help,hɛlp
high,haɪ
little,lɪtəl
old,oʊld
since,sɪns
another,ænʌðɚ
another,ənʌðɚ
does,doʊz
own,oʊn
things,θɪŋz
under,ʌndɚ
during,djʊɚɪŋ
during,dɝɪŋ
game,ɡeɪm
i've,aɪv
thing,θɪŋ
give,ɡɪv
house,haʊs
house,haʊz
place,pleɪs
school,skuːl
again,əɡeɪn
again,əɡɛn
next,nɛkst
each,it͡ʃ
without,wɪðaʊt
without,wɪθaʊt
against,əɡɛnst
didn't,dɪdənt
end,ɛnd
found,faʊnd
show,ʃoʊ
big,bɪɡ
feel,fiːl
sure,ʃɔɹ
sure,ʃɝ
sure,ʃʊɹ
team,tiːm
ever,ɛvɚ
family,fæməli
family,fæmɪli
keep,kiːp
might,maɪt
please,pliz
put,pʊt
put,pʌt
money,mʌni
free,fɹiː
second,səkɑnd
second,sɛkənd
second,sɛkənt
someone,sʌmwʌn
away,əweɪ
left,lɛft
number,nʌmbɚ
number,nʌmɚ
city,sɪti
days,deɪz
lot,lɑt
name,neɪm
